datetime,sensor_id,power_avg_kw,meter_name
2026-08-04 01:30:00,12,0.75033,parking_phase1_pv
2026-08-04 01:15:00,12,0.747636667,parking_phase1_pv
2026-08-04 01:00:00,12,0.741507778,parking_phase1_pv
2026-08-04 00:45:00,12,0.743883333,parking_phase1_pv
2026-08-04 00:30:00,12,0.742338889,parking_phase1_pv
2026-08-04 00:15:00,12,0.741172222,parking_phase1_pv
2026-08-04 00:00:00,12,0.742686667,parking_phase1_pv
2026-08-03 23:45:00,12,0.750015556,parking_phase1_pv
2026-08-03 23:30:00,12,0.744916667,parking_phase1_pv
2026-08-03 23:15:00,12,0.746345556,parking_phase1_pv
2026-08-03 23:00:00,12,0.754528889,parking_phase1_pv
2026-08-03 22:45:00,12,0.749513333,parking_phase1_pv
2026-08-03 22:30:00,12,0.733644444,parking_phase1_pv
2026-08-03 22:15:00,12,0.741485556,parking_phase1_pv
2026-08-03 22:00:00,12,0.748231111,parking_phase1_pv
2026-08-03 21:45:00,12,0.738245556,parking_phase1_pv
2026-08-03 21:30:00,12,0.73188,parking_phase1_pv
2026-08-03 21:15:00,12,0.741244444,parking_phase1_pv
2026-08-03 21:00:00,12,0.740466667,parking_phase1_pv
2026-08-03 20:45:00,12,0.731356667,parking_phase1_pv
2026-08-03 20:30:00,12,0.71917,parking_phase1_pv
2026-08-03 20:15:00,12,0.699805556,parking_phase1_pv
2026-08-03 20:00:00,12,0.693316667,parking_phase1_pv
2026-08-03 19:45:00,12,0.689964444,parking_phase1_pv
2026-08-03 19:30:00,12,0.697515556,parking_phase1_pv
2026-08-03 19:15:00,12,0.703886667,parking_phase1_pv
2026-08-03 19:00:00,12,0.714067778,parking_phase1_pv
2026-08-03 18:45:00,12,0.716132222,parking_phase1_pv
2026-08-03 18:30:00,12,0.709921111,parking_phase1_pv
2026-08-03 18:15:00,12,0.702664444,parking_phase1_pv
2026-08-03 18:00:00,12,0.689292222,parking_phase1_pv
2026-08-03 17:45:00,12,0.674221111,parking_phase1_pv
2026-08-03 17:30:00,12,0.649045556,parking_phase1_pv
2026-08-03 17:15:00,12,0.617607778,parking_phase1_pv
2026-08-03 17:00:00,12,0.585726667,parking_phase1_pv
2026-08-03 16:45:00,12,0.558745556,parking_phase1_pv
2026-08-03 16:30:00,12,0.540818889,parking_phase1_pv
2026-08-03 16:15:00,12,0.423627778,parking_phase1_pv
2026-08-03 16:00:00,12,-1.290598889,parking_phase1_pv
2026-08-03 15:45:00,12,16.497293333,parking_phase1_pv
2026-08-03 15:30:00,12,42.733742222,parking_phase1_pv
2026-08-03 15:15:00,12,139.61096,parking_phase1_pv
2026-08-03 15:00:00,12,212.497991111,parking_phase1_pv
2026-08-03 14:45:00,12,166.310897778,parking_phase1_pv
2026-08-03 14:30:00,12,367.916266667,parking_phase1_pv
2026-08-03 14:15:00,12,469.472604444,parking_phase1_pv
2026-08-03 14:00:00,12,506.489244444,parking_phase1_pv
2026-08-03 13:45:00,12,611.766257778,parking_phase1_pv
2026-08-03 13:30:00,12,712.601813333,parking_phase1_pv
2026-08-03 13:15:00,12,819.919217778,parking_phase1_pv
2026-08-03 13:00:00,12,890.811377778,parking_phase1_pv
2026-08-03 12:45:00,12,931.661795556,parking_phase1_pv
2026-08-03 12:30:00,12,933.325866667,parking_phase1_pv
2026-08-03 12:15:00,12,1014.10496,parking_phase1_pv
2026-08-03 12:00:00,12,1070.073742222,parking_phase1_pv
2026-08-03 11:45:00,12,1096.278257778,parking_phase1_pv
2026-08-03 11:30:00,12,1131.577742222,parking_phase1_pv
2026-08-03 11:15:00,12,1151.329848889,parking_phase1_pv
2026-08-03 11:00:00,12,1215.250773333,parking_phase1_pv
2026-08-03 10:45:00,12,1223.315768889,parking_phase1_pv
2026-08-03 10:30:00,12,1244.846222222,parking_phase1_pv
2026-08-03 10:15:00,12,1269.901226667,parking_phase1_pv
2026-08-03 10:00:00,12,1264.181191111,parking_phase1_pv
2026-08-03 09:45:00,12,1270.118257778,parking_phase1_pv
2026-08-03 09:30:00,12,1194.090097778,parking_phase1_pv
2026-08-03 09:15:00,12,1211.215502222,parking_phase1_pv
2026-08-03 09:00:00,12,1255.894471111,parking_phase1_pv
2026-08-03 08:45:00,12,1215.028053333,parking_phase1_pv
2026-08-03 08:30:00,12,1135.783608889,parking_phase1_pv
2026-08-03 08:15:00,12,1196.337351111,parking_phase1_pv
2026-08-03 08:00:00,12,1187.222968889,parking_phase1_pv
2026-08-03 07:45:00,12,856.797795556,parking_phase1_pv
2026-08-03 07:30:00,12,990.487466667,parking_phase1_pv
2026-08-03 07:15:00,12,1114.192924444,parking_phase1_pv
2026-08-03 07:00:00,12,1076.118755556,parking_phase1_pv
2026-08-03 06:45:00,12,937.895893333,parking_phase1_pv
2026-08-03 06:30:00,12,970.141511111,parking_phase1_pv
2026-08-03 06:15:00,12,901.131377778,parking_phase1_pv
2026-08-03 06:00:00,12,687.627022222,parking_phase1_pv
2026-08-03 05:45:00,12,778.994986667,parking_phase1_pv
2026-08-03 05:30:00,12,707.328924444,parking_phase1_pv
2026-08-03 05:15:00,12,623.226595556,parking_phase1_pv
2026-08-03 05:00:00,12,599.549155556,parking_phase1_pv
2026-08-03 04:45:00,12,208.426808889,parking_phase1_pv
2026-08-03 04:30:00,12,196.581706667,parking_phase1_pv
2026-08-03 04:15:00,12,248.993866667,parking_phase1_pv
2026-08-03 04:00:00,12,76.18784,parking_phase1_pv
2026-08-03 03:45:00,12,37.793066667,parking_phase1_pv
2026-08-03 03:30:00,12,20.805151111,parking_phase1_pv
2026-08-03 03:15:00,12,8.500928889,parking_phase1_pv
2026-08-03 03:00:00,12,0.818321111,parking_phase1_pv
2026-08-03 02:45:00,12,0.716105556,parking_phase1_pv
2026-08-03 02:30:00,12,0.750447778,parking_phase1_pv
2026-08-03 02:15:00,12,0.756537778,parking_phase1_pv
2026-08-03 02:00:00,12,0.763648889,parking_phase1_pv
2026-08-03 01:45:00,12,0.751588889,parking_phase1_pv
2026-08-03 01:30:00,12,0.761086667,parking_phase1_pv
2026-08-03 01:15:00,12,0.758998889,parking_phase1_pv
2026-08-03 01:00:00,12,0.752107778,parking_phase1_pv
2026-08-03 00:45:00,12,0.739827778,parking_phase1_pv
2026-08-03 00:30:00,12,0.739746667,parking_phase1_pv
2026-08-03 00:15:00,12,0.740135556,parking_phase1_pv
2026-08-03 00:00:00,12,0.752351111,parking_phase1_pv
2026-08-02 23:45:00,12,0.751213333,parking_phase1_pv
2026-08-02 23:30:00,12,0.752672222,parking_phase1_pv
2026-08-02 23:15:00,12,0.755765556,parking_phase1_pv
2026-08-02 23:00:00,12,0.75404,parking_phase1_pv
2026-08-02 22:45:00,12,0.757107778,parking_phase1_pv
2026-08-02 22:30:00,12,0.753923333,parking_phase1_pv
2026-08-02 22:15:00,12,0.758003333,parking_phase1_pv
2026-08-02 22:00:00,12,0.751056667,parking_phase1_pv
2026-08-02 21:45:00,12,0.755281111,parking_phase1_pv
2026-08-02 21:30:00,12,0.751755556,parking_phase1_pv
2026-08-02 21:15:00,12,0.744303333,parking_phase1_pv
2026-08-02 21:00:00,12,0.729478889,parking_phase1_pv
2026-08-02 20:45:00,12,0.710506667,parking_phase1_pv
2026-08-02 20:30:00,12,0.695572222,parking_phase1_pv
2026-08-02 20:15:00,12,0.698594444,parking_phase1_pv
2026-08-02 20:00:00,12,0.684225556,parking_phase1_pv
2026-08-02 19:45:00,12,0.688415556,parking_phase1_pv
2026-08-02 19:30:00,12,0.693074444,parking_phase1_pv
2026-08-02 19:15:00,12,0.72349,parking_phase1_pv
2026-08-02 19:00:00,12,0.743201111,parking_phase1_pv
2026-08-02 18:45:00,12,0.738437778,parking_phase1_pv
2026-08-02 18:30:00,12,0.746844444,parking_phase1_pv
2026-08-02 18:15:00,12,0.74402,parking_phase1_pv
2026-08-02 18:00:00,12,0.743758889,parking_phase1_pv
2026-08-02 17:45:00,12,0.725706667,parking_phase1_pv
2026-08-02 17:30:00,12,0.716733333,parking_phase1_pv
2026-08-02 17:15:00,12,0.705481111,parking_phase1_pv
2026-08-02 17:00:00,12,0.668606667,parking_phase1_pv
2026-08-02 16:45:00,12,0.537693333,parking_phase1_pv
2026-08-02 16:30:00,12,0.502108889,parking_phase1_pv
2026-08-02 16:15:00,12,0.365608889,parking_phase1_pv
2026-08-02 16:00:00,12,-0.847745556,parking_phase1_pv
2026-08-02 15:45:00,12,20.682533333,parking_phase1_pv
2026-08-02 15:30:00,12,55.487262222,parking_phase1_pv
2026-08-02 15:15:00,12,115.007866667,parking_phase1_pv
2026-08-02 15:00:00,12,165.817066667,parking_phase1_pv
2026-08-02 14:45:00,12,268.142666667,parking_phase1_pv
2026-08-02 14:30:00,12,318.603271111,parking_phase1_pv
2026-08-02 14:15:00,12,455.880817778,parking_phase1_pv
2026-08-02 14:00:00,12,547.083413333,parking_phase1_pv
2026-08-02 13:45:00,12,652.871182222,parking_phase1_pv
2026-08-02 13:30:00,12,727.076693333,parking_phase1_pv
2026-08-02 13:15:00,12,710.559786667,parking_phase1_pv
2026-08-02 13:00:00,12,689.381191111,parking_phase1_pv
2026-08-02 12:45:00,12,383.899804444,parking_phase1_pv
2026-08-02 12:30:00,12,842.002986667,parking_phase1_pv
2026-08-02 12:15:00,12,1011.952568889,parking_phase1_pv
2026-08-02 12:00:00,12,979.598862222,parking_phase1_pv
2026-08-02 11:45:00,12,883.276444444,parking_phase1_pv
2026-08-02 11:30:00,12,1221.898097778,parking_phase1_pv
2026-08-02 11:15:00,12,879.9104,parking_phase1_pv
2026-08-02 11:00:00,12,586.590791111,parking_phase1_pv
2026-08-02 10:45:00,12,934.535395556,parking_phase1_pv
2026-08-02 10:30:00,12,652.68928,parking_phase1_pv
2026-08-02 10:15:00,12,990.199964444,parking_phase1_pv
2026-08-02 10:00:00,12,466.056284444,parking_phase1_pv
2026-08-02 09:45:00,12,1055.949511111,parking_phase1_pv
2026-08-02 09:30:00,12,906.120035556,parking_phase1_pv
2026-08-02 09:15:00,12,975.116444444,parking_phase1_pv
2026-08-02 09:00:00,12,706.518684444,parking_phase1_pv
2026-08-02 08:45:00,12,638.810951111,parking_phase1_pv
2026-08-02 08:30:00,12,695.81952,parking_phase1_pv
2026-08-02 08:15:00,12,650.777955556,parking_phase1_pv
2026-08-02 08:00:00,12,565.208817778,parking_phase1_pv
2026-08-02 07:45:00,12,642.563911111,parking_phase1_pv
2026-08-02 07:30:00,12,568.969991111,parking_phase1_pv
2026-08-02 07:15:00,12,573.002773333,parking_phase1_pv
2026-08-02 07:00:00,12,642.268302222,parking_phase1_pv
2026-08-02 06:45:00,12,405.096106667,parking_phase1_pv
2026-08-02 06:30:00,12,352.932337778,parking_phase1_pv
2026-08-02 06:15:00,12,457.754666667,parking_phase1_pv
2026-08-02 06:00:00,12,417.216711111,parking_phase1_pv
2026-08-02 05:45:00,12,380.894755556,parking_phase1_pv
2026-08-02 05:30:00,12,380.675484444,parking_phase1_pv
