"DateTime","Inverter power for Inverter 1 (7E144A6A)"
"2026-05-22 00:00:00",0
"2026-05-22 01:00:00",0
"2026-05-22 02:00:00",0
"2026-05-22 03:00:00",0
"2026-05-22 04:00:00",0
"2026-05-22 05:00:00",0
"2026-05-22 06:00:00",480
"2026-05-22 07:00:00",1444
"2026-05-22 08:00:00",2615
"2026-05-22 09:00:00",4188
"2026-05-22 10:00:00",4779
"2026-05-22 11:00:00",5737
"2026-05-22 12:00:00",6102
"2026-05-22 13:00:00",9143
"2026-05-22 14:00:00",4022
"2026-05-22 15:00:00",2971
"2026-05-22 16:00:00",2926
"2026-05-22 17:00:00",1120
"2026-05-22 18:00:00",272
"2026-05-22 19:00:00",0
"2026-05-22 20:00:00",0
"2026-05-22 21:00:00",0
"2026-05-22 22:00:00",0
"2026-05-22 23:00:00",0
"2026-05-23 00:00:00",0
"2026-05-23 01:00:00",0
"2026-05-23 02:00:00",0
"2026-05-23 03:00:00",0
"2026-05-23 04:00:00",0
"2026-05-23 05:00:00",0
"2026-05-23 06:00:00",440
"2026-05-23 07:00:00",1562
"2026-05-23 08:00:00",3648
"2026-05-23 09:00:00",6857
"2026-05-23 10:00:00",6548
"2026-05-23 11:00:00",10348
"2026-05-23 12:00:00",13086
"2026-05-23 13:00:00",10964
"2026-05-23 14:00:00",6323
"2026-05-23 15:00:00",5681
"2026-05-23 16:00:00",2520
"2026-05-23 17:00:00",1860
"2026-05-23 18:00:00",527
"2026-05-23 19:00:00",0
"2026-05-23 20:00:00",0
"2026-05-23 21:00:00",0
"2026-05-23 22:00:00",0
"2026-05-23 23:00:00",0
"2026-05-24 00:00:00",0
"2026-05-24 01:00:00",0
"2026-05-24 02:00:00",0
"2026-05-24 03:00:00",0
"2026-05-24 04:00:00",0
"2026-05-24 05:00:00",0
"2026-05-24 06:00:00",384
"2026-05-24 07:00:00",1559
"2026-05-24 08:00:00",2375
"2026-05-24 09:00:00",4341
"2026-05-24 10:00:00",6193
"2026-05-24 11:00:00",7920
"2026-05-24 12:00:00",10678
"2026-05-24 13:00:00",9534
"2026-05-24 14:00:00",11059
"2026-05-24 15:00:00",6379
"2026-05-24 16:00:00",2765
"2026-05-24 17:00:00",2457
"2026-05-24 18:00:00",630
"2026-05-24 19:00:00",0
"2026-05-24 20:00:00",0
"2026-05-24 21:00:00",0
"2026-05-24 22:00:00",0
"2026-05-24 23:00:00",0
"2026-05-25 00:00:00",0
"2026-05-25 01:00:00",0
"2026-05-25 02:00:00",0
"2026-05-25 03:00:00",0
"2026-05-25 04:00:00",0
"2026-05-25 05:00:00",0
"2026-05-25 06:00:00",255
"2026-05-25 07:00:00",970
"2026-05-25 08:00:00",1929
"2026-05-25 09:00:00",6255
"2026-05-25 10:00:00",9447
"2026-05-25 11:00:00",13894
"2026-05-25 12:00:00",13792
"2026-05-25 13:00:00",13194
"2026-05-25 14:00:00",11612
"2026-05-25 15:00:00",9685
"2026-05-25 16:00:00",6722
"2026-05-25 17:00:00",2911
"2026-05-25 18:00:00",767
"2026-05-25 19:00:00",0
"2026-05-25 20:00:00",0
"2026-05-25 21:00:00",0
"2026-05-25 22:00:00",0
"2026-05-25 23:00:00",0
"2026-05-26 00:00:00",0
"2026-05-26 01:00:00",0
"2026-05-26 02:00:00",0
"2026-05-26 03:00:00",0
"2026-05-26 04:00:00",0
"2026-05-26 05:00:00",0
"2026-05-26 06:00:00",224
"2026-05-26 07:00:00",2061
"2026-05-26 08:00:00",4110
"2026-05-26 09:00:00",9244
"2026-05-26 10:00:00",7744
"2026-05-26 11:00:00",11492
"2026-05-26 12:00:00",11656
"2026-05-26 13:00:00",8891
"2026-05-26 14:00:00",10454
"2026-05-26 15:00:00",10408
"2026-05-26 16:00:00",5507
"2026-05-26 17:00:00",2423
"2026-05-26 18:00:00",536
"2026-05-26 19:00:00",2
"2026-05-26 20:00:00",0
"2026-05-26 21:00:00",0
"2026-05-26 22:00:00",0
"2026-05-26 23:00:00",0
"2026-05-27 00:00:00",0
"2026-05-27 01:00:00",0
"2026-05-27 02:00:00",0
"2026-05-27 03:00:00",0
"2026-05-27 04:00:00",0
"2026-05-27 05:00:00",0
"2026-05-27 06:00:00",233
"2026-05-27 07:00:00",3040
"2026-05-27 08:00:00",4650
"2026-05-27 09:00:00",5765
"2026-05-27 10:00:00",11457
"2026-05-27 11:00:00",7558
"2026-05-27 12:00:00",10101
"2026-05-27 13:00:00",11276
"2026-05-27 14:00:00",11012
"2026-05-27 15:00:00",9928
"2026-05-27 16:00:00",7183
"2026-05-27 17:00:00",2937
"2026-05-27 18:00:00",485
"2026-05-27 19:00:00",0
"2026-05-27 20:00:00",0
"2026-05-27 21:00:00",0
"2026-05-27 22:00:00",0
"2026-05-27 23:00:00",0
"2026-05-28 00:00:00",0
"2026-05-28 01:00:00",0
"2026-05-28 02:00:00",0
"2026-05-28 03:00:00",0
"2026-05-28 04:00:00",0
"2026-05-28 05:00:00",0
"2026-05-28 06:00:00",540
"2026-05-28 07:00:00",2249
"2026-05-28 08:00:00",4447
"2026-05-28 09:00:00",8828
"2026-05-28 10:00:00",10173
"2026-05-28 11:00:00",13338
"2026-05-28 12:00:00",13453
"2026-05-28 13:00:00",11536
"2026-05-28 14:00:00",7680
"2026-05-28 15:00:00",8523
"2026-05-28 16:00:00",5458
"2026-05-28 17:00:00",2324
"2026-05-28 18:00:00",532
"2026-05-28 19:00:00",0
"2026-05-28 20:00:00",0
"2026-05-28 21:00:00",0
"2026-05-28 22:00:00",0
"2026-05-28 23:00:00",0
