"DateTime","Inverter power for Inverter 1 (7E144A6A)"
"2026-05-01 00:00:00",0
"2026-05-01 01:00:00",0
"2026-05-01 02:00:00",0
"2026-05-01 03:00:00",0
"2026-05-01 04:00:00",0
"2026-05-01 05:00:00",0
"2026-05-01 06:00:00",240
"2026-05-01 07:00:00",1644
"2026-05-01 08:00:00",2362
"2026-05-01 09:00:00",4352
"2026-05-01 10:00:00",9261
"2026-05-01 11:00:00",11158
"2026-05-01 12:00:00",8551
"2026-05-01 13:00:00",9131
"2026-05-01 14:00:00",9913
"2026-05-01 15:00:00",6776
"2026-05-01 16:00:00",5027
"2026-05-01 17:00:00",1718
"2026-05-01 18:00:00",335
"2026-05-01 19:00:00",0
"2026-05-01 20:00:00",0
"2026-05-01 21:00:00",0
"2026-05-01 22:00:00",0
"2026-05-01 23:00:00",0
"2026-05-02 00:00:00",0
"2026-05-02 01:00:00",0
"2026-05-02 02:00:00",0
"2026-05-02 03:00:00",0
"2026-05-02 04:00:00",0
"2026-05-02 05:00:00",0
"2026-05-02 06:00:00",303
"2026-05-02 07:00:00",1874
"2026-05-02 08:00:00",6353
"2026-05-02 09:00:00",9833
"2026-05-02 10:00:00",11854
"2026-05-02 11:00:00",13094
"2026-05-02 12:00:00",13583
"2026-05-02 13:00:00",13477
"2026-05-02 14:00:00",11934
"2026-05-02 15:00:00",9907
"2026-05-02 16:00:00",6800
"2026-05-02 17:00:00",2725
"2026-05-02 18:00:00",357
"2026-05-02 19:00:00",0
"2026-05-02 20:00:00",0
"2026-05-02 21:00:00",0
"2026-05-02 22:00:00",0
"2026-05-02 23:00:00",0
"2026-05-03 00:00:00",0
"2026-05-03 01:00:00",0
"2026-05-03 02:00:00",0
"2026-05-03 03:00:00",0
"2026-05-03 04:00:00",0
"2026-05-03 05:00:00",0
"2026-05-03 06:00:00",181
"2026-05-03 07:00:00",1495
"2026-05-03 08:00:00",6858
"2026-05-03 09:00:00",7630
"2026-05-03 10:00:00",11972
"2026-05-03 11:00:00",13365
"2026-05-03 12:00:00",13284
"2026-05-03 13:00:00",13135
"2026-05-03 14:00:00",11423
"2026-05-03 15:00:00",9714
"2026-05-03 16:00:00",7184
"2026-05-03 17:00:00",2954
"2026-05-03 18:00:00",325
"2026-05-03 19:00:00",0
"2026-05-03 20:00:00",0
"2026-05-03 21:00:00",0
"2026-05-03 22:00:00",0
"2026-05-03 23:00:00",0
"2026-05-04 00:00:00",0
"2026-05-04 01:00:00",0
"2026-05-04 02:00:00",0
"2026-05-04 03:00:00",0
"2026-05-04 04:00:00",0
"2026-05-04 05:00:00",0
"2026-05-04 06:00:00",228
"2026-05-04 07:00:00",2724
"2026-05-04 08:00:00",6780
"2026-05-04 09:00:00",9794
"2026-05-04 10:00:00",11805
"2026-05-04 11:00:00",13159
"2026-05-04 12:00:00",13500
"2026-05-04 13:00:00",13074
"2026-05-04 14:00:00",11789
"2026-05-04 15:00:00",9699
"2026-05-04 16:00:00",6439
"2026-05-04 17:00:00",2449
"2026-05-04 18:00:00",248
"2026-05-04 19:00:00",0
"2026-05-04 20:00:00",0
"2026-05-04 21:00:00",0
"2026-05-04 22:00:00",0
"2026-05-04 23:00:00",0
"2026-05-05 00:00:00",0
"2026-05-05 01:00:00",0
"2026-05-05 02:00:00",0
"2026-05-05 03:00:00",0
"2026-05-05 04:00:00",0
"2026-05-05 05:00:00",0
"2026-05-05 06:00:00",424
"2026-05-05 07:00:00",2278
"2026-05-05 08:00:00",5050
"2026-05-05 09:00:00",10553
"2026-05-05 10:00:00",11593
"2026-05-05 11:00:00",10769
"2026-05-05 12:00:00",11675
"2026-05-05 13:00:00",6668
"2026-05-05 14:00:00",12504
"2026-05-05 15:00:00",9348
"2026-05-05 16:00:00",5683
"2026-05-05 17:00:00",1812
"2026-05-05 18:00:00",269
"2026-05-05 19:00:00",0
"2026-05-05 20:00:00",0
"2026-05-05 21:00:00",0
"2026-05-05 22:00:00",0
"2026-05-05 23:00:00",0
"2026-05-06 00:00:00",0
"2026-05-06 01:00:00",0
"2026-05-06 02:00:00",0
"2026-05-06 03:00:00",0
"2026-05-06 04:00:00",0
"2026-05-06 05:00:00",0
"2026-05-06 06:00:00",450
"2026-05-06 07:00:00",2452
"2026-05-06 08:00:00",7018
"2026-05-06 09:00:00",6325
"2026-05-06 10:00:00",7536
"2026-05-06 11:00:00",9483
"2026-05-06 12:00:00",8649
"2026-05-06 13:00:00",3785
"2026-05-06 14:00:00",4700
"2026-05-06 15:00:00",3414
"2026-05-06 16:00:00",1881
"2026-05-06 17:00:00",449
"2026-05-06 18:00:00",147
"2026-05-06 19:00:00",0
"2026-05-06 20:00:00",0
"2026-05-06 21:00:00",0
"2026-05-06 22:00:00",0
"2026-05-06 23:00:00",0
"2026-05-07 00:00:00",0
"2026-05-07 01:00:00",0
"2026-05-07 02:00:00",0
"2026-05-07 03:00:00",0
"2026-05-07 04:00:00",0
"2026-05-07 05:00:00",0
"2026-05-07 06:00:00",437
"2026-05-07 07:00:00",2192
"2026-05-07 08:00:00",5050
"2026-05-07 09:00:00",9590
"2026-05-07 10:00:00",11789
"2026-05-07 11:00:00",12230
"2026-05-07 12:00:00",13269
"2026-05-07 13:00:00",12187
"2026-05-07 14:00:00",11951
"2026-05-07 15:00:00",8829
"2026-05-07 16:00:00",6026
"2026-05-07 17:00:00",1720
"2026-05-07 18:00:00",268
"2026-05-07 19:00:00",0
"2026-05-07 20:00:00",0
"2026-05-07 21:00:00",0
"2026-05-07 22:00:00",0
"2026-05-07 23:00:00",0
