"DateTime","Inverter power for Inverter 1 (7E144A6A)"
"2026-04-03 00:00:00",0
"2026-04-03 01:00:00",0
"2026-04-03 02:00:00",0
"2026-04-03 03:00:00",0
"2026-04-03 04:00:00",0
"2026-04-03 05:00:00",0
"2026-04-03 06:00:00",169
"2026-04-03 07:00:00",878
"2026-04-03 08:00:00",1933
"2026-04-03 09:00:00",8131
"2026-04-03 10:00:00",11635
"2026-04-03 11:00:00",13341
"2026-04-03 12:00:00",13773
"2026-04-03 13:00:00",13221
"2026-04-03 14:00:00",11905
"2026-04-03 15:00:00",9204
"2026-04-03 16:00:00",5652
"2026-04-03 17:00:00",2244
"2026-04-03 18:00:00",336
"2026-04-03 19:00:00",0
"2026-04-03 20:00:00",0
"2026-04-03 21:00:00",0
"2026-04-03 22:00:00",0
"2026-04-03 23:00:00",0
"2026-04-04 00:00:00",0
"2026-04-04 01:00:00",0
"2026-04-04 02:00:00",0
"2026-04-04 03:00:00",0
"2026-04-04 04:00:00",0
"2026-04-04 05:00:00",0
"2026-04-04 06:00:00",135
"2026-04-04 07:00:00",1698
"2026-04-04 08:00:00",6193
"2026-04-04 09:00:00",9076
"2026-04-04 10:00:00",11934
"2026-04-04 11:00:00",12282
"2026-04-04 12:00:00",13938
"2026-04-04 13:00:00",11323
"2026-04-04 14:00:00",8984
"2026-04-04 15:00:00",9456
"2026-04-04 16:00:00",5194
"2026-04-04 17:00:00",2808
"2026-04-04 18:00:00",176
"2026-04-04 19:00:00",0
"2026-04-04 20:00:00",0
"2026-04-04 21:00:00",0
"2026-04-04 22:00:00",0
"2026-04-04 23:00:00",0
"2026-04-05 00:00:00",0
"2026-04-05 01:00:00",0
"2026-04-05 02:00:00",0
"2026-04-05 03:00:00",0
"2026-04-05 04:00:00",0
"2026-04-05 05:00:00",0
"2026-04-05 06:00:00",130
"2026-04-05 07:00:00",1027
"2026-04-05 08:00:00",3900
"2026-04-05 09:00:00",8582
"2026-04-05 10:00:00",12437
"2026-04-05 11:00:00",12642
"2026-04-05 12:00:00",11812
"2026-04-05 13:00:00",12645
"2026-04-05 14:00:00",12846
"2026-04-05 15:00:00",8732
"2026-04-05 16:00:00",5393
"2026-04-05 17:00:00",1836
"2026-04-05 18:00:00",230
"2026-04-05 19:00:00",0
"2026-04-05 20:00:00",0
"2026-04-05 21:00:00",0
"2026-04-05 22:00:00",0
"2026-04-05 23:00:00",0
"2026-04-06 00:00:00",0
"2026-04-06 01:00:00",0
"2026-04-06 02:00:00",0
"2026-04-06 03:00:00",0
"2026-04-06 04:00:00",0
"2026-04-06 05:00:00",0
"2026-04-06 06:00:00",268
"2026-04-06 07:00:00",1391
"2026-04-06 08:00:00",2560
"2026-04-06 09:00:00",7046
"2026-04-06 10:00:00",9951
"2026-04-06 11:00:00",12162
"2026-04-06 12:00:00",11422
"2026-04-06 13:00:00",12129
"2026-04-06 14:00:00",11210
"2026-04-06 15:00:00",8933
"2026-04-06 16:00:00",5465
"2026-04-06 17:00:00",1531
"2026-04-06 18:00:00",355
"2026-04-06 19:00:00",0
"2026-04-06 20:00:00",0
"2026-04-06 21:00:00",0
"2026-04-06 22:00:00",0
"2026-04-06 23:00:00",0
"2026-04-07 00:00:00",0
"2026-04-07 01:00:00",0
"2026-04-07 02:00:00",0
"2026-04-07 03:00:00",0
"2026-04-07 04:00:00",0
"2026-04-07 05:00:00",0
"2026-04-07 06:00:00",0
"2026-04-07 07:00:00",1922
"2026-04-07 08:00:00",5499
"2026-04-07 09:00:00",5549
"2026-04-07 10:00:00",8724
"2026-04-07 11:00:00",9370
"2026-04-07 12:00:00",2153
"2026-04-07 13:00:00",2374
"2026-04-07 14:00:00",1259
"2026-04-07 15:00:00",1207
"2026-04-07 16:00:00",1255
"2026-04-07 17:00:00",964
"2026-04-07 18:00:00",260
"2026-04-07 19:00:00",0
"2026-04-07 20:00:00",0
"2026-04-07 21:00:00",0
"2026-04-07 22:00:00",0
"2026-04-07 23:00:00",0
"2026-04-08 00:00:00",0
"2026-04-08 01:00:00",0
"2026-04-08 02:00:00",0
"2026-04-08 03:00:00",0
"2026-04-08 04:00:00",0
"2026-04-08 05:00:00",0
"2026-04-08 06:00:00",0
"2026-04-08 07:00:00",0
"2026-04-08 08:00:00",658
"2026-04-08 09:00:00",4620
"2026-04-08 10:00:00",4954
"2026-04-08 11:00:00",2975
"2026-04-08 12:00:00",3073
"2026-04-08 13:00:00",1396
"2026-04-08 14:00:00",1437
"2026-04-08 15:00:00",2149
"2026-04-08 16:00:00",1543
"2026-04-08 17:00:00",431
"2026-04-08 18:00:00",34
"2026-04-08 19:00:00",0
"2026-04-08 20:00:00",0
"2026-04-08 21:00:00",0
"2026-04-08 22:00:00",0
"2026-04-08 23:00:00",0
"2026-04-09 00:00:00",0
"2026-04-09 01:00:00",0
"2026-04-09 02:00:00",0
"2026-04-09 03:00:00",0
"2026-04-09 04:00:00",0
"2026-04-09 05:00:00",0
"2026-04-09 06:00:00",19
"2026-04-09 07:00:00",412
"2026-04-09 08:00:00",465
"2026-04-09 09:00:00",1525
"2026-04-09 10:00:00",2326
"2026-04-09 11:00:00",2698
"2026-04-09 12:00:00",2893
"2026-04-09 13:00:00",2837
"2026-04-09 14:00:00",2999
"2026-04-09 15:00:00",1303
"2026-04-09 16:00:00",587
"2026-04-09 17:00:00",595
"2026-04-09 18:00:00",178
"2026-04-09 19:00:00",0
"2026-04-09 20:00:00",0
"2026-04-09 21:00:00",0
"2026-04-09 22:00:00",0
"2026-04-09 23:00:00",0
