"DateTime","Inverter power for Inverter 1 (7E144A6A)"
"2026-04-17 00:00:00",0
"2026-04-17 01:00:00",0
"2026-04-17 02:00:00",0
"2026-04-17 03:00:00",0
"2026-04-17 04:00:00",0
"2026-04-17 05:00:00",0
"2026-04-17 06:00:00",231
"2026-04-17 07:00:00",2380
"2026-04-17 08:00:00",6156
"2026-04-17 09:00:00",9351
"2026-04-17 10:00:00",11123
"2026-04-17 11:00:00",11632
"2026-04-17 12:00:00",12320
"2026-04-17 13:00:00",10821
"2026-04-17 14:00:00",10030
"2026-04-17 15:00:00",7793
"2026-04-17 16:00:00",3869
"2026-04-17 17:00:00",1980
"2026-04-17 18:00:00",173
"2026-04-17 19:00:00",0
"2026-04-17 20:00:00",0
"2026-04-17 21:00:00",0
"2026-04-17 22:00:00",0
"2026-04-17 23:00:00",0
"2026-04-18 00:00:00",0
"2026-04-18 01:00:00",0
"2026-04-18 02:00:00",0
"2026-04-18 03:00:00",0
"2026-04-18 04:00:00",0
"2026-04-18 05:00:00",0
"2026-04-18 06:00:00",83
"2026-04-18 07:00:00",711
"2026-04-18 08:00:00",2099
"2026-04-18 09:00:00",3311
"2026-04-18 10:00:00",4200
"2026-04-18 11:00:00",4968
"2026-04-18 12:00:00",4966
"2026-04-18 13:00:00",4805
"2026-04-18 14:00:00",4586
"2026-04-18 15:00:00",6973
"2026-04-18 16:00:00",5005
"2026-04-18 17:00:00",1508
"2026-04-18 18:00:00",207
"2026-04-18 19:00:00",0
"2026-04-18 20:00:00",0
"2026-04-18 21:00:00",0
"2026-04-18 22:00:00",0
"2026-04-18 23:00:00",0
"2026-04-19 00:00:00",0
"2026-04-19 01:00:00",0
"2026-04-19 02:00:00",0
"2026-04-19 03:00:00",0
"2026-04-19 04:00:00",0
"2026-04-19 05:00:00",0
"2026-04-19 06:00:00",247
"2026-04-19 07:00:00",2825
"2026-04-19 08:00:00",5733
"2026-04-19 09:00:00",8326
"2026-04-19 10:00:00",9726
"2026-04-19 11:00:00",11963
"2026-04-19 12:00:00",13025
"2026-04-19 13:00:00",12842
"2026-04-19 14:00:00",11184
"2026-04-19 15:00:00",8295
"2026-04-19 16:00:00",6059
"2026-04-19 17:00:00",1916
"2026-04-19 18:00:00",385
"2026-04-19 19:00:00",0
"2026-04-19 20:00:00",0
"2026-04-19 21:00:00",0
"2026-04-19 22:00:00",0
"2026-04-19 23:00:00",0
"2026-04-20 00:00:00",0
"2026-04-20 01:00:00",0
"2026-04-20 02:00:00",0
"2026-04-20 03:00:00",0
"2026-04-20 04:00:00",0
"2026-04-20 05:00:00",0
"2026-04-20 06:00:00",0
"2026-04-20 07:00:00",1617
"2026-04-20 08:00:00",4605
"2026-04-20 09:00:00",5430
"2026-04-20 10:00:00",5766
"2026-04-20 11:00:00",10886
"2026-04-20 12:00:00",10443
"2026-04-20 13:00:00",10341
"2026-04-20 14:00:00",11001
"2026-04-20 15:00:00",9332
"2026-04-20 16:00:00",5506
"2026-04-20 17:00:00",3019
"2026-04-20 18:00:00",260
"2026-04-20 19:00:00",0
"2026-04-20 20:00:00",0
"2026-04-20 21:00:00",0
"2026-04-20 22:00:00",0
"2026-04-20 23:00:00",0
"2026-04-21 00:00:00",0
"2026-04-21 01:00:00",0
"2026-04-21 02:00:00",0
"2026-04-21 03:00:00",0
"2026-04-21 04:00:00",0
"2026-04-21 05:00:00",0
"2026-04-21 06:00:00",364
"2026-04-21 07:00:00",2663
"2026-04-21 08:00:00",6175
"2026-04-21 09:00:00",8424
"2026-04-21 10:00:00",7879
"2026-04-21 11:00:00",4962
"2026-04-21 12:00:00",4146
"2026-04-21 13:00:00",3285
"2026-04-21 14:00:00",5708
"2026-04-21 15:00:00",5449
"2026-04-21 16:00:00",4549
"2026-04-21 17:00:00",1009
"2026-04-21 18:00:00",280
"2026-04-21 19:00:00",0
"2026-04-21 20:00:00",0
"2026-04-21 21:00:00",0
"2026-04-21 22:00:00",0
"2026-04-21 23:00:00",0
"2026-04-22 00:00:00",0
"2026-04-22 01:00:00",0
"2026-04-22 02:00:00",0
"2026-04-22 03:00:00",0
"2026-04-22 04:00:00",0
"2026-04-22 05:00:00",0
"2026-04-22 06:00:00",0
"2026-04-22 07:00:00",2344
"2026-04-22 08:00:00",6308
"2026-04-22 09:00:00",9163
"2026-04-22 10:00:00",9563
"2026-04-22 11:00:00",10243
"2026-04-22 12:00:00",11879
"2026-04-22 13:00:00",12681
"2026-04-22 14:00:00",11381
"2026-04-22 15:00:00",9407
"2026-04-22 16:00:00",5422
"2026-04-22 17:00:00",2257
"2026-04-22 18:00:00",200
"2026-04-22 19:00:00",0
"2026-04-22 20:00:00",0
"2026-04-22 21:00:00",0
"2026-04-22 22:00:00",0
"2026-04-22 23:00:00",0
"2026-04-23 00:00:00",0
"2026-04-23 01:00:00",0
"2026-04-23 02:00:00",0
"2026-04-23 03:00:00",0
"2026-04-23 04:00:00",0
"2026-04-23 05:00:00",0
"2026-04-23 06:00:00",449
"2026-04-23 07:00:00",2197
"2026-04-23 08:00:00",5251
"2026-04-23 09:00:00",9528
"2026-04-23 10:00:00",6702
"2026-04-23 11:00:00",12289
"2026-04-23 12:00:00",9953
"2026-04-23 13:00:00",13202
"2026-04-23 14:00:00",11697
"2026-04-23 15:00:00",9465
"2026-04-23 16:00:00",6288
"2026-04-23 17:00:00",2310
"2026-04-23 18:00:00",201
"2026-04-23 19:00:00",0
"2026-04-23 20:00:00",0
"2026-04-23 21:00:00",0
"2026-04-23 22:00:00",0
"2026-04-23 23:00:00",0
