"DateTime","Inverter power for Inverter 1 (7E144A6A)"
"2026-04-24 00:00:00",0
"2026-04-24 01:00:00",0
"2026-04-24 02:00:00",0
"2026-04-24 03:00:00",0
"2026-04-24 04:00:00",0
"2026-04-24 05:00:00",0
"2026-04-24 06:00:00",244
"2026-04-24 07:00:00",2163
"2026-04-24 08:00:00",6644
"2026-04-24 09:00:00",9614
"2026-04-24 10:00:00",11625
"2026-04-24 11:00:00",13015
"2026-04-24 12:00:00",13436
"2026-04-24 13:00:00",12947
"2026-04-24 14:00:00",11769
"2026-04-24 15:00:00",9588
"2026-04-24 16:00:00",6267
"2026-04-24 17:00:00",2398
"2026-04-24 18:00:00",249
"2026-04-24 19:00:00",0
"2026-04-24 20:00:00",0
"2026-04-24 21:00:00",0
"2026-04-24 22:00:00",0
"2026-04-24 23:00:00",0
"2026-04-25 00:00:00",0
"2026-04-25 01:00:00",0
"2026-04-25 02:00:00",0
"2026-04-25 03:00:00",0
"2026-04-25 04:00:00",0
"2026-04-25 05:00:00",0
"2026-04-25 06:00:00",226
"2026-04-25 07:00:00",1813
"2026-04-25 08:00:00",6127
"2026-04-25 09:00:00",9670
"2026-04-25 10:00:00",11756
"2026-04-25 11:00:00",13002
"2026-04-25 12:00:00",13476
"2026-04-25 13:00:00",13139
"2026-04-25 14:00:00",11747
"2026-04-25 15:00:00",9673
"2026-04-25 16:00:00",6311
"2026-04-25 17:00:00",2408
"2026-04-25 18:00:00",259
"2026-04-25 19:00:00",0
"2026-04-25 20:00:00",0
"2026-04-25 21:00:00",0
"2026-04-25 22:00:00",0
"2026-04-25 23:00:00",0
"2026-04-26 00:00:00",0
"2026-04-26 01:00:00",0
"2026-04-26 02:00:00",0
"2026-04-26 03:00:00",0
"2026-04-26 04:00:00",0
"2026-04-26 05:00:00",0
"2026-04-26 06:00:00",341
"2026-04-26 07:00:00",2676
"2026-04-26 08:00:00",4910
"2026-04-26 09:00:00",9509
"2026-04-26 10:00:00",11932
"2026-04-26 11:00:00",12483
"2026-04-26 12:00:00",12291
"2026-04-26 13:00:00",13034
"2026-04-26 14:00:00",11773
"2026-04-26 15:00:00",9748
"2026-04-26 16:00:00",5808
"2026-04-26 17:00:00",1730
"2026-04-26 18:00:00",300
"2026-04-26 19:00:00",0
"2026-04-26 20:00:00",0
"2026-04-26 21:00:00",0
"2026-04-26 22:00:00",0
"2026-04-26 23:00:00",0
"2026-04-27 00:00:00",0
"2026-04-27 01:00:00",0
"2026-04-27 02:00:00",0
"2026-04-27 03:00:00",0
"2026-04-27 04:00:00",0
"2026-04-27 05:00:00",0
"2026-04-27 06:00:00",399
"2026-04-27 07:00:00",2925
"2026-04-27 08:00:00",6537
"2026-04-27 09:00:00",9548
"2026-04-27 10:00:00",11698
"2026-04-27 11:00:00",13320
"2026-04-27 12:00:00",13050
"2026-04-27 13:00:00",12524
"2026-04-27 14:00:00",10018
"2026-04-27 15:00:00",9159
"2026-04-27 16:00:00",5651
"2026-04-27 17:00:00",3385
"2026-04-27 18:00:00",547
"2026-04-27 19:00:00",0
"2026-04-27 20:00:00",0
"2026-04-27 21:00:00",0
"2026-04-27 22:00:00",0
"2026-04-27 23:00:00",0
"2026-04-28 00:00:00",0
"2026-04-28 01:00:00",0
"2026-04-28 02:00:00",0
"2026-04-28 03:00:00",0
"2026-04-28 04:00:00",0
"2026-04-28 05:00:00",0
"2026-04-28 06:00:00",335
"2026-04-28 07:00:00",1890
"2026-04-28 08:00:00",6297
"2026-04-28 09:00:00",7075
"2026-04-28 10:00:00",11175
"2026-04-28 11:00:00",9654
"2026-04-28 12:00:00",12133
"2026-04-28 13:00:00",13095
"2026-04-28 14:00:00",11723
"2026-04-28 15:00:00",9619
"2026-04-28 16:00:00",6316
"2026-04-28 17:00:00",2480
"2026-04-28 18:00:00",515
"2026-04-28 19:00:00",0
"2026-04-28 20:00:00",0
"2026-04-28 21:00:00",0
"2026-04-28 22:00:00",0
"2026-04-28 23:00:00",0
"2026-04-29 00:00:00",0
"2026-04-29 01:00:00",0
"2026-04-29 02:00:00",0
"2026-04-29 03:00:00",0
"2026-04-29 04:00:00",0
"2026-04-29 05:00:00",0
"2026-04-29 06:00:00",377
"2026-04-29 07:00:00",1183
"2026-04-29 08:00:00",4497
"2026-04-29 09:00:00",6305
"2026-04-29 10:00:00",12607
"2026-04-29 11:00:00",7066
"2026-04-29 12:00:00",9109
"2026-04-29 13:00:00",6109
"2026-04-29 14:00:00",8061
"2026-04-29 15:00:00",6390
"2026-04-29 16:00:00",4702
"2026-04-29 17:00:00",1695
"2026-04-29 18:00:00",455
"2026-04-29 19:00:00",0
"2026-04-29 20:00:00",0
"2026-04-29 21:00:00",0
"2026-04-29 22:00:00",0
"2026-04-29 23:00:00",0
"2026-04-30 00:00:00",0
"2026-04-30 01:00:00",0
"2026-04-30 02:00:00",0
"2026-04-30 03:00:00",0
"2026-04-30 04:00:00",0
"2026-04-30 05:00:00",0
"2026-04-30 06:00:00",157
"2026-04-30 07:00:00",2242
"2026-04-30 08:00:00",4347
"2026-04-30 09:00:00",8162
"2026-04-30 10:00:00",11192
"2026-04-30 11:00:00",11847
"2026-04-30 12:00:00",10382
"2026-04-30 13:00:00",10311
"2026-04-30 14:00:00",8667
"2026-04-30 15:00:00",6966
"2026-04-30 16:00:00",2784
"2026-04-30 17:00:00",1676
"2026-04-30 18:00:00",485
"2026-04-30 19:00:00",0
"2026-04-30 20:00:00",0
"2026-04-30 21:00:00",0
"2026-04-30 22:00:00",0
"2026-04-30 23:00:00",0
