"DateTime","Inverter power for Inverter 1 (7E144A6A)"
"2026-05-29 00:00:00",0
"2026-05-29 01:00:00",0
"2026-05-29 02:00:00",0
"2026-05-29 03:00:00",0
"2026-05-29 04:00:00",0
"2026-05-29 05:00:00",0
"2026-05-29 06:00:00",320
"2026-05-29 07:00:00",1485
"2026-05-29 08:00:00",3706
"2026-05-29 09:00:00",9224
"2026-05-29 10:00:00",10614
"2026-05-29 11:00:00",12098
"2026-05-29 12:00:00",12133
"2026-05-29 13:00:00",12019
"2026-05-29 14:00:00",9570
"2026-05-29 15:00:00",9980
"2026-05-29 16:00:00",3693
"2026-05-29 17:00:00",1984
"2026-05-29 18:00:00",785
"2026-05-29 19:00:00",0
"2026-05-29 20:00:00",0
"2026-05-29 21:00:00",0
"2026-05-29 22:00:00",0
"2026-05-29 23:00:00",0
"2026-05-30 00:00:00",0
"2026-05-30 01:00:00",0
"2026-05-30 02:00:00",0
"2026-05-30 03:00:00",0
"2026-05-30 04:00:00",0
"2026-05-30 05:00:00",0
"2026-05-30 06:00:00",217
"2026-05-30 07:00:00",415
"2026-05-30 08:00:00",0
"2026-05-30 09:00:00",0
"2026-05-30 10:00:00",3659
"2026-05-30 11:00:00",10778
"2026-05-30 12:00:00",8247
"2026-05-30 13:00:00",11180
"2026-05-30 14:00:00",11402
"2026-05-30 15:00:00",9270
"2026-05-30 16:00:00",6634
"2026-05-30 17:00:00",2214
"2026-05-30 18:00:00",537
"2026-05-30 19:00:00",0
"2026-05-30 20:00:00",0
"2026-05-30 21:00:00",0
"2026-05-30 22:00:00",0
"2026-05-30 23:00:00",0
"2026-05-31 00:00:00",0
"2026-05-31 01:00:00",0
"2026-05-31 02:00:00",0
"2026-05-31 03:00:00",0
"2026-05-31 04:00:00",0
"2026-05-31 05:00:00",0
"2026-05-31 06:00:00",537
"2026-05-31 07:00:00",2045
"2026-05-31 08:00:00",5142
"2026-05-31 09:00:00",8973
"2026-05-31 10:00:00",11651
"2026-05-31 11:00:00",12878
"2026-05-31 12:00:00",13002
"2026-05-31 13:00:00",12913
"2026-05-31 14:00:00",11617
"2026-05-31 15:00:00",9630
"2026-05-31 16:00:00",6694
"2026-05-31 17:00:00",2795
"2026-05-31 18:00:00",456
"2026-05-31 19:00:00",0
"2026-05-31 20:00:00",0
"2026-05-31 21:00:00",0
"2026-05-31 22:00:00",0
"2026-05-31 23:00:00",0
"2026-06-01 00:00:00",0
"2026-06-01 01:00:00",0
"2026-06-01 02:00:00",0
"2026-06-01 03:00:00",0
"2026-06-01 04:00:00",0
"2026-06-01 05:00:00",0
"2026-06-01 06:00:00",316
"2026-06-01 07:00:00",2831
"2026-06-01 08:00:00",5002
"2026-06-01 09:00:00",9281
"2026-06-01 10:00:00",9781
"2026-06-01 11:00:00",12703
"2026-06-01 12:00:00",13596
"2026-06-01 13:00:00",12874
"2026-06-01 14:00:00",11573
"2026-06-01 15:00:00",9340
"2026-06-01 16:00:00",6449
"2026-06-01 17:00:00",2856
"2026-06-01 18:00:00",582
"2026-06-01 19:00:00",0
"2026-06-01 20:00:00",0
"2026-06-01 21:00:00",0
"2026-06-01 22:00:00",0
"2026-06-01 23:00:00",0
"2026-06-02 00:00:00",0
"2026-06-02 01:00:00",0
"2026-06-02 02:00:00",0
"2026-06-02 03:00:00",0
"2026-06-02 04:00:00",0
"2026-06-02 05:00:00",0
"2026-06-02 06:00:00",438
"2026-06-02 07:00:00",1096
"2026-06-02 08:00:00",1934
"2026-06-02 09:00:00",2260
"2026-06-02 10:00:00",2938
"2026-06-02 11:00:00",6232
"2026-06-02 12:00:00",9217
"2026-06-02 13:00:00",6883
"2026-06-02 14:00:00",4604
"2026-06-02 15:00:00",3690
"2026-06-02 16:00:00",2008
"2026-06-02 17:00:00",1009
"2026-06-02 18:00:00",583
"2026-06-02 19:00:00",5
"2026-06-02 20:00:00",0
"2026-06-02 21:00:00",0
"2026-06-02 22:00:00",0
"2026-06-02 23:00:00",0
"2026-06-03 00:00:00",0
"2026-06-03 01:00:00",0
"2026-06-03 02:00:00",0
"2026-06-03 03:00:00",0
"2026-06-03 04:00:00",0
"2026-06-03 05:00:00",0
"2026-06-03 06:00:00",426
"2026-06-03 07:00:00",1882
"2026-06-03 08:00:00",4859
"2026-06-03 09:00:00",5554
"2026-06-03 10:00:00",11878
"2026-06-03 11:00:00",13327
"2026-06-03 12:00:00",11949
"2026-06-03 13:00:00",10935
"2026-06-03 14:00:00",7536
"2026-06-03 15:00:00",5830
"2026-06-03 16:00:00",6586
"2026-06-03 17:00:00",1951
"2026-06-03 18:00:00",496
"2026-06-03 19:00:00",0
"2026-06-03 20:00:00",0
"2026-06-03 21:00:00",0
"2026-06-03 22:00:00",0
"2026-06-03 23:00:00",0
"2026-06-04 00:00:00",0
"2026-06-04 01:00:00",0
"2026-06-04 02:00:00",0
"2026-06-04 03:00:00",0
"2026-06-04 04:00:00",0
"2026-06-04 05:00:00",0
"2026-06-04 06:00:00",276
"2026-06-04 07:00:00",2489
"2026-06-04 08:00:00",6752
"2026-06-04 09:00:00",6791
"2026-06-04 10:00:00",11664
"2026-06-04 11:00:00",12399
"2026-06-04 12:00:00",9476
"2026-06-04 13:00:00",10981
"2026-06-04 14:00:00",10151
"2026-06-04 15:00:00",9960
"2026-06-04 16:00:00",1692
"2026-06-04 17:00:00",967
"2026-06-04 18:00:00",659
"2026-06-04 19:00:00",13
"2026-06-04 20:00:00",0
"2026-06-04 21:00:00",0
"2026-06-04 22:00:00",0
"2026-06-04 23:00:00",0
