 ;Warrior Recreation Center / Power / Mean values [kW]
"=""17/04/ 1:00 AM"""; 
"=""17/04/ 2:00 AM"""; 
"=""17/04/ 3:00 AM"""; 
"=""17/04/ 4:00 AM"""; 
"=""17/04/ 5:00 AM"""; 
"=""17/04/ 6:00 AM"""; 
"=""17/04/ 7:00 AM""";0.02
"=""17/04/ 8:00 AM""";0.47
"=""17/04/ 9:00 AM""";1.65
"=""17/04/ 10:00 AM""";2.41
"=""17/04/ 11:00 AM""";2.81
"=""17/04/ 12:00 PM""";2.86
"=""17/04/ 1:00 PM""";2.88
"=""17/04/ 2:00 PM""";2.92
"=""17/04/ 3:00 PM""";2.65
"=""17/04/ 4:00 PM""";2.43
"=""17/04/ 5:00 PM""";1.30
"=""17/04/ 6:00 PM""";0.90
"=""17/04/ 7:00 PM""";0.09
"=""17/04/ 8:00 PM""";0.00
"=""17/04/ 9:00 PM"""; 
"=""17/04/ 10:00 PM"""; 
"=""17/04/ 11:00 PM"""; 
"=""18/04/ 12:00 AM"""; 
"=""18/04/ 1:00 AM"""; 
"=""18/04/ 2:00 AM"""; 
"=""18/04/ 3:00 AM"""; 
"=""18/04/ 4:00 AM"""; 
"=""18/04/ 5:00 AM"""; 
"=""18/04/ 6:00 AM"""; 
"=""18/04/ 7:00 AM""";0.00
"=""18/04/ 8:00 AM""";0.12
"=""18/04/ 9:00 AM""";0.60
"=""18/04/ 10:00 AM""";1.01
"=""18/04/ 11:00 AM""";1.24
"=""18/04/ 12:00 PM""";1.62
"=""18/04/ 1:00 PM""";1.46
"=""18/04/ 2:00 PM""";1.60
"=""18/04/ 3:00 PM""";1.35
"=""18/04/ 4:00 PM""";1.98
"=""18/04/ 5:00 PM""";1.94
"=""18/04/ 6:00 PM""";0.74
"=""18/04/ 7:00 PM""";0.13
"=""18/04/ 8:00 PM""";0.00
"=""18/04/ 9:00 PM"""; 
"=""18/04/ 10:00 PM"""; 
"=""18/04/ 11:00 PM"""; 
"=""19/04/ 12:00 AM"""; 
"=""19/04/ 1:00 AM"""; 
"=""19/04/ 2:00 AM"""; 
"=""19/04/ 3:00 AM"""; 
"=""19/04/ 4:00 AM"""; 
"=""19/04/ 5:00 AM"""; 
"=""19/04/ 6:00 AM"""; 
"=""19/04/ 7:00 AM""";0.02
"=""19/04/ 8:00 AM""";0.53
"=""19/04/ 9:00 AM""";1.64
"=""19/04/ 10:00 AM""";2.26
"=""19/04/ 11:00 AM""";2.67
"=""19/04/ 12:00 PM""";2.90
"=""19/04/ 1:00 PM""";3.01
"=""19/04/ 2:00 PM""";3.03
"=""19/04/ 3:00 PM""";2.80
"=""19/04/ 4:00 PM""";2.41
"=""19/04/ 5:00 PM""";1.93
"=""19/04/ 6:00 PM""";0.90
"=""19/04/ 7:00 PM""";0.20
"=""19/04/ 8:00 PM""";0.00
"=""19/04/ 9:00 PM"""; 
"=""19/04/ 10:00 PM"""; 
"=""19/04/ 11:00 PM"""; 
"=""20/04/ 12:00 AM"""; 
"=""20/04/ 1:00 AM"""; 
"=""20/04/ 2:00 AM"""; 
"=""20/04/ 3:00 AM"""; 
"=""20/04/ 4:00 AM"""; 
"=""20/04/ 5:00 AM"""; 
"=""20/04/ 6:00 AM"""; 
"=""20/04/ 7:00 AM""";0.04
"=""20/04/ 8:00 AM""";0.47
"=""20/04/ 9:00 AM""";1.34
"=""20/04/ 10:00 AM""";1.40
"=""20/04/ 11:00 AM""";1.66
"=""20/04/ 12:00 PM""";2.66
"=""20/04/ 1:00 PM""";2.76
"=""20/04/ 2:00 PM""";2.67
"=""20/04/ 3:00 PM""";2.78
"=""20/04/ 4:00 PM""";2.48
"=""20/04/ 5:00 PM""";1.76
"=""20/04/ 6:00 PM""";1.22
"=""20/04/ 7:00 PM""";0.21
"=""20/04/ 8:00 PM""";0.00
"=""20/04/ 9:00 PM"""; 
"=""20/04/ 10:00 PM"""; 
"=""20/04/ 11:00 PM"""; 
"=""21/04/ 12:00 AM"""; 
"=""21/04/ 1:00 AM"""; 
"=""21/04/ 2:00 AM"""; 
"=""21/04/ 3:00 AM"""; 
"=""21/04/ 4:00 AM"""; 
"=""21/04/ 5:00 AM"""; 
"=""21/04/ 6:00 AM"""; 
"=""21/04/ 7:00 AM""";0.03
"=""21/04/ 8:00 AM""";0.68
"=""21/04/ 9:00 AM""";1.66
"=""21/04/ 10:00 AM""";2.34
"=""21/04/ 11:00 AM""";2.12
"=""21/04/ 12:00 PM""";1.70
"=""21/04/ 1:00 PM""";1.40
"=""21/04/ 2:00 PM""";0.95
"=""21/04/ 3:00 PM""";1.41
"=""21/04/ 4:00 PM""";1.06
"=""21/04/ 5:00 PM""";1.74
"=""21/04/ 6:00 PM""";0.45
"=""21/04/ 7:00 PM""";0.14
"=""21/04/ 8:00 PM""";0.00
"=""21/04/ 9:00 PM"""; 
"=""21/04/ 10:00 PM"""; 
"=""21/04/ 11:00 PM"""; 
"=""22/04/ 12:00 AM"""; 
"=""22/04/ 1:00 AM"""; 
"=""22/04/ 2:00 AM"""; 
"=""22/04/ 3:00 AM"""; 
"=""22/04/ 4:00 AM"""; 
"=""22/04/ 5:00 AM"""; 
"=""22/04/ 6:00 AM"""; 
"=""22/04/ 7:00 AM""";0.01
"=""22/04/ 8:00 AM""";0.70
"=""22/04/ 9:00 AM""";1.74
"=""22/04/ 10:00 AM""";2.30
"=""22/04/ 11:00 AM""";2.69
"=""22/04/ 12:00 PM""";2.65
"=""22/04/ 1:00 PM""";3.06
"=""22/04/ 2:00 PM""";2.94
"=""22/04/ 3:00 PM""";2.92
"=""22/04/ 4:00 PM""";2.58
"=""22/04/ 5:00 PM""";1.94
"=""22/04/ 6:00 PM""";1.11
"=""22/04/ 7:00 PM""";0.17
"=""22/04/ 8:00 PM""";0.00
"=""22/04/ 9:00 PM"""; 
"=""22/04/ 10:00 PM"""; 
"=""22/04/ 11:00 PM"""; 
"=""23/04/ 12:00 AM"""; 
"=""23/04/ 1:00 AM"""; 
"=""23/04/ 2:00 AM"""; 
"=""23/04/ 3:00 AM"""; 
"=""23/04/ 4:00 AM"""; 
"=""23/04/ 5:00 AM"""; 
"=""23/04/ 6:00 AM"""; 
"=""23/04/ 7:00 AM""";0.05
"=""23/04/ 8:00 AM""";0.48
"=""23/04/ 9:00 AM""";1.37
"=""23/04/ 10:00 AM""";2.29
"=""23/04/ 11:00 AM""";1.94
"=""23/04/ 12:00 PM""";2.94
"=""23/04/ 1:00 PM""";2.88
"=""23/04/ 2:00 PM""";3.09
"=""23/04/ 3:00 PM""";3.09
"=""23/04/ 4:00 PM""";2.69
"=""23/04/ 5:00 PM""";2.14
"=""23/04/ 6:00 PM""";1.17
"=""23/04/ 7:00 PM""";0.17
"=""23/04/ 8:00 PM""";0.00
"=""23/04/ 9:00 PM"""; 
"=""23/04/ 10:00 PM"""; 
"=""23/04/ 11:00 PM"""; 
"=""24/04/ 12:00 AM"""; 
