 ;Warrior Recreation Center / Power / Mean values [kW]
"=""27/03/ 1:00 AM"""; 
"=""27/03/ 2:00 AM"""; 
"=""27/03/ 3:00 AM"""; 
"=""27/03/ 4:00 AM"""; 
"=""27/03/ 5:00 AM"""; 
"=""27/03/ 6:00 AM"""; 
"=""27/03/ 7:00 AM""";0.00
"=""27/03/ 8:00 AM""";0.23
"=""27/03/ 9:00 AM""";0.44
"=""27/03/ 10:00 AM""";1.80
"=""27/03/ 11:00 AM""";3.23
"=""27/03/ 12:00 PM""";3.55
"=""27/03/ 1:00 PM""";3.71
"=""27/03/ 2:00 PM""";3.68
"=""27/03/ 3:00 PM""";3.53
"=""27/03/ 4:00 PM""";3.12
"=""27/03/ 5:00 PM""";2.10
"=""27/03/ 6:00 PM""";1.18
"=""27/03/ 7:00 PM""";0.16
"=""27/03/ 8:00 PM""";0.00
"=""27/03/ 9:00 PM"""; 
"=""27/03/ 10:00 PM"""; 
"=""27/03/ 11:00 PM"""; 
"=""28/03/ 12:00 AM"""; 
"=""28/03/ 1:00 AM"""; 
"=""28/03/ 2:00 AM"""; 
"=""28/03/ 3:00 AM"""; 
"=""28/03/ 4:00 AM"""; 
"=""28/03/ 5:00 AM"""; 
"=""28/03/ 6:00 AM"""; 
"=""28/03/ 7:00 AM""";0.01
"=""28/03/ 8:00 AM""";0.21
"=""28/03/ 9:00 AM""";1.33
"=""28/03/ 10:00 AM""";2.45
"=""28/03/ 11:00 AM""";3.29
"=""28/03/ 12:00 PM""";3.69
"=""28/03/ 1:00 PM""";3.45
"=""28/03/ 2:00 PM""";3.68
"=""28/03/ 3:00 PM""";3.22
"=""28/03/ 4:00 PM""";3.16
"=""28/03/ 5:00 PM""";2.22
"=""28/03/ 6:00 PM""";0.69
"=""28/03/ 7:00 PM""";0.31
"=""28/03/ 8:00 PM""";0.00
"=""28/03/ 9:00 PM"""; 
"=""28/03/ 10:00 PM"""; 
"=""28/03/ 11:00 PM"""; 
"=""29/03/ 12:00 AM"""; 
"=""29/03/ 1:00 AM"""; 
"=""29/03/ 2:00 AM"""; 
"=""29/03/ 3:00 AM"""; 
"=""29/03/ 4:00 AM"""; 
"=""29/03/ 5:00 AM"""; 
"=""29/03/ 6:00 AM"""; 
"=""29/03/ 7:00 AM""";0.00
"=""29/03/ 8:00 AM""";0.41
"=""29/03/ 9:00 AM""";1.76
"=""29/03/ 10:00 AM""";2.72
"=""29/03/ 11:00 AM""";3.30
"=""29/03/ 12:00 PM""";3.32
"=""29/03/ 1:00 PM""";3.61
"=""29/03/ 2:00 PM""";3.70
"=""29/03/ 3:00 PM""";3.54
"=""29/03/ 4:00 PM""";3.02
"=""29/03/ 5:00 PM""";2.12
"=""29/03/ 6:00 PM""";0.82
"=""29/03/ 7:00 PM""";0.26
"=""29/03/ 8:00 PM""";0.00
"=""29/03/ 9:00 PM"""; 
"=""29/03/ 10:00 PM"""; 
"=""29/03/ 11:00 PM"""; 
"=""30/03/ 12:00 AM"""; 
"=""30/03/ 1:00 AM"""; 
"=""30/03/ 2:00 AM"""; 
"=""30/03/ 3:00 AM"""; 
"=""30/03/ 4:00 AM"""; 
"=""30/03/ 5:00 AM"""; 
"=""30/03/ 6:00 AM"""; 
"=""30/03/ 7:00 AM""";0.00
"=""30/03/ 8:00 AM""";0.27
"=""30/03/ 9:00 AM""";0.72
"=""30/03/ 10:00 AM""";1.32
"=""30/03/ 11:00 AM""";2.19
"=""30/03/ 12:00 PM""";2.81
"=""30/03/ 1:00 PM""";2.98
"=""30/03/ 2:00 PM""";2.92
"=""30/03/ 3:00 PM""";2.61
"=""30/03/ 4:00 PM""";2.85
"=""30/03/ 5:00 PM""";2.46
"=""30/03/ 6:00 PM""";1.28
"=""30/03/ 7:00 PM""";0.24
"=""30/03/ 8:00 PM""";0.00
"=""30/03/ 9:00 PM"""; 
"=""30/03/ 10:00 PM"""; 
"=""30/03/ 11:00 PM"""; 
"=""31/03/ 12:00 AM"""; 
"=""31/03/ 1:00 AM"""; 
"=""31/03/ 2:00 AM"""; 
"=""31/03/ 3:00 AM"""; 
"=""31/03/ 4:00 AM"""; 
"=""31/03/ 5:00 AM"""; 
"=""31/03/ 6:00 AM"""; 
"=""31/03/ 7:00 AM""";0.00
"=""31/03/ 8:00 AM""";0.38
"=""31/03/ 9:00 AM""";0.63
"=""31/03/ 10:00 AM""";1.77
"=""31/03/ 11:00 AM""";3.16
"=""31/03/ 12:00 PM""";3.43
"=""31/03/ 1:00 PM""";3.45
"=""31/03/ 2:00 PM""";3.52
"=""31/03/ 3:00 PM""";3.44
"=""31/03/ 4:00 PM""";3.00
"=""31/03/ 5:00 PM""";1.92
"=""31/03/ 6:00 PM""";1.00
"=""31/03/ 7:00 PM""";0.32
"=""31/03/ 8:00 PM""";0.00
"=""31/03/ 9:00 PM"""; 
"=""31/03/ 10:00 PM"""; 
"=""31/03/ 11:00 PM"""; 
"=""01/04/ 12:00 AM"""; 
"=""01/04/ 1:00 AM"""; 
"=""01/04/ 2:00 AM"""; 
"=""01/04/ 3:00 AM"""; 
"=""01/04/ 4:00 AM"""; 
"=""01/04/ 5:00 AM"""; 
"=""01/04/ 6:00 AM"""; 
"=""01/04/ 7:00 AM""";0.01
"=""01/04/ 8:00 AM""";0.49
"=""01/04/ 9:00 AM""";1.18
"=""01/04/ 10:00 AM""";2.64
"=""01/04/ 11:00 AM""";3.18
"=""01/04/ 12:00 PM""";3.30
"=""01/04/ 1:00 PM""";3.36
"=""01/04/ 2:00 PM""";3.27
"=""01/04/ 3:00 PM""";3.07
"=""01/04/ 4:00 PM""";2.98
"=""01/04/ 5:00 PM""";2.08
"=""01/04/ 6:00 PM""";1.29
"=""01/04/ 7:00 PM""";0.27
"=""01/04/ 8:00 PM""";0.00
"=""01/04/ 9:00 PM"""; 
"=""01/04/ 10:00 PM"""; 
"=""01/04/ 11:00 PM"""; 
"=""02/04/ 12:00 AM"""; 
"=""02/04/ 1:00 AM"""; 
"=""02/04/ 2:00 AM"""; 
"=""02/04/ 3:00 AM"""; 
"=""02/04/ 4:00 AM"""; 
"=""02/04/ 5:00 AM"""; 
"=""02/04/ 6:00 AM"""; 
"=""02/04/ 7:00 AM""";0.00
"=""02/04/ 8:00 AM""";0.35
"=""02/04/ 9:00 AM""";0.88
"=""02/04/ 10:00 AM""";1.35
"=""02/04/ 11:00 AM""";1.76
"=""02/04/ 12:00 PM""";2.29
"=""02/04/ 1:00 PM""";2.61
"=""02/04/ 2:00 PM""";2.40
"=""02/04/ 3:00 PM""";2.85
"=""02/04/ 4:00 PM""";2.05
"=""02/04/ 5:00 PM""";1.28
"=""02/04/ 6:00 PM""";0.56
