 ;Warrior Recreation Center / Power / Mean values [kW]
"=""15/05/ 1:00 AM"""; 
"=""15/05/ 2:00 AM"""; 
"=""15/05/ 3:00 AM"""; 
"=""15/05/ 4:00 AM"""; 
"=""15/05/ 5:00 AM"""; 
"=""15/05/ 6:00 AM"""; 
"=""15/05/ 7:00 AM""";0.07
"=""15/05/ 8:00 AM""";0.63
"=""15/05/ 9:00 AM""";1.58
"=""15/05/ 10:00 AM""";1.55
"=""15/05/ 11:00 AM""";2.25
"=""15/05/ 12:00 PM""";1.96
"=""15/05/ 1:00 PM""";2.03
"=""15/05/ 2:00 PM""";1.02
"=""15/05/ 3:00 PM""";0.23
"=""15/05/ 4:00 PM""";0.01
"=""15/05/ 5:00 PM""";0.00
"=""15/05/ 6:00 PM""";0.02
"=""15/05/ 7:00 PM""";0.00
"=""15/05/ 8:00 PM""";0.00
"=""15/05/ 9:00 PM"""; 
"=""15/05/ 10:00 PM"""; 
"=""15/05/ 11:00 PM"""; 
"=""16/05/ 12:00 AM"""; 
"=""16/05/ 1:00 AM"""; 
"=""16/05/ 2:00 AM"""; 
"=""16/05/ 3:00 AM"""; 
"=""16/05/ 4:00 AM"""; 
"=""16/05/ 5:00 AM"""; 
"=""16/05/ 6:00 AM"""; 
"=""16/05/ 7:00 AM""";0.06
"=""16/05/ 8:00 AM""";0.66
"=""16/05/ 9:00 AM""";1.73
"=""16/05/ 10:00 AM""";2.17
"=""16/05/ 11:00 AM""";1.95
"=""16/05/ 12:00 PM""";3.00
"=""16/05/ 1:00 PM""";3.00
"=""16/05/ 2:00 PM""";3.11
"=""16/05/ 3:00 PM""";3.05
"=""16/05/ 4:00 PM""";2.73
"=""16/05/ 5:00 PM""";2.06
"=""16/05/ 6:00 PM""";1.12
"=""16/05/ 7:00 PM""";0.26
"=""16/05/ 8:00 PM""";0.00
"=""16/05/ 9:00 PM"""; 
"=""16/05/ 10:00 PM"""; 
"=""16/05/ 11:00 PM"""; 
"=""17/05/ 12:00 AM"""; 
"=""17/05/ 1:00 AM"""; 
"=""17/05/ 2:00 AM"""; 
"=""17/05/ 3:00 AM"""; 
"=""17/05/ 4:00 AM"""; 
"=""17/05/ 5:00 AM"""; 
"=""17/05/ 6:00 AM"""; 
"=""17/05/ 7:00 AM""";0.06
"=""17/05/ 8:00 AM""";0.74
"=""17/05/ 9:00 AM""";1.81
"=""17/05/ 10:00 AM""";2.48
