 ;Warrior Recreation Center / Power / Mean values [kW]
"=""17/05/ 11:00 AM""";2.57
"=""17/05/ 12:00 PM""";1.77
"=""17/05/ 1:00 PM""";1.80
"=""17/05/ 2:00 PM""";2.74
"=""17/05/ 3:00 PM""";3.03
"=""17/05/ 4:00 PM""";2.52
"=""17/05/ 5:00 PM""";1.91
"=""17/05/ 6:00 PM""";1.01
"=""17/05/ 7:00 PM""";0.22
"=""17/05/ 8:00 PM""";0.02
"=""17/05/ 9:00 PM"""; 
"=""17/05/ 10:00 PM"""; 
"=""17/05/ 11:00 PM"""; 
"=""18/05/ 12:00 AM"""; 
"=""18/05/ 1:00 AM"""; 
"=""18/05/ 2:00 AM"""; 
"=""18/05/ 3:00 AM"""; 
"=""18/05/ 4:00 AM"""; 
"=""18/05/ 5:00 AM"""; 
"=""18/05/ 6:00 AM"""; 
"=""18/05/ 7:00 AM""";0.05
"=""18/05/ 8:00 AM""";0.47
"=""18/05/ 9:00 AM""";1.33
"=""18/05/ 10:00 AM""";1.89
"=""18/05/ 11:00 AM""";1.97
"=""18/05/ 12:00 PM""";2.15
"=""18/05/ 1:00 PM""";2.59
"=""18/05/ 2:00 PM""";3.10
"=""18/05/ 3:00 PM""";3.16
"=""18/05/ 4:00 PM""";2.71
"=""18/05/ 5:00 PM""";1.86
"=""18/05/ 6:00 PM""";1.20
"=""18/05/ 7:00 PM""";0.24
"=""18/05/ 8:00 PM""";0.00
"=""18/05/ 9:00 PM"""; 
"=""18/05/ 10:00 PM"""; 
"=""18/05/ 11:00 PM"""; 
"=""19/05/ 12:00 AM"""; 
"=""19/05/ 1:00 AM"""; 
"=""19/05/ 2:00 AM"""; 
"=""19/05/ 3:00 AM"""; 
"=""19/05/ 4:00 AM"""; 
"=""19/05/ 5:00 AM"""; 
"=""19/05/ 6:00 AM"""; 
"=""19/05/ 7:00 AM""";0.04
"=""19/05/ 8:00 AM""";0.44
"=""19/05/ 9:00 AM""";1.57
"=""19/05/ 10:00 AM""";2.08
"=""19/05/ 11:00 AM""";2.91
"=""19/05/ 12:00 PM""";3.05
"=""19/05/ 1:00 PM""";3.21
"=""19/05/ 2:00 PM""";3.14
"=""19/05/ 3:00 PM""";3.02
"=""19/05/ 4:00 PM""";2.49
"=""19/05/ 5:00 PM""";1.77
"=""19/05/ 6:00 PM""";1.12
"=""19/05/ 7:00 PM""";0.33
"=""19/05/ 8:00 PM""";0.01
"=""19/05/ 9:00 PM"""; 
"=""19/05/ 10:00 PM"""; 
"=""19/05/ 11:00 PM"""; 
"=""20/05/ 12:00 AM"""; 
"=""20/05/ 1:00 AM"""; 
"=""20/05/ 2:00 AM"""; 
"=""20/05/ 3:00 AM"""; 
"=""20/05/ 4:00 AM"""; 
"=""20/05/ 5:00 AM"""; 
"=""20/05/ 6:00 AM""";0.00
"=""20/05/ 7:00 AM""";0.03
"=""20/05/ 8:00 AM""";0.49
"=""20/05/ 9:00 AM""";1.18
"=""20/05/ 10:00 AM""";1.88
"=""20/05/ 11:00 AM""";2.69
"=""20/05/ 12:00 PM""";2.87
"=""20/05/ 1:00 PM""";2.64
"=""20/05/ 2:00 PM""";2.18
"=""20/05/ 3:00 PM""";1.66
"=""20/05/ 4:00 PM""";2.26
"=""20/05/ 5:00 PM""";2.12
"=""20/05/ 6:00 PM""";0.80
"=""20/05/ 7:00 PM""";0.19
"=""20/05/ 8:00 PM""";0.00
"=""20/05/ 9:00 PM"""; 
"=""20/05/ 10:00 PM"""; 
"=""20/05/ 11:00 PM"""; 
"=""21/05/ 12:00 AM"""; 
"=""21/05/ 1:00 AM"""; 
"=""21/05/ 2:00 AM"""; 
"=""21/05/ 3:00 AM"""; 
"=""21/05/ 4:00 AM"""; 
"=""21/05/ 5:00 AM"""; 
"=""21/05/ 6:00 AM""";0.00
"=""21/05/ 7:00 AM""";0.05
"=""21/05/ 8:00 AM""";0.43
"=""21/05/ 9:00 AM""";0.73
"=""21/05/ 10:00 AM""";1.41
"=""21/05/ 11:00 AM""";2.39
"=""21/05/ 12:00 PM""";2.22
"=""21/05/ 1:00 PM""";2.22
"=""21/05/ 2:00 PM""";2.12
"=""21/05/ 3:00 PM""";1.71
"=""21/05/ 4:00 PM""";0.99
"=""21/05/ 5:00 PM""";0.54
"=""21/05/ 6:00 PM""";0.29
"=""21/05/ 7:00 PM""";0.09
"=""21/05/ 8:00 PM""";0.00
"=""21/05/ 9:00 PM"""; 
"=""21/05/ 10:00 PM"""; 
"=""21/05/ 11:00 PM"""; 
"=""22/05/ 12:00 AM"""; 
