 ;Warrior Recreation Center / Power / Mean values [kW]
"=""20/03/ 1:00 AM"""; 
"=""20/03/ 2:00 AM"""; 
"=""20/03/ 3:00 AM"""; 
"=""20/03/ 4:00 AM"""; 
"=""20/03/ 5:00 AM"""; 
"=""20/03/ 6:00 AM"""; 
"=""20/03/ 7:00 AM"""; 
"=""20/03/ 8:00 AM""";0.03
"=""20/03/ 9:00 AM""";0.11
"=""20/03/ 10:00 AM""";0.12
"=""20/03/ 11:00 AM""";0.35
"=""20/03/ 12:00 PM""";0.67
"=""20/03/ 1:00 PM""";0.91
"=""20/03/ 2:00 PM""";1.00
"=""20/03/ 3:00 PM""";1.00
"=""20/03/ 4:00 PM""";0.61
"=""20/03/ 5:00 PM""";0.17
"=""20/03/ 6:00 PM""";0.02
"=""20/03/ 7:00 PM""";0.01
"=""20/03/ 8:00 PM"""; 
"=""20/03/ 9:00 PM"""; 
"=""20/03/ 10:00 PM"""; 
"=""20/03/ 11:00 PM"""; 
"=""21/03/ 12:00 AM"""; 
"=""21/03/ 1:00 AM"""; 
"=""21/03/ 2:00 AM"""; 
"=""21/03/ 3:00 AM"""; 
"=""21/03/ 4:00 AM"""; 
"=""21/03/ 5:00 AM"""; 
"=""21/03/ 6:00 AM"""; 
"=""21/03/ 7:00 AM"""; 
"=""21/03/ 8:00 AM""";0.00
"=""21/03/ 9:00 AM""";0.41
"=""21/03/ 10:00 AM""";2.30
"=""21/03/ 11:00 AM""";2.07
"=""21/03/ 12:00 PM""";1.40
"=""21/03/ 1:00 PM""";2.07
"=""21/03/ 2:00 PM""";2.60
"=""21/03/ 3:00 PM""";1.96
"=""21/03/ 4:00 PM""";0.96
"=""21/03/ 5:00 PM""";0.45
"=""21/03/ 6:00 PM""";0.20
"=""21/03/ 7:00 PM""";0.05
"=""21/03/ 8:00 PM"""; 
"=""21/03/ 9:00 PM"""; 
"=""21/03/ 10:00 PM"""; 
"=""21/03/ 11:00 PM"""; 
"=""22/03/ 12:00 AM"""; 
"=""22/03/ 1:00 AM"""; 
"=""22/03/ 2:00 AM"""; 
"=""22/03/ 3:00 AM"""; 
"=""22/03/ 4:00 AM"""; 
"=""22/03/ 5:00 AM"""; 
"=""22/03/ 6:00 AM"""; 
"=""22/03/ 7:00 AM"""; 
"=""22/03/ 8:00 AM""";0.12
"=""22/03/ 9:00 AM""";0.37
"=""22/03/ 10:00 AM""";0.71
"=""22/03/ 11:00 AM""";1.91
"=""22/03/ 12:00 PM""";3.37
"=""22/03/ 1:00 PM""";1.91
"=""22/03/ 2:00 PM""";1.96
"=""22/03/ 3:00 PM""";2.12
"=""22/03/ 4:00 PM""";1.09
"=""22/03/ 5:00 PM""";0.74
"=""22/03/ 6:00 PM""";0.88
"=""22/03/ 7:00 PM""";0.29
"=""22/03/ 8:00 PM""";0.00
"=""22/03/ 9:00 PM"""; 
"=""22/03/ 10:00 PM"""; 
"=""22/03/ 11:00 PM"""; 
"=""23/03/ 12:00 AM"""; 
"=""23/03/ 1:00 AM"""; 
"=""23/03/ 2:00 AM"""; 
"=""23/03/ 3:00 AM"""; 
"=""23/03/ 4:00 AM"""; 
"=""23/03/ 5:00 AM"""; 
"=""23/03/ 6:00 AM"""; 
"=""23/03/ 7:00 AM""";0.00
"=""23/03/ 8:00 AM""";0.22
"=""23/03/ 9:00 AM""";0.80
"=""23/03/ 10:00 AM""";1.18
"=""23/03/ 11:00 AM""";1.52
"=""23/03/ 12:00 PM""";1.98
"=""23/03/ 1:00 PM""";1.34
"=""23/03/ 2:00 PM""";1.43
"=""23/03/ 3:00 PM""";1.49
"=""23/03/ 4:00 PM""";2.06
"=""23/03/ 5:00 PM""";0.97
"=""23/03/ 6:00 PM""";0.42
"=""23/03/ 7:00 PM""";0.05
"=""23/03/ 8:00 PM""";0.00
"=""23/03/ 9:00 PM"""; 
"=""23/03/ 10:00 PM"""; 
"=""23/03/ 11:00 PM"""; 
"=""24/03/ 12:00 AM"""; 
"=""24/03/ 1:00 AM"""; 
"=""24/03/ 2:00 AM"""; 
"=""24/03/ 3:00 AM"""; 
"=""24/03/ 4:00 AM"""; 
"=""24/03/ 5:00 AM"""; 
"=""24/03/ 6:00 AM"""; 
"=""24/03/ 7:00 AM""";0.00
"=""24/03/ 8:00 AM""";0.43
"=""24/03/ 9:00 AM""";1.69
"=""24/03/ 10:00 AM""";2.71
"=""24/03/ 11:00 AM""";3.52
"=""24/03/ 12:00 PM""";3.82
"=""24/03/ 1:00 PM""";4.02
"=""24/03/ 2:00 PM""";3.79
"=""24/03/ 3:00 PM""";3.54
"=""24/03/ 4:00 PM""";3.11
