 ;Warrior Recreation Center / Power / Mean values [kW]
"=""24/04/ 1:00 AM"""; 
"=""24/04/ 2:00 AM"""; 
"=""24/04/ 3:00 AM"""; 
"=""24/04/ 4:00 AM"""; 
"=""24/04/ 5:00 AM"""; 
"=""24/04/ 6:00 AM"""; 
"=""24/04/ 7:00 AM""";0.03
"=""24/04/ 8:00 AM""";0.32
"=""24/04/ 9:00 AM""";1.69
"=""24/04/ 10:00 AM""";2.46
"=""24/04/ 11:00 AM""";2.86
"=""24/04/ 12:00 PM""";3.19
"=""24/04/ 1:00 PM""";3.30
"=""24/04/ 2:00 PM""";3.24
"=""24/04/ 3:00 PM""";3.02
"=""24/04/ 4:00 PM""";2.67
"=""24/04/ 5:00 PM""";2.11
"=""24/04/ 6:00 PM""";1.16
"=""24/04/ 7:00 PM""";0.19
"=""24/04/ 8:00 PM""";0.00
"=""24/04/ 9:00 PM"""; 
"=""24/04/ 10:00 PM"""; 
"=""24/04/ 11:00 PM"""; 
"=""25/04/ 12:00 AM"""; 
"=""25/04/ 1:00 AM"""; 
"=""25/04/ 2:00 AM"""; 
"=""25/04/ 3:00 AM"""; 
"=""25/04/ 4:00 AM"""; 
"=""25/04/ 5:00 AM"""; 
"=""25/04/ 6:00 AM"""; 
"=""25/04/ 7:00 AM""";0.02
"=""25/04/ 8:00 AM""";0.43
"=""25/04/ 9:00 AM""";1.71
"=""25/04/ 10:00 AM""";2.53
"=""25/04/ 11:00 AM""";3.02
"=""25/04/ 12:00 PM""";3.22
"=""25/04/ 1:00 PM""";3.29
"=""25/04/ 2:00 PM""";3.36
"=""25/04/ 3:00 PM""";3.14
"=""25/04/ 4:00 PM""";2.76
"=""25/04/ 5:00 PM""";2.11
"=""25/04/ 6:00 PM""";1.15
"=""25/04/ 7:00 PM""";0.19
"=""25/04/ 8:00 PM""";0.00
"=""25/04/ 9:00 PM"""; 
"=""25/04/ 10:00 PM"""; 
"=""25/04/ 11:00 PM"""; 
"=""26/04/ 12:00 AM"""; 
"=""26/04/ 1:00 AM"""; 
"=""26/04/ 2:00 AM"""; 
"=""26/04/ 3:00 AM"""; 
"=""26/04/ 4:00 AM"""; 
"=""26/04/ 5:00 AM"""; 
"=""26/04/ 6:00 AM"""; 
"=""26/04/ 7:00 AM""";0.04
"=""26/04/ 8:00 AM""";0.62
"=""26/04/ 9:00 AM""";1.27
"=""26/04/ 10:00 AM""";2.50
"=""26/04/ 11:00 AM""";2.96
"=""26/04/ 12:00 PM""";3.02
"=""26/04/ 1:00 PM""";3.05
"=""26/04/ 2:00 PM""";3.22
"=""26/04/ 3:00 PM""";3.10
"=""26/04/ 4:00 PM""";2.75
"=""26/04/ 5:00 PM""";1.97
"=""26/04/ 6:00 PM""";0.67
"=""26/04/ 7:00 PM""";0.21
"=""26/04/ 8:00 PM""";0.00
"=""26/04/ 9:00 PM"""; 
"=""26/04/ 10:00 PM"""; 
"=""26/04/ 11:00 PM"""; 
"=""27/04/ 12:00 AM"""; 
"=""27/04/ 1:00 AM"""; 
"=""27/04/ 2:00 AM"""; 
"=""27/04/ 3:00 AM"""; 
"=""27/04/ 4:00 AM"""; 
"=""27/04/ 5:00 AM"""; 
"=""27/04/ 6:00 AM"""; 
"=""27/04/ 7:00 AM""";0.03
"=""27/04/ 8:00 AM""";0.70
"=""27/04/ 9:00 AM""";1.78
"=""27/04/ 10:00 AM""";2.50
"=""27/04/ 11:00 AM""";2.97
"=""27/04/ 12:00 PM""";3.15
"=""27/04/ 1:00 PM""";3.05
"=""27/04/ 2:00 PM""";2.98
"=""27/04/ 3:00 PM""";2.94
"=""27/04/ 4:00 PM""";2.54
"=""27/04/ 5:00 PM""";2.08
"=""27/04/ 6:00 PM""";1.33
"=""27/04/ 7:00 PM""";0.36
"=""27/04/ 8:00 PM""";0.00
"=""27/04/ 9:00 PM"""; 
"=""27/04/ 10:00 PM"""; 
"=""27/04/ 11:00 PM"""; 
"=""28/04/ 12:00 AM"""; 
"=""28/04/ 1:00 AM"""; 
"=""28/04/ 2:00 AM"""; 
"=""28/04/ 3:00 AM"""; 
"=""28/04/ 4:00 AM"""; 
"=""28/04/ 5:00 AM"""; 
"=""28/04/ 6:00 AM"""; 
"=""28/04/ 7:00 AM""";0.04
"=""28/04/ 8:00 AM""";0.51
"=""28/04/ 9:00 AM""";1.77
"=""28/04/ 10:00 AM""";1.88
"=""28/04/ 11:00 AM""";2.68
"=""28/04/ 12:00 PM""";2.62
"=""28/04/ 1:00 PM""";2.25
"=""28/04/ 2:00 PM""";3.21
"=""28/04/ 3:00 PM""";3.05
"=""28/04/ 4:00 PM""";2.67
"=""28/04/ 5:00 PM""";2.08
"=""28/04/ 6:00 PM""";1.16
"=""28/04/ 7:00 PM""";0.28
"=""28/04/ 8:00 PM""";0.00
"=""28/04/ 9:00 PM"""; 
"=""28/04/ 10:00 PM"""; 
"=""28/04/ 11:00 PM"""; 
"=""29/04/ 12:00 AM"""; 
"=""29/04/ 1:00 AM"""; 
"=""29/04/ 2:00 AM"""; 
"=""29/04/ 3:00 AM"""; 
"=""29/04/ 4:00 AM"""; 
"=""29/04/ 5:00 AM"""; 
"=""29/04/ 6:00 AM"""; 
"=""29/04/ 7:00 AM""";0.02
"=""29/04/ 8:00 AM""";0.35
"=""29/04/ 9:00 AM""";1.17
"=""29/04/ 10:00 AM""";1.62
"=""29/04/ 11:00 AM""";2.73
"=""29/04/ 12:00 PM""";2.42
"=""29/04/ 1:00 PM""";2.31
"=""29/04/ 2:00 PM""";1.98
"=""29/04/ 3:00 PM""";2.13
"=""29/04/ 4:00 PM""";1.76
"=""29/04/ 5:00 PM""";1.27
"=""29/04/ 6:00 PM""";0.92
"=""29/04/ 7:00 PM""";0.28
"=""29/04/ 8:00 PM""";0.00
"=""29/04/ 9:00 PM"""; 
"=""29/04/ 10:00 PM"""; 
"=""29/04/ 11:00 PM"""; 
"=""30/04/ 12:00 AM"""; 
"=""30/04/ 1:00 AM"""; 
"=""30/04/ 2:00 AM"""; 
"=""30/04/ 3:00 AM"""; 
"=""30/04/ 4:00 AM"""; 
"=""30/04/ 5:00 AM"""; 
"=""30/04/ 6:00 AM"""; 
"=""30/04/ 7:00 AM""";0.02
"=""30/04/ 8:00 AM""";0.34
"=""30/04/ 9:00 AM""";1.20
"=""30/04/ 10:00 AM""";1.89
"=""30/04/ 11:00 AM""";2.58
"=""30/04/ 12:00 PM""";2.89
"=""30/04/ 1:00 PM""";2.74
"=""30/04/ 2:00 PM""";2.76
"=""30/04/ 3:00 PM""";2.07
"=""30/04/ 4:00 PM""";2.16
"=""30/04/ 5:00 PM""";1.40
"=""30/04/ 6:00 PM""";0.68
"=""30/04/ 7:00 PM""";0.30
"=""30/04/ 8:00 PM""";0.00
"=""30/04/ 9:00 PM"""; 
"=""30/04/ 10:00 PM"""; 
"=""30/04/ 11:00 PM"""; 
"=""01/05/ 12:00 AM"""; 
