 ;Warrior Recreation Center / Power / Mean values [kW]
"=""08/05/ 1:00 AM"""; 
"=""08/05/ 2:00 AM"""; 
"=""08/05/ 3:00 AM"""; 
"=""08/05/ 4:00 AM"""; 
"=""08/05/ 5:00 AM"""; 
"=""08/05/ 6:00 AM"""; 
"=""08/05/ 7:00 AM""";0.07
"=""08/05/ 8:00 AM""";0.46
"=""08/05/ 9:00 AM""";1.05
"=""08/05/ 10:00 AM""";2.26
"=""08/05/ 11:00 AM""";3.15
"=""08/05/ 12:00 PM""";3.26
"=""08/05/ 1:00 PM""";3.36
"=""08/05/ 2:00 PM""";3.27
"=""08/05/ 3:00 PM""";2.92
"=""08/05/ 4:00 PM""";2.38
"=""08/05/ 5:00 PM""";2.06
"=""08/05/ 6:00 PM""";0.87
"=""08/05/ 7:00 PM""";0.21
"=""08/05/ 8:00 PM""";0.00
"=""08/05/ 9:00 PM"""; 
"=""08/05/ 10:00 PM"""; 
"=""08/05/ 11:00 PM"""; 
"=""09/05/ 12:00 AM"""; 
"=""09/05/ 1:00 AM"""; 
"=""09/05/ 2:00 AM"""; 
"=""09/05/ 3:00 AM"""; 
"=""09/05/ 4:00 AM"""; 
"=""09/05/ 5:00 AM"""; 
"=""09/05/ 6:00 AM"""; 
"=""09/05/ 7:00 AM""";0.06
"=""09/05/ 8:00 AM""";0.38
"=""09/05/ 9:00 AM""";1.26
"=""09/05/ 10:00 AM""";2.67
"=""09/05/ 11:00 AM""";3.00
"=""09/05/ 12:00 PM""";2.83
"=""09/05/ 1:00 PM""";2.75
"=""09/05/ 2:00 PM""";1.91
"=""09/05/ 3:00 PM""";2.93
"=""09/05/ 4:00 PM""";2.65
"=""09/05/ 5:00 PM""";1.68
"=""09/05/ 6:00 PM""";0.75
"=""09/05/ 7:00 PM""";0.25
"=""09/05/ 8:00 PM""";0.00
"=""09/05/ 9:00 PM"""; 
"=""09/05/ 10:00 PM"""; 
"=""09/05/ 11:00 PM"""; 
"=""10/05/ 12:00 AM"""; 
"=""10/05/ 1:00 AM"""; 
"=""10/05/ 2:00 AM"""; 
"=""10/05/ 3:00 AM"""; 
"=""10/05/ 4:00 AM"""; 
"=""10/05/ 5:00 AM"""; 
"=""10/05/ 6:00 AM"""; 
"=""10/05/ 7:00 AM""";0.08
"=""10/05/ 8:00 AM""";0.75
"=""10/05/ 9:00 AM""";1.60
"=""10/05/ 10:00 AM""";1.64
"=""10/05/ 11:00 AM""";2.63
"=""10/05/ 12:00 PM""";3.02
"=""10/05/ 1:00 PM""";2.48
"=""10/05/ 2:00 PM""";2.36
"=""10/05/ 3:00 PM""";1.92
"=""10/05/ 4:00 PM""";2.52
"=""10/05/ 5:00 PM""";2.13
"=""10/05/ 6:00 PM""";0.92
"=""10/05/ 7:00 PM""";0.20
"=""10/05/ 8:00 PM""";0.00
"=""10/05/ 9:00 PM"""; 
"=""10/05/ 10:00 PM"""; 
"=""10/05/ 11:00 PM"""; 
"=""11/05/ 12:00 AM"""; 
"=""11/05/ 1:00 AM"""; 
"=""11/05/ 2:00 AM"""; 
"=""11/05/ 3:00 AM"""; 
"=""11/05/ 4:00 AM"""; 
"=""11/05/ 5:00 AM"""; 
"=""11/05/ 6:00 AM"""; 
"=""11/05/ 7:00 AM""";0.05
"=""11/05/ 8:00 AM""";0.34
"=""11/05/ 9:00 AM""";0.73
"=""11/05/ 10:00 AM""";1.96
"=""11/05/ 11:00 AM""";2.18
"=""11/05/ 12:00 PM""";3.01
"=""11/05/ 1:00 PM""";2.44
"=""11/05/ 2:00 PM""";1.64
"=""11/05/ 3:00 PM""";1.49
"=""11/05/ 4:00 PM""";1.09
"=""11/05/ 5:00 PM""";0.81
"=""11/05/ 6:00 PM""";0.83
"=""11/05/ 7:00 PM""";0.30
"=""11/05/ 8:00 PM""";0.00
"=""11/05/ 9:00 PM"""; 
"=""11/05/ 10:00 PM"""; 
"=""11/05/ 11:00 PM"""; 
"=""12/05/ 12:00 AM"""; 
"=""12/05/ 1:00 AM"""; 
"=""12/05/ 2:00 AM"""; 
"=""12/05/ 3:00 AM"""; 
"=""12/05/ 4:00 AM"""; 
"=""12/05/ 5:00 AM"""; 
"=""12/05/ 6:00 AM"""; 
"=""12/05/ 7:00 AM""";0.06
"=""12/05/ 8:00 AM""";0.81
"=""12/05/ 9:00 AM""";1.83
"=""12/05/ 10:00 AM""";2.59
"=""12/05/ 11:00 AM""";3.02
"=""12/05/ 12:00 PM""";3.21
"=""12/05/ 1:00 PM""";2.39
"=""12/05/ 2:00 PM""";2.96
"=""12/05/ 3:00 PM""";3.03
"=""12/05/ 4:00 PM""";2.75
"=""12/05/ 5:00 PM""";1.81
"=""12/05/ 6:00 PM""";1.14
"=""12/05/ 7:00 PM""";0.24
"=""12/05/ 8:00 PM""";0.00
"=""12/05/ 9:00 PM"""; 
"=""12/05/ 10:00 PM"""; 
"=""12/05/ 11:00 PM"""; 
"=""13/05/ 12:00 AM"""; 
"=""13/05/ 1:00 AM"""; 
"=""13/05/ 2:00 AM"""; 
"=""13/05/ 3:00 AM"""; 
"=""13/05/ 4:00 AM"""; 
"=""13/05/ 5:00 AM"""; 
"=""13/05/ 6:00 AM""";0.00
"=""13/05/ 7:00 AM""";0.10
"=""13/05/ 8:00 AM""";0.43
"=""13/05/ 9:00 AM""";1.46
"=""13/05/ 10:00 AM""";2.20
"=""13/05/ 11:00 AM""";2.94
"=""13/05/ 12:00 PM""";3.32
"=""13/05/ 1:00 PM""";3.27
"=""13/05/ 2:00 PM""";3.33
"=""13/05/ 3:00 PM""";2.47
"=""13/05/ 4:00 PM""";2.67
"=""13/05/ 5:00 PM""";2.07
"=""13/05/ 6:00 PM""";0.80
"=""13/05/ 7:00 PM""";0.19
"=""13/05/ 8:00 PM""";0.00
"=""13/05/ 9:00 PM"""; 
"=""13/05/ 10:00 PM"""; 
"=""13/05/ 11:00 PM"""; 
"=""14/05/ 12:00 AM"""; 
"=""14/05/ 1:00 AM"""; 
"=""14/05/ 2:00 AM"""; 
"=""14/05/ 3:00 AM"""; 
"=""14/05/ 4:00 AM"""; 
"=""14/05/ 5:00 AM"""; 
"=""14/05/ 6:00 AM""";0.00
"=""14/05/ 7:00 AM""";0.09
"=""14/05/ 8:00 AM""";0.43
"=""14/05/ 9:00 AM""";1.10
"=""14/05/ 10:00 AM""";1.84
"=""14/05/ 11:00 AM""";2.30
"=""14/05/ 12:00 PM""";3.17
"=""14/05/ 1:00 PM""";3.34
"=""14/05/ 2:00 PM""";3.18
"=""14/05/ 3:00 PM""";3.17
"=""14/05/ 4:00 PM""";2.79
"=""14/05/ 5:00 PM""";1.69
"=""14/05/ 6:00 PM""";1.16
