 ;Warrior Recreation Center / Power / Mean values [kW]
"=""10/07/ 1:00 AM"""; 
"=""10/07/ 2:00 AM"""; 
"=""10/07/ 3:00 AM"""; 
"=""10/07/ 4:00 AM"""; 
"=""10/07/ 5:00 AM"""; 
"=""10/07/ 6:00 AM"""; 
"=""10/07/ 7:00 AM""";0.08
"=""10/07/ 8:00 AM""";0.61
"=""10/07/ 9:00 AM""";1.40
"=""10/07/ 10:00 AM""";2.17
"=""10/07/ 11:00 AM""";2.09
"=""10/07/ 12:00 PM""";2.64
"=""10/07/ 1:00 PM""";2.63
"=""10/07/ 2:00 PM""";2.72
"=""10/07/ 3:00 PM""";2.72
"=""10/07/ 4:00 PM""";2.61
"=""10/07/ 5:00 PM""";2.16
"=""10/07/ 6:00 PM""";1.50
"=""10/07/ 7:00 PM""";0.35
"=""10/07/ 8:00 PM""";0.05
"=""10/07/ 9:00 PM"""; 
"=""10/07/ 10:00 PM"""; 
"=""10/07/ 11:00 PM"""; 
"=""11/07/ 12:00 AM"""; 
"=""11/07/ 1:00 AM"""; 
"=""11/07/ 2:00 AM"""; 
"=""11/07/ 3:00 AM"""; 
"=""11/07/ 4:00 AM"""; 
"=""11/07/ 5:00 AM"""; 
"=""11/07/ 6:00 AM"""; 
"=""11/07/ 7:00 AM""";0.03
"=""11/07/ 8:00 AM""";0.36
"=""11/07/ 9:00 AM""";0.74
"=""11/07/ 10:00 AM""";1.43
"=""11/07/ 11:00 AM""";2.36
"=""11/07/ 12:00 PM""";2.82
"=""11/07/ 1:00 PM""";2.73
"=""11/07/ 2:00 PM""";2.93
"=""11/07/ 3:00 PM""";2.81
"=""11/07/ 4:00 PM""";2.38
"=""11/07/ 5:00 PM""";1.65
"=""11/07/ 6:00 PM""";0.80
"=""11/07/ 7:00 PM""";0.29
"=""11/07/ 8:00 PM""";0.01
"=""11/07/ 9:00 PM"""; 
"=""11/07/ 10:00 PM"""; 
"=""11/07/ 11:00 PM"""; 
"=""12/07/ 12:00 AM"""; 
"=""12/07/ 1:00 AM"""; 
"=""12/07/ 2:00 AM"""; 
"=""12/07/ 3:00 AM"""; 
"=""12/07/ 4:00 AM"""; 
"=""12/07/ 5:00 AM"""; 
"=""12/07/ 6:00 AM"""; 
"=""12/07/ 7:00 AM""";0.02
"=""12/07/ 8:00 AM""";0.45
