 ;Warrior Recreation Center / Power / Mean values [kW]
"=""12/07/ 9:00 AM""";1.48
"=""12/07/ 10:00 AM""";2.50
"=""12/07/ 11:00 AM""";2.50
"=""12/07/ 12:00 PM""";2.25
"=""12/07/ 1:00 PM""";3.34
"=""12/07/ 2:00 PM""";3.31
"=""12/07/ 3:00 PM""";2.92
"=""12/07/ 4:00 PM""";2.69
"=""12/07/ 5:00 PM""";1.89
"=""12/07/ 6:00 PM""";0.72
"=""12/07/ 7:00 PM""";0.19
"=""12/07/ 8:00 PM""";0.01
"=""12/07/ 9:00 PM"""; 
"=""12/07/ 10:00 PM"""; 
"=""12/07/ 11:00 PM"""; 
"=""13/07/ 12:00 AM"""; 
"=""13/07/ 1:00 AM"""; 
"=""13/07/ 2:00 AM"""; 
"=""13/07/ 3:00 AM"""; 
"=""13/07/ 4:00 AM"""; 
"=""13/07/ 5:00 AM"""; 
"=""13/07/ 6:00 AM"""; 
"=""13/07/ 7:00 AM""";0.04
"=""13/07/ 8:00 AM""";0.35
"=""13/07/ 9:00 AM""";1.05
"=""13/07/ 10:00 AM""";2.10
"=""13/07/ 11:00 AM""";2.70
"=""13/07/ 12:00 PM""";3.08
"=""13/07/ 1:00 PM""";3.10
"=""13/07/ 2:00 PM""";3.01
"=""13/07/ 3:00 PM""";2.92
"=""13/07/ 4:00 PM""";2.74
"=""13/07/ 5:00 PM""";2.10
"=""13/07/ 6:00 PM""";1.18
"=""13/07/ 7:00 PM""";0.37
"=""13/07/ 8:00 PM""";0.02
"=""13/07/ 9:00 PM"""; 
"=""13/07/ 10:00 PM"""; 
"=""13/07/ 11:00 PM"""; 
"=""14/07/ 12:00 AM"""; 
"=""14/07/ 1:00 AM"""; 
"=""14/07/ 2:00 AM"""; 
"=""14/07/ 3:00 AM"""; 
"=""14/07/ 4:00 AM"""; 
"=""14/07/ 5:00 AM"""; 
"=""14/07/ 6:00 AM"""; 
"=""14/07/ 7:00 AM""";0.03
"=""14/07/ 8:00 AM""";0.29
"=""14/07/ 9:00 AM""";1.14
"=""14/07/ 10:00 AM""";1.11
"=""14/07/ 11:00 AM""";2.22
"=""14/07/ 12:00 PM""";2.99
"=""14/07/ 1:00 PM""";3.09
"=""14/07/ 2:00 PM""";2.75
"=""14/07/ 3:00 PM""";2.89
"=""14/07/ 4:00 PM""";2.69
"=""14/07/ 5:00 PM""";1.92
"=""14/07/ 6:00 PM""";1.16
"=""14/07/ 7:00 PM""";0.43
"=""14/07/ 8:00 PM""";0.01
"=""14/07/ 9:00 PM"""; 
"=""14/07/ 10:00 PM"""; 
"=""14/07/ 11:00 PM"""; 
"=""15/07/ 12:00 AM"""; 
"=""15/07/ 1:00 AM"""; 
"=""15/07/ 2:00 AM"""; 
"=""15/07/ 3:00 AM"""; 
"=""15/07/ 4:00 AM"""; 
"=""15/07/ 5:00 AM"""; 
"=""15/07/ 6:00 AM"""; 
"=""15/07/ 7:00 AM""";0.05
"=""15/07/ 8:00 AM""";0.58
"=""15/07/ 9:00 AM""";1.58
"=""15/07/ 10:00 AM""";1.78
"=""15/07/ 11:00 AM""";2.72
"=""15/07/ 12:00 PM""";3.00
"=""15/07/ 1:00 PM""";3.11
"=""15/07/ 2:00 PM""";2.92
"=""15/07/ 3:00 PM""";1.05
"=""15/07/ 4:00 PM""";1.97
"=""15/07/ 5:00 PM""";2.10
"=""15/07/ 6:00 PM""";1.29
"=""15/07/ 7:00 PM""";0.31
"=""15/07/ 8:00 PM""";0.01
"=""15/07/ 9:00 PM"""; 
"=""15/07/ 10:00 PM"""; 
"=""15/07/ 11:00 PM"""; 
"=""16/07/ 12:00 AM"""; 
"=""16/07/ 1:00 AM"""; 
"=""16/07/ 2:00 AM"""; 
"=""16/07/ 3:00 AM"""; 
"=""16/07/ 4:00 AM"""; 
"=""16/07/ 5:00 AM"""; 
"=""16/07/ 6:00 AM"""; 
"=""16/07/ 7:00 AM""";0.03
"=""16/07/ 8:00 AM""";0.32
"=""16/07/ 9:00 AM""";1.55
"=""16/07/ 10:00 AM""";2.32
"=""16/07/ 11:00 AM""";2.59
"=""16/07/ 12:00 PM""";2.91
"=""16/07/ 1:00 PM""";2.88
"=""16/07/ 2:00 PM""";2.87
"=""16/07/ 3:00 PM""";2.72
"=""16/07/ 4:00 PM""";1.94
"=""16/07/ 5:00 PM""";1.74
"=""16/07/ 6:00 PM""";1.26
"=""16/07/ 7:00 PM""";0.32
"=""16/07/ 8:00 PM""";0.01
"=""16/07/ 9:00 PM"""; 
"=""16/07/ 10:00 PM"""; 
"=""16/07/ 11:00 PM"""; 
"=""17/07/ 12:00 AM"""; 
