 ;Warrior Recreation Center / Power / Mean values [kW]
"=""24/07/ 1:00 AM"""; 
"=""24/07/ 2:00 AM"""; 
"=""24/07/ 3:00 AM"""; 
"=""24/07/ 4:00 AM"""; 
"=""24/07/ 5:00 AM"""; 
"=""24/07/ 6:00 AM"""; 
"=""24/07/ 7:00 AM""";0.03
"=""24/07/ 8:00 AM""";0.34
"=""24/07/ 9:00 AM""";0.89
"=""24/07/ 10:00 AM""";1.58
"=""24/07/ 11:00 AM""";1.62
"=""24/07/ 12:00 PM""";1.87
"=""24/07/ 1:00 PM""";2.38
"=""24/07/ 2:00 PM""";2.43
"=""24/07/ 3:00 PM""";1.98
"=""24/07/ 4:00 PM""";1.96
"=""24/07/ 5:00 PM""";1.63
"=""24/07/ 6:00 PM""";0.59
"=""24/07/ 7:00 PM""";0.31
"=""24/07/ 8:00 PM""";0.00
"=""24/07/ 9:00 PM"""; 
"=""24/07/ 10:00 PM"""; 
"=""24/07/ 11:00 PM"""; 
"=""25/07/ 12:00 AM"""; 
"=""25/07/ 1:00 AM"""; 
"=""25/07/ 2:00 AM"""; 
"=""25/07/ 3:00 AM"""; 
"=""25/07/ 4:00 AM"""; 
"=""25/07/ 5:00 AM"""; 
"=""25/07/ 6:00 AM"""; 
"=""25/07/ 7:00 AM""";0.01
"=""25/07/ 8:00 AM""";0.57
"=""25/07/ 9:00 AM""";1.26
"=""25/07/ 10:00 AM""";1.77
"=""25/07/ 11:00 AM""";2.69
"=""25/07/ 12:00 PM""";3.11
"=""25/07/ 1:00 PM""";2.83
"=""25/07/ 2:00 PM""";3.19
"=""25/07/ 3:00 PM""";3.15
"=""25/07/ 4:00 PM""";2.72
"=""25/07/ 5:00 PM""";2.20
"=""25/07/ 6:00 PM""";1.39
"=""25/07/ 7:00 PM""";0.47
"=""25/07/ 8:00 PM""";0.08
"=""25/07/ 9:00 PM"""; 
"=""25/07/ 10:00 PM"""; 
"=""25/07/ 11:00 PM"""; 
"=""26/07/ 12:00 AM"""; 
"=""26/07/ 1:00 AM"""; 
"=""26/07/ 2:00 AM"""; 
"=""26/07/ 3:00 AM"""; 
"=""26/07/ 4:00 AM"""; 
"=""26/07/ 5:00 AM"""; 
"=""26/07/ 6:00 AM"""; 
"=""26/07/ 7:00 AM""";0.04
"=""26/07/ 8:00 AM""";0.31
"=""26/07/ 9:00 AM""";0.84
"=""26/07/ 10:00 AM""";1.69
"=""26/07/ 11:00 AM""";2.76
"=""26/07/ 12:00 PM""";3.19
"=""26/07/ 1:00 PM""";3.20
"=""26/07/ 2:00 PM""";2.52
"=""26/07/ 3:00 PM""";2.55
"=""26/07/ 4:00 PM""";2.57
"=""26/07/ 5:00 PM""";1.71
"=""26/07/ 6:00 PM""";0.83
"=""26/07/ 7:00 PM""";0.21
"=""26/07/ 8:00 PM""";0.00
"=""26/07/ 9:00 PM"""; 
"=""26/07/ 10:00 PM"""; 
"=""26/07/ 11:00 PM"""; 
"=""27/07/ 12:00 AM"""; 
"=""27/07/ 1:00 AM"""; 
"=""27/07/ 2:00 AM"""; 
"=""27/07/ 3:00 AM"""; 
"=""27/07/ 4:00 AM"""; 
"=""27/07/ 5:00 AM"""; 
"=""27/07/ 6:00 AM"""; 
"=""27/07/ 7:00 AM""";0.03
"=""27/07/ 8:00 AM""";0.52
"=""27/07/ 9:00 AM""";1.12
"=""27/07/ 10:00 AM""";2.06
"=""27/07/ 11:00 AM""";2.65
"=""27/07/ 12:00 PM""";2.62
"=""27/07/ 1:00 PM""";2.66
"=""27/07/ 2:00 PM""";2.86
"=""27/07/ 3:00 PM""";2.71
"=""27/07/ 4:00 PM""";2.23
"=""27/07/ 5:00 PM""";1.31
"=""27/07/ 6:00 PM""";0.69
"=""27/07/ 7:00 PM""";0.19
"=""27/07/ 8:00 PM""";0.01
"=""27/07/ 9:00 PM"""; 
"=""27/07/ 10:00 PM"""; 
"=""27/07/ 11:00 PM"""; 
"=""28/07/ 12:00 AM"""; 
"=""28/07/ 1:00 AM"""; 
"=""28/07/ 2:00 AM"""; 
"=""28/07/ 3:00 AM"""; 
"=""28/07/ 4:00 AM"""; 
"=""28/07/ 5:00 AM"""; 
"=""28/07/ 6:00 AM"""; 
"=""28/07/ 7:00 AM""";0.02
"=""28/07/ 8:00 AM""";0.24
"=""28/07/ 9:00 AM""";0.71
"=""28/07/ 10:00 AM""";1.17
"=""28/07/ 11:00 AM""";1.98
"=""28/07/ 12:00 PM""";1.77
"=""28/07/ 1:00 PM""";2.40
"=""28/07/ 2:00 PM""";2.97
"=""28/07/ 3:00 PM""";2.91
"=""28/07/ 4:00 PM""";2.76
"=""28/07/ 5:00 PM""";1.90
"=""28/07/ 6:00 PM""";0.67
"=""28/07/ 7:00 PM""";0.22
"=""28/07/ 8:00 PM""";0.01
"=""28/07/ 9:00 PM"""; 
"=""28/07/ 10:00 PM"""; 
"=""28/07/ 11:00 PM"""; 
"=""29/07/ 12:00 AM"""; 
"=""29/07/ 1:00 AM"""; 
"=""29/07/ 2:00 AM"""; 
"=""29/07/ 3:00 AM"""; 
"=""29/07/ 4:00 AM"""; 
"=""29/07/ 5:00 AM"""; 
"=""29/07/ 6:00 AM"""; 
"=""29/07/ 7:00 AM""";0.03
"=""29/07/ 8:00 AM""";0.33
"=""29/07/ 9:00 AM""";0.80
"=""29/07/ 10:00 AM""";1.57
"=""29/07/ 11:00 AM""";2.49
"=""29/07/ 12:00 PM""";2.85
"=""29/07/ 1:00 PM""";2.95
"=""29/07/ 2:00 PM""";2.28
"=""29/07/ 3:00 PM""";2.03
"=""29/07/ 4:00 PM""";0.94
"=""29/07/ 5:00 PM""";1.02
"=""29/07/ 6:00 PM""";0.29
"=""29/07/ 7:00 PM""";0.11
"=""29/07/ 8:00 PM""";0.00
"=""29/07/ 9:00 PM"""; 
"=""29/07/ 10:00 PM"""; 
"=""29/07/ 11:00 PM"""; 
"=""30/07/ 12:00 AM"""; 
"=""30/07/ 1:00 AM"""; 
"=""30/07/ 2:00 AM"""; 
"=""30/07/ 3:00 AM"""; 
"=""30/07/ 4:00 AM"""; 
"=""30/07/ 5:00 AM"""; 
"=""30/07/ 6:00 AM"""; 
"=""30/07/ 7:00 AM""";0.03
"=""30/07/ 8:00 AM""";0.37
"=""30/07/ 9:00 AM""";1.17
"=""30/07/ 10:00 AM""";1.78
"=""30/07/ 11:00 AM""";2.62
"=""30/07/ 12:00 PM""";2.69
"=""30/07/ 1:00 PM""";2.71
"=""30/07/ 2:00 PM""";2.68
"=""30/07/ 3:00 PM""";2.55
"=""30/07/ 4:00 PM""";2.30
"=""30/07/ 5:00 PM""";1.97
"=""30/07/ 6:00 PM""";1.30
"=""30/07/ 7:00 PM""";0.21
"=""30/07/ 8:00 PM""";0.00
"=""30/07/ 9:00 PM"""; 
"=""30/07/ 10:00 PM"""; 
"=""30/07/ 11:00 PM"""; 
"=""31/07/ 12:00 AM"""; 
