 ;Warrior Recreation Center / Power / Mean values [kW]
"=""22/05/ 1:00 AM"""; 
"=""22/05/ 2:00 AM"""; 
"=""22/05/ 3:00 AM"""; 
"=""22/05/ 4:00 AM"""; 
"=""22/05/ 5:00 AM"""; 
"=""22/05/ 6:00 AM"""; 
"=""22/05/ 7:00 AM""";0.08
"=""22/05/ 8:00 AM""";0.53
"=""22/05/ 9:00 AM""";0.70
"=""22/05/ 10:00 AM""";1.46
"=""22/05/ 11:00 AM""";1.80
"=""22/05/ 12:00 PM""";1.85
"=""22/05/ 1:00 PM""";2.15
"=""22/05/ 2:00 PM""";2.59
"=""22/05/ 3:00 PM""";1.83
"=""22/05/ 4:00 PM""";1.01
"=""22/05/ 5:00 PM""";0.95
"=""22/05/ 6:00 PM""";0.43
"=""22/05/ 7:00 PM""";0.14
"=""22/05/ 8:00 PM""";0.00
"=""22/05/ 9:00 PM"""; 
"=""22/05/ 10:00 PM"""; 
"=""22/05/ 11:00 PM"""; 
"=""23/05/ 12:00 AM"""; 
"=""23/05/ 1:00 AM"""; 
"=""23/05/ 2:00 AM"""; 
"=""23/05/ 3:00 AM"""; 
"=""23/05/ 4:00 AM"""; 
"=""23/05/ 5:00 AM"""; 
"=""23/05/ 6:00 AM"""; 
"=""23/05/ 7:00 AM""";0.08
"=""23/05/ 8:00 AM""";0.44
"=""23/05/ 9:00 AM""";1.07
"=""23/05/ 10:00 AM""";1.93
"=""23/05/ 11:00 AM""";2.10
"=""23/05/ 12:00 PM""";2.75
"=""23/05/ 1:00 PM""";3.46
"=""23/05/ 2:00 PM""";2.93
"=""23/05/ 3:00 PM""";1.99
"=""23/05/ 4:00 PM""";1.58
"=""23/05/ 5:00 PM""";0.97
"=""23/05/ 6:00 PM""";0.75
"=""23/05/ 7:00 PM""";0.29
"=""23/05/ 8:00 PM""";0.00
"=""23/05/ 9:00 PM"""; 
"=""23/05/ 10:00 PM"""; 
"=""23/05/ 11:00 PM"""; 
"=""24/05/ 12:00 AM"""; 
"=""24/05/ 1:00 AM"""; 
"=""24/05/ 2:00 AM"""; 
"=""24/05/ 3:00 AM"""; 
"=""24/05/ 4:00 AM"""; 
"=""24/05/ 5:00 AM"""; 
"=""24/05/ 6:00 AM"""; 
"=""24/05/ 7:00 AM""";0.06
"=""24/05/ 8:00 AM""";0.40
"=""24/05/ 9:00 AM""";0.72
"=""24/05/ 10:00 AM""";1.47
"=""24/05/ 11:00 AM""";1.87
"=""24/05/ 12:00 PM""";2.16
"=""24/05/ 1:00 PM""";2.87
"=""24/05/ 2:00 PM""";2.82
"=""24/05/ 3:00 PM""";2.96
"=""24/05/ 4:00 PM""";2.17
"=""24/05/ 5:00 PM""";1.12
"=""24/05/ 6:00 PM""";0.89
"=""24/05/ 7:00 PM""";0.34
"=""24/05/ 8:00 PM""";0.01
"=""24/05/ 9:00 PM"""; 
"=""24/05/ 10:00 PM"""; 
"=""24/05/ 11:00 PM"""; 
"=""25/05/ 12:00 AM"""; 
"=""25/05/ 1:00 AM"""; 
"=""25/05/ 2:00 AM"""; 
"=""25/05/ 3:00 AM"""; 
"=""25/05/ 4:00 AM"""; 
"=""25/05/ 5:00 AM"""; 
"=""25/05/ 6:00 AM""";0.00
"=""25/05/ 7:00 AM""";0.05
"=""25/05/ 8:00 AM""";0.27
"=""25/05/ 9:00 AM""";0.58
"=""25/05/ 10:00 AM""";1.26
"=""25/05/ 11:00 AM""";2.71
"=""25/05/ 12:00 PM""";2.97
"=""25/05/ 1:00 PM""";3.49
"=""25/05/ 2:00 PM""";3.41
"=""25/05/ 3:00 PM""";3.21
"=""25/05/ 4:00 PM""";2.86
"=""25/05/ 5:00 PM""";1.97
"=""25/05/ 6:00 PM""";1.19
"=""25/05/ 7:00 PM""";0.33
"=""25/05/ 8:00 PM""";0.01
"=""25/05/ 9:00 PM"""; 
"=""25/05/ 10:00 PM"""; 
"=""25/05/ 11:00 PM"""; 
"=""26/05/ 12:00 AM"""; 
"=""26/05/ 1:00 AM"""; 
"=""26/05/ 2:00 AM"""; 
"=""26/05/ 3:00 AM"""; 
"=""26/05/ 4:00 AM"""; 
"=""26/05/ 5:00 AM"""; 
"=""26/05/ 6:00 AM""";0.00
"=""26/05/ 7:00 AM""";0.04
"=""26/05/ 8:00 AM""";0.47
"=""26/05/ 9:00 AM""";1.19
"=""26/05/ 10:00 AM""";2.41
"=""26/05/ 11:00 AM""";2.53
"=""26/05/ 12:00 PM""";2.86
"=""26/05/ 1:00 PM""";3.06
"=""26/05/ 2:00 PM""";2.50
"=""26/05/ 3:00 PM""";3.04
"=""26/05/ 4:00 PM""";2.68
"=""26/05/ 5:00 PM""";1.63
"=""26/05/ 6:00 PM""";1.23
"=""26/05/ 7:00 PM""";0.27
"=""26/05/ 8:00 PM""";0.01
"=""26/05/ 9:00 PM"""; 
"=""26/05/ 10:00 PM"""; 
"=""26/05/ 11:00 PM"""; 
"=""27/05/ 12:00 AM"""; 
"=""27/05/ 1:00 AM"""; 
"=""27/05/ 2:00 AM"""; 
"=""27/05/ 3:00 AM"""; 
"=""27/05/ 4:00 AM"""; 
"=""27/05/ 5:00 AM"""; 
"=""27/05/ 6:00 AM""";0.00
"=""27/05/ 7:00 AM""";0.05
"=""27/05/ 8:00 AM""";0.57
"=""27/05/ 9:00 AM""";1.49
"=""27/05/ 10:00 AM""";1.41
"=""27/05/ 11:00 AM""";3.00
"=""27/05/ 12:00 PM""";1.83
"=""27/05/ 1:00 PM""";2.28
"=""27/05/ 2:00 PM""";2.88
"=""27/05/ 3:00 PM""";3.07
"=""27/05/ 4:00 PM""";2.91
"=""27/05/ 5:00 PM""";2.18
"=""27/05/ 6:00 PM""";1.32
"=""27/05/ 7:00 PM""";0.27
"=""27/05/ 8:00 PM""";0.01
"=""27/05/ 9:00 PM"""; 
"=""27/05/ 10:00 PM"""; 
"=""27/05/ 11:00 PM"""; 
"=""28/05/ 12:00 AM"""; 
"=""28/05/ 1:00 AM"""; 
"=""28/05/ 2:00 AM"""; 
"=""28/05/ 3:00 AM"""; 
"=""28/05/ 4:00 AM"""; 
"=""28/05/ 5:00 AM"""; 
"=""28/05/ 6:00 AM""";0.00
"=""28/05/ 7:00 AM""";0.06
"=""28/05/ 8:00 AM""";0.53
"=""28/05/ 9:00 AM""";0.97
"=""28/05/ 10:00 AM""";1.92
"=""28/05/ 11:00 AM""";2.63
"=""28/05/ 12:00 PM""";3.29
"=""28/05/ 1:00 PM""";3.42
"=""28/05/ 2:00 PM""";3.10
"=""28/05/ 3:00 PM""";2.59
"=""28/05/ 4:00 PM""";2.26
"=""28/05/ 5:00 PM""";1.94
"=""28/05/ 6:00 PM""";1.02
"=""28/05/ 7:00 PM""";0.31
"=""28/05/ 8:00 PM""";0.00
"=""28/05/ 9:00 PM"""; 
"=""28/05/ 10:00 PM"""; 
"=""28/05/ 11:00 PM"""; 
"=""29/05/ 12:00 AM"""; 
