 ;Warrior Recreation Center / Power / Mean values [kW]
"=""05/06/ 1:00 AM"""; 
"=""05/06/ 2:00 AM"""; 
"=""05/06/ 3:00 AM"""; 
"=""05/06/ 4:00 AM"""; 
"=""05/06/ 5:00 AM"""; 
"=""05/06/ 6:00 AM"""; 
"=""05/06/ 7:00 AM""";0.08
"=""05/06/ 8:00 AM""";0.42
"=""05/06/ 9:00 AM""";0.77
"=""05/06/ 10:00 AM""";1.20
"=""05/06/ 11:00 AM""";2.54
"=""05/06/ 12:00 PM""";3.35
"=""05/06/ 1:00 PM""";3.08
"=""05/06/ 2:00 PM""";2.89
"=""05/06/ 3:00 PM""";2.88
"=""05/06/ 4:00 PM""";2.71
"=""05/06/ 5:00 PM""";1.32
"=""05/06/ 6:00 PM""";0.62
"=""05/06/ 7:00 PM""";0.17
"=""05/06/ 8:00 PM""";0.00
"=""05/06/ 9:00 PM"""; 
"=""05/06/ 10:00 PM"""; 
"=""05/06/ 11:00 PM"""; 
"=""06/06/ 12:00 AM"""; 
"=""06/06/ 1:00 AM"""; 
"=""06/06/ 2:00 AM"""; 
"=""06/06/ 3:00 AM"""; 
"=""06/06/ 4:00 AM"""; 
"=""06/06/ 5:00 AM"""; 
"=""06/06/ 6:00 AM""";0.00
"=""06/06/ 7:00 AM""";0.05
"=""06/06/ 8:00 AM""";0.38
"=""06/06/ 9:00 AM""";1.00
"=""06/06/ 10:00 AM""";1.98
"=""06/06/ 11:00 AM""";2.31
"=""06/06/ 12:00 PM""";2.12
"=""06/06/ 1:00 PM""";2.25
"=""06/06/ 2:00 PM""";2.45
"=""06/06/ 3:00 PM""";2.38
"=""06/06/ 4:00 PM""";2.05
"=""06/06/ 5:00 PM""";1.80
"=""06/06/ 6:00 PM""";0.94
"=""06/06/ 7:00 PM""";0.33
"=""06/06/ 8:00 PM""";0.01
"=""06/06/ 9:00 PM"""; 
"=""06/06/ 10:00 PM"""; 
"=""06/06/ 11:00 PM"""; 
"=""07/06/ 12:00 AM"""; 
"=""07/06/ 1:00 AM"""; 
"=""07/06/ 2:00 AM"""; 
"=""07/06/ 3:00 AM"""; 
"=""07/06/ 4:00 AM"""; 
"=""07/06/ 5:00 AM"""; 
"=""07/06/ 6:00 AM""";0.00
"=""07/06/ 7:00 AM""";0.07
"=""07/06/ 8:00 AM""";0.54
"=""07/06/ 9:00 AM""";1.70
"=""07/06/ 10:00 AM""";1.96
"=""07/06/ 11:00 AM""";2.12
"=""07/06/ 12:00 PM""";2.69
"=""07/06/ 1:00 PM""";3.14
"=""07/06/ 2:00 PM""";3.32
"=""07/06/ 3:00 PM""";3.18
"=""07/06/ 4:00 PM""";2.84
"=""07/06/ 5:00 PM""";2.21
"=""07/06/ 6:00 PM""";1.29
"=""07/06/ 7:00 PM""";0.31
"=""07/06/ 8:00 PM""";0.00
"=""07/06/ 9:00 PM"""; 
"=""07/06/ 10:00 PM"""; 
"=""07/06/ 11:00 PM"""; 
"=""08/06/ 12:00 AM"""; 
"=""08/06/ 1:00 AM"""; 
"=""08/06/ 2:00 AM"""; 
"=""08/06/ 3:00 AM"""; 
"=""08/06/ 4:00 AM"""; 
"=""08/06/ 5:00 AM"""; 
"=""08/06/ 6:00 AM""";0.00
"=""08/06/ 7:00 AM""";0.04
"=""08/06/ 8:00 AM""";0.40
"=""08/06/ 9:00 AM""";0.81
"=""08/06/ 10:00 AM""";1.45
"=""08/06/ 11:00 AM""";2.07
"=""08/06/ 12:00 PM""";2.94
"=""08/06/ 1:00 PM""";2.86
"=""08/06/ 2:00 PM""";3.23
"=""08/06/ 3:00 PM""";3.09
"=""08/06/ 4:00 PM""";2.81
"=""08/06/ 5:00 PM""";1.87
"=""08/06/ 6:00 PM""";1.01
"=""08/06/ 7:00 PM""";0.22
"=""08/06/ 8:00 PM""";0.01
"=""08/06/ 9:00 PM"""; 
"=""08/06/ 10:00 PM"""; 
"=""08/06/ 11:00 PM"""; 
"=""09/06/ 12:00 AM"""; 
"=""09/06/ 1:00 AM"""; 
"=""09/06/ 2:00 AM"""; 
"=""09/06/ 3:00 AM"""; 
"=""09/06/ 4:00 AM"""; 
"=""09/06/ 5:00 AM"""; 
"=""09/06/ 6:00 AM""";0.00
"=""09/06/ 7:00 AM""";0.04
"=""09/06/ 8:00 AM""";0.50
"=""09/06/ 9:00 AM""";1.55
"=""09/06/ 10:00 AM""";2.40
"=""09/06/ 11:00 AM""";2.91
"=""09/06/ 12:00 PM""";3.04
"=""09/06/ 1:00 PM""";3.21
"=""09/06/ 2:00 PM""";3.16
"=""09/06/ 3:00 PM""";3.01
"=""09/06/ 4:00 PM""";2.70
"=""09/06/ 5:00 PM""";2.01
"=""09/06/ 6:00 PM""";1.13
"=""09/06/ 7:00 PM""";0.39
"=""09/06/ 8:00 PM""";0.02
"=""09/06/ 9:00 PM"""; 
"=""09/06/ 10:00 PM"""; 
"=""09/06/ 11:00 PM"""; 
"=""10/06/ 12:00 AM"""; 
"=""10/06/ 1:00 AM"""; 
"=""10/06/ 2:00 AM"""; 
"=""10/06/ 3:00 AM"""; 
"=""10/06/ 4:00 AM"""; 
"=""10/06/ 5:00 AM"""; 
"=""10/06/ 6:00 AM""";0.00
"=""10/06/ 7:00 AM""";0.03
"=""10/06/ 8:00 AM""";0.39
"=""10/06/ 9:00 AM""";1.37
"=""10/06/ 10:00 AM""";1.98
"=""10/06/ 11:00 AM""";2.74
"=""10/06/ 12:00 PM""";2.47
"=""10/06/ 1:00 PM""";2.90
"=""10/06/ 2:00 PM""";2.48
"=""10/06/ 3:00 PM""";2.65
"=""10/06/ 4:00 PM""";2.64
"=""10/06/ 5:00 PM""";1.36
"=""10/06/ 6:00 PM""";0.91
"=""10/06/ 7:00 PM""";0.38
"=""10/06/ 8:00 PM""";0.03
"=""10/06/ 9:00 PM"""; 
"=""10/06/ 10:00 PM"""; 
"=""10/06/ 11:00 PM"""; 
"=""11/06/ 12:00 AM"""; 
"=""11/06/ 1:00 AM"""; 
"=""11/06/ 2:00 AM"""; 
"=""11/06/ 3:00 AM"""; 
"=""11/06/ 4:00 AM"""; 
"=""11/06/ 5:00 AM"""; 
"=""11/06/ 6:00 AM""";0.00
"=""11/06/ 7:00 AM""";0.04
"=""11/06/ 8:00 AM""";0.51
"=""11/06/ 9:00 AM""";1.75
"=""11/06/ 10:00 AM""";2.44
"=""11/06/ 11:00 AM""";2.92
"=""11/06/ 12:00 PM""";3.18
"=""11/06/ 1:00 PM""";3.25
"=""11/06/ 2:00 PM""";3.21
"=""11/06/ 3:00 PM""";3.11
"=""11/06/ 4:00 PM""";2.73
"=""11/06/ 5:00 PM""";2.15
"=""11/06/ 6:00 PM""";1.14
"=""11/06/ 7:00 PM""";0.25
"=""11/06/ 8:00 PM""";0.01
"=""11/06/ 9:00 PM"""; 
"=""11/06/ 10:00 PM"""; 
"=""11/06/ 11:00 PM"""; 
"=""12/06/ 12:00 AM"""; 
