 ;Warrior Recreation Center / Power / Mean values [kW]
"=""20/07/ 9:00 AM""";1.46
"=""20/07/ 10:00 AM""";1.62
"=""20/07/ 11:00 AM""";2.44
"=""20/07/ 12:00 PM""";2.89
"=""20/07/ 1:00 PM""";2.69
"=""20/07/ 2:00 PM""";2.65
"=""20/07/ 3:00 PM""";1.95
"=""20/07/ 4:00 PM""";1.89
"=""20/07/ 5:00 PM""";2.06
"=""20/07/ 6:00 PM""";1.28
"=""20/07/ 7:00 PM""";0.39
"=""20/07/ 8:00 PM""";0.02
"=""20/07/ 9:00 PM"""; 
"=""20/07/ 10:00 PM"""; 
"=""20/07/ 11:00 PM"""; 
"=""21/07/ 12:00 AM"""; 
"=""21/07/ 1:00 AM"""; 
"=""21/07/ 2:00 AM"""; 
"=""21/07/ 3:00 AM"""; 
"=""21/07/ 4:00 AM"""; 
"=""21/07/ 5:00 AM"""; 
"=""21/07/ 6:00 AM"""; 
"=""21/07/ 7:00 AM""";0.01
"=""21/07/ 8:00 AM""";0.52
"=""21/07/ 9:00 AM""";1.55
"=""21/07/ 10:00 AM""";2.28
"=""21/07/ 11:00 AM""";2.69
"=""21/07/ 12:00 PM""";2.89
"=""21/07/ 1:00 PM""";3.04
"=""21/07/ 2:00 PM""";3.00
"=""21/07/ 3:00 PM""";2.93
"=""21/07/ 4:00 PM""";2.69
"=""21/07/ 5:00 PM""";1.43
"=""21/07/ 6:00 PM""";1.04
"=""21/07/ 7:00 PM""";0.39
"=""21/07/ 8:00 PM""";0.02
"=""21/07/ 9:00 PM"""; 
"=""21/07/ 10:00 PM"""; 
"=""21/07/ 11:00 PM"""; 
"=""22/07/ 12:00 AM"""; 
"=""22/07/ 1:00 AM"""; 
"=""22/07/ 2:00 AM"""; 
"=""22/07/ 3:00 AM"""; 
"=""22/07/ 4:00 AM"""; 
"=""22/07/ 5:00 AM"""; 
"=""22/07/ 6:00 AM"""; 
"=""22/07/ 7:00 AM""";0.02
"=""22/07/ 8:00 AM""";0.40
"=""22/07/ 9:00 AM""";0.91
"=""22/07/ 10:00 AM""";1.93
"=""22/07/ 11:00 AM""";2.73
"=""22/07/ 12:00 PM""";1.98
"=""22/07/ 1:00 PM""";2.48
"=""22/07/ 2:00 PM""";3.20
"=""22/07/ 3:00 PM""";3.11
"=""22/07/ 4:00 PM""";2.78
"=""22/07/ 5:00 PM""";1.54
"=""22/07/ 6:00 PM""";0.90
"=""22/07/ 7:00 PM""";0.45
"=""22/07/ 8:00 PM""";0.03
"=""22/07/ 9:00 PM"""; 
"=""22/07/ 10:00 PM"""; 
"=""22/07/ 11:00 PM"""; 
"=""23/07/ 12:00 AM"""; 
"=""23/07/ 1:00 AM"""; 
"=""23/07/ 2:00 AM"""; 
"=""23/07/ 3:00 AM"""; 
"=""23/07/ 4:00 AM"""; 
"=""23/07/ 5:00 AM"""; 
"=""23/07/ 6:00 AM"""; 
"=""23/07/ 7:00 AM""";0.03
"=""23/07/ 8:00 AM""";0.48
"=""23/07/ 9:00 AM""";1.49
"=""23/07/ 10:00 AM""";2.22
"=""23/07/ 11:00 AM""";2.62
"=""23/07/ 12:00 PM""";3.14
"=""23/07/ 1:00 PM""";3.06
"=""23/07/ 2:00 PM""";2.96
"=""23/07/ 3:00 PM""";2.68
"=""23/07/ 4:00 PM""";2.19
"=""23/07/ 5:00 PM""";1.45
"=""23/07/ 6:00 PM""";0.80
"=""23/07/ 7:00 PM""";0.23
"=""23/07/ 8:00 PM""";0.00
"=""23/07/ 9:00 PM"""; 
"=""23/07/ 10:00 PM"""; 
"=""23/07/ 11:00 PM"""; 
"=""24/07/ 12:00 AM"""; 
