 ;Warrior Recreation Center / Power / Mean values [kW]
"=""17/07/ 1:00 AM"""; 
"=""17/07/ 2:00 AM"""; 
"=""17/07/ 3:00 AM"""; 
"=""17/07/ 4:00 AM"""; 
"=""17/07/ 5:00 AM"""; 
"=""17/07/ 6:00 AM"""; 
"=""17/07/ 7:00 AM""";0.02
"=""17/07/ 8:00 AM""";0.45
"=""17/07/ 9:00 AM""";1.26
"=""17/07/ 10:00 AM""";1.88
"=""17/07/ 11:00 AM""";2.14
"=""17/07/ 12:00 PM""";2.91
"=""17/07/ 1:00 PM""";2.97
"=""17/07/ 2:00 PM""";2.99
"=""17/07/ 3:00 PM""";2.66
"=""17/07/ 4:00 PM""";2.49
"=""17/07/ 5:00 PM""";2.19
"=""17/07/ 6:00 PM""";1.32
"=""17/07/ 7:00 PM""";0.36
"=""17/07/ 8:00 PM""";0.01
"=""17/07/ 9:00 PM"""; 
"=""17/07/ 10:00 PM"""; 
"=""17/07/ 11:00 PM"""; 
"=""18/07/ 12:00 AM"""; 
"=""18/07/ 1:00 AM"""; 
"=""18/07/ 2:00 AM"""; 
"=""18/07/ 3:00 AM"""; 
"=""18/07/ 4:00 AM"""; 
"=""18/07/ 5:00 AM"""; 
"=""18/07/ 6:00 AM"""; 
"=""18/07/ 7:00 AM""";0.02
"=""18/07/ 8:00 AM""";0.32
"=""18/07/ 9:00 AM""";0.84
"=""18/07/ 10:00 AM""";1.33
"=""18/07/ 11:00 AM""";2.07
"=""18/07/ 12:00 PM""";1.95
"=""18/07/ 1:00 PM""";2.30
"=""18/07/ 2:00 PM""";3.10
"=""18/07/ 3:00 PM""";2.94
"=""18/07/ 4:00 PM""";2.70
"=""18/07/ 5:00 PM""";2.14
"=""18/07/ 6:00 PM""";1.26
"=""18/07/ 7:00 PM""";0.31
"=""18/07/ 8:00 PM""";0.01
"=""18/07/ 9:00 PM"""; 
"=""18/07/ 10:00 PM"""; 
"=""18/07/ 11:00 PM"""; 
"=""19/07/ 12:00 AM"""; 
"=""19/07/ 1:00 AM"""; 
"=""19/07/ 2:00 AM"""; 
"=""19/07/ 3:00 AM"""; 
"=""19/07/ 4:00 AM"""; 
"=""19/07/ 5:00 AM"""; 
"=""19/07/ 6:00 AM"""; 
"=""19/07/ 7:00 AM""";0.03
"=""19/07/ 8:00 AM""";0.49
"=""19/07/ 9:00 AM""";0.63
"=""19/07/ 10:00 AM""";2.09
"=""19/07/ 11:00 AM""";2.44
"=""19/07/ 12:00 PM""";2.98
"=""19/07/ 1:00 PM""";2.69
"=""19/07/ 2:00 PM""";2.54
"=""19/07/ 3:00 PM""";1.76
"=""19/07/ 4:00 PM""";1.33
"=""19/07/ 5:00 PM""";1.50
"=""19/07/ 6:00 PM""";1.04
"=""19/07/ 7:00 PM""";0.33
"=""19/07/ 8:00 PM""";0.02
"=""19/07/ 9:00 PM"""; 
"=""19/07/ 10:00 PM"""; 
"=""19/07/ 11:00 PM"""; 
"=""20/07/ 12:00 AM"""; 
"=""20/07/ 1:00 AM"""; 
"=""20/07/ 2:00 AM"""; 
"=""20/07/ 3:00 AM"""; 
"=""20/07/ 4:00 AM"""; 
"=""20/07/ 5:00 AM"""; 
"=""20/07/ 6:00 AM"""; 
"=""20/07/ 7:00 AM""";0.04
"=""20/07/ 8:00 AM""";0.41
