 ;Warrior Recreation Center / Power / Mean values [kW]
"=""31/07/ 1:00 AM"""; 
"=""31/07/ 2:00 AM"""; 
"=""31/07/ 3:00 AM"""; 
"=""31/07/ 4:00 AM"""; 
"=""31/07/ 5:00 AM"""; 
"=""31/07/ 6:00 AM"""; 
"=""31/07/ 7:00 AM""";0.02
"=""31/07/ 8:00 AM""";0.38
"=""31/07/ 9:00 AM""";1.15
"=""31/07/ 10:00 AM""";1.40
"=""31/07/ 11:00 AM""";2.43
"=""31/07/ 12:00 PM""";2.36
"=""31/07/ 1:00 PM""";2.50
"=""31/07/ 2:00 PM""";2.84
"=""31/07/ 3:00 PM""";2.99
"=""31/07/ 4:00 PM""";1.62
"=""31/07/ 5:00 PM""";1.34
"=""31/07/ 6:00 PM""";1.02
"=""31/07/ 7:00 PM""";0.23
"=""31/07/ 8:00 PM""";0.00
"=""31/07/ 9:00 PM"""; 
"=""31/07/ 10:00 PM"""; 
"=""31/07/ 11:00 PM"""; 
"=""01/08/ 12:00 AM"""; 
"=""01/08/ 1:00 AM"""; 
"=""01/08/ 2:00 AM"""; 
"=""01/08/ 3:00 AM"""; 
"=""01/08/ 4:00 AM"""; 
"=""01/08/ 5:00 AM"""; 
"=""01/08/ 6:00 AM"""; 
"=""01/08/ 7:00 AM""";0.03
"=""01/08/ 8:00 AM""";0.41
"=""01/08/ 9:00 AM""";0.91
"=""01/08/ 10:00 AM""";1.33
"=""01/08/ 11:00 AM""";1.63
"=""01/08/ 12:00 PM""";1.90
"=""01/08/ 1:00 PM""";2.26
"=""01/08/ 2:00 PM""";2.58
"=""01/08/ 3:00 PM""";1.89
"=""01/08/ 4:00 PM""";1.52
"=""01/08/ 5:00 PM""";1.80
"=""01/08/ 6:00 PM""";0.61
"=""01/08/ 7:00 PM""";0.43
"=""01/08/ 8:00 PM""";0.01
"=""01/08/ 9:00 PM"""; 
"=""01/08/ 10:00 PM"""; 
"=""01/08/ 11:00 PM"""; 
"=""02/08/ 12:00 AM"""; 
"=""02/08/ 1:00 AM"""; 
"=""02/08/ 2:00 AM"""; 
"=""02/08/ 3:00 AM"""; 
"=""02/08/ 4:00 AM"""; 
"=""02/08/ 5:00 AM"""; 
"=""02/08/ 6:00 AM"""; 
"=""02/08/ 7:00 AM""";0.04
"=""02/08/ 8:00 AM""";0.30
"=""02/08/ 9:00 AM""";1.15
"=""02/08/ 10:00 AM""";1.27
"=""02/08/ 11:00 AM""";1.69
"=""02/08/ 12:00 PM""";2.16
"=""02/08/ 1:00 PM""";2.17
"=""02/08/ 2:00 PM""";2.35
"=""02/08/ 3:00 PM""";2.47
"=""02/08/ 4:00 PM""";2.74
"=""02/08/ 5:00 PM""";1.81
"=""02/08/ 6:00 PM""";1.36
"=""02/08/ 7:00 PM""";0.32
"=""02/08/ 8:00 PM""";0.01
"=""02/08/ 9:00 PM"""; 
"=""02/08/ 10:00 PM"""; 
"=""02/08/ 11:00 PM"""; 
"=""03/08/ 12:00 AM"""; 
"=""03/08/ 1:00 AM"""; 
"=""03/08/ 2:00 AM"""; 
"=""03/08/ 3:00 AM"""; 
"=""03/08/ 4:00 AM"""; 
"=""03/08/ 5:00 AM"""; 
"=""03/08/ 6:00 AM"""; 
"=""03/08/ 7:00 AM""";0.01
"=""03/08/ 8:00 AM""";0.40
"=""03/08/ 9:00 AM""";1.53
"=""03/08/ 10:00 AM""";2.17
"=""03/08/ 11:00 AM""";2.62
"=""03/08/ 12:00 PM""";2.85
"=""03/08/ 1:00 PM""";3.06
"=""03/08/ 2:00 PM""";3.05
"=""03/08/ 3:00 PM""";2.98
"=""03/08/ 4:00 PM""";2.66
"=""03/08/ 5:00 PM""";2.27
"=""03/08/ 6:00 PM""";1.37
