 ;Warrior Recreation Center / Power / Mean values [kW]
"=""01/05/ 1:00 AM"""; 
"=""01/05/ 2:00 AM"""; 
"=""01/05/ 3:00 AM"""; 
"=""01/05/ 4:00 AM"""; 
"=""01/05/ 5:00 AM"""; 
"=""01/05/ 6:00 AM"""; 
"=""01/05/ 7:00 AM""";0.04
"=""01/05/ 8:00 AM""";0.42
"=""01/05/ 9:00 AM""";0.77
"=""01/05/ 10:00 AM""";1.44
"=""01/05/ 11:00 AM""";2.39
"=""01/05/ 12:00 PM""";3.01
"=""01/05/ 1:00 PM""";2.64
"=""01/05/ 2:00 PM""";2.44
"=""01/05/ 3:00 PM""";2.56
"=""01/05/ 4:00 PM""";2.02
"=""01/05/ 5:00 PM""";1.88
"=""01/05/ 6:00 PM""";0.81
"=""01/05/ 7:00 PM""";0.23
"=""01/05/ 8:00 PM""";0.00
"=""01/05/ 9:00 PM"""; 
"=""01/05/ 10:00 PM"""; 
"=""01/05/ 11:00 PM"""; 
"=""02/05/ 12:00 AM"""; 
"=""02/05/ 1:00 AM"""; 
"=""02/05/ 2:00 AM"""; 
"=""02/05/ 3:00 AM"""; 
"=""02/05/ 4:00 AM"""; 
"=""02/05/ 5:00 AM"""; 
"=""02/05/ 6:00 AM"""; 
"=""02/05/ 7:00 AM""";0.02
"=""02/05/ 8:00 AM""";0.59
"=""02/05/ 9:00 AM""";1.70
"=""02/05/ 10:00 AM""";2.62
"=""02/05/ 11:00 AM""";3.14
"=""02/05/ 12:00 PM""";3.39
"=""02/05/ 1:00 PM""";3.51
"=""02/05/ 2:00 PM""";3.43
"=""02/05/ 3:00 PM""";3.23
"=""02/05/ 4:00 PM""";2.82
"=""02/05/ 5:00 PM""";2.23
"=""02/05/ 6:00 PM""";1.22
"=""02/05/ 7:00 PM""";0.26
"=""02/05/ 8:00 PM""";0.00
"=""02/05/ 9:00 PM"""; 
"=""02/05/ 10:00 PM"""; 
"=""02/05/ 11:00 PM"""; 
"=""03/05/ 12:00 AM"""; 
"=""03/05/ 1:00 AM"""; 
"=""03/05/ 2:00 AM"""; 
"=""03/05/ 3:00 AM"""; 
"=""03/05/ 4:00 AM"""; 
"=""03/05/ 5:00 AM"""; 
"=""03/05/ 6:00 AM"""; 
"=""03/05/ 7:00 AM""";0.02
"=""03/05/ 8:00 AM""";0.27
"=""03/05/ 9:00 AM""";1.76
"=""03/05/ 10:00 AM""";2.01
"=""03/05/ 11:00 AM""";3.08
"=""03/05/ 12:00 PM""";3.43
"=""03/05/ 1:00 PM""";3.38
"=""03/05/ 2:00 PM""";3.33
"=""03/05/ 3:00 PM""";3.16
"=""03/05/ 4:00 PM""";2.82
"=""03/05/ 5:00 PM""";2.31
"=""03/05/ 6:00 PM""";1.40
"=""03/05/ 7:00 PM""";0.23
"=""03/05/ 8:00 PM""";0.00
"=""03/05/ 9:00 PM"""; 
"=""03/05/ 10:00 PM"""; 
"=""03/05/ 11:00 PM"""; 
"=""04/05/ 12:00 AM"""; 
"=""04/05/ 1:00 AM"""; 
"=""04/05/ 2:00 AM"""; 
"=""04/05/ 3:00 AM"""; 
"=""04/05/ 4:00 AM"""; 
"=""04/05/ 5:00 AM"""; 
"=""04/05/ 6:00 AM"""; 
"=""04/05/ 7:00 AM""";0.02
"=""04/05/ 8:00 AM""";0.62
"=""04/05/ 9:00 AM""";1.89
"=""04/05/ 10:00 AM""";2.70
"=""04/05/ 11:00 AM""";3.14
"=""04/05/ 12:00 PM""";3.39
"=""04/05/ 1:00 PM""";3.41
"=""04/05/ 2:00 PM""";3.38
"=""04/05/ 3:00 PM""";3.17
"=""04/05/ 4:00 PM""";2.79
"=""04/05/ 5:00 PM""";2.17
"=""04/05/ 6:00 PM""";1.18
"=""04/05/ 7:00 PM""";0.20
"=""04/05/ 8:00 PM""";0.00
"=""04/05/ 9:00 PM"""; 
"=""04/05/ 10:00 PM"""; 
"=""04/05/ 11:00 PM"""; 
"=""05/05/ 12:00 AM"""; 
"=""05/05/ 1:00 AM"""; 
"=""05/05/ 2:00 AM"""; 
"=""05/05/ 3:00 AM"""; 
"=""05/05/ 4:00 AM"""; 
"=""05/05/ 5:00 AM"""; 
"=""05/05/ 6:00 AM"""; 
"=""05/05/ 7:00 AM""";0.06
"=""05/05/ 8:00 AM""";0.56
"=""05/05/ 9:00 AM""";1.35
"=""05/05/ 10:00 AM""";2.29
"=""05/05/ 11:00 AM""";2.83
"=""05/05/ 12:00 PM""";2.85
"=""05/05/ 1:00 PM""";2.76
"=""05/05/ 2:00 PM""";1.73
"=""05/05/ 3:00 PM""";2.88
"=""05/05/ 4:00 PM""";2.50
"=""05/05/ 5:00 PM""";1.78
"=""05/05/ 6:00 PM""";0.85
"=""05/05/ 7:00 PM""";0.14
"=""05/05/ 8:00 PM""";0.00
"=""05/05/ 9:00 PM"""; 
"=""05/05/ 10:00 PM"""; 
"=""05/05/ 11:00 PM"""; 
"=""06/05/ 12:00 AM"""; 
"=""06/05/ 1:00 AM"""; 
"=""06/05/ 2:00 AM"""; 
"=""06/05/ 3:00 AM"""; 
"=""06/05/ 4:00 AM"""; 
"=""06/05/ 5:00 AM"""; 
"=""06/05/ 6:00 AM"""; 
"=""06/05/ 7:00 AM""";0.07
"=""06/05/ 8:00 AM""";0.74
"=""06/05/ 9:00 AM""";1.59
