 ;Warrior Recreation Center / Power / Mean values [kW]
"=""06/05/ 10:00 AM""";1.93
"=""06/05/ 11:00 AM""";2.40
"=""06/05/ 12:00 PM""";2.39
"=""06/05/ 1:00 PM""";2.89
"=""06/05/ 2:00 PM""";1.37
"=""06/05/ 3:00 PM""";1.44
"=""06/05/ 4:00 PM""";1.35
"=""06/05/ 5:00 PM""";0.66
"=""06/05/ 6:00 PM""";0.22
"=""06/05/ 7:00 PM""";0.06
"=""06/05/ 8:00 PM""";0.00
"=""06/05/ 9:00 PM"""; 
"=""06/05/ 10:00 PM"""; 
"=""06/05/ 11:00 PM"""; 
"=""07/05/ 12:00 AM"""; 
"=""07/05/ 1:00 AM"""; 
"=""07/05/ 2:00 AM"""; 
"=""07/05/ 3:00 AM"""; 
"=""07/05/ 4:00 AM"""; 
"=""07/05/ 5:00 AM"""; 
"=""07/05/ 6:00 AM"""; 
"=""07/05/ 7:00 AM""";0.07
"=""07/05/ 8:00 AM""";0.55
"=""07/05/ 9:00 AM""";1.24
"=""07/05/ 10:00 AM""";2.64
"=""07/05/ 11:00 AM""";3.05
"=""07/05/ 12:00 PM""";3.34
"=""07/05/ 1:00 PM""";3.34
"=""07/05/ 2:00 PM""";3.21
"=""07/05/ 3:00 PM""";3.09
"=""07/05/ 4:00 PM""";2.32
"=""07/05/ 5:00 PM""";2.07
"=""07/05/ 6:00 PM""";0.92
"=""07/05/ 7:00 PM""";0.13
"=""07/05/ 8:00 PM""";0.00
"=""07/05/ 9:00 PM"""; 
"=""07/05/ 10:00 PM"""; 
"=""07/05/ 11:00 PM"""; 
"=""08/05/ 12:00 AM"""; 
