 ;Warrior Recreation Center / Power / Mean values [kW]
"=""19/06/ 1:00 AM"""; 
"=""19/06/ 2:00 AM"""; 
"=""19/06/ 3:00 AM"""; 
"=""19/06/ 4:00 AM"""; 
"=""19/06/ 5:00 AM"""; 
"=""19/06/ 6:00 AM""";0.00
"=""19/06/ 7:00 AM""";0.06
"=""19/06/ 8:00 AM""";0.42
"=""19/06/ 9:00 AM""";1.67
"=""19/06/ 10:00 AM""";2.11
"=""19/06/ 11:00 AM""";2.60
"=""19/06/ 12:00 PM""";2.19
"=""19/06/ 1:00 PM""";1.62
"=""19/06/ 2:00 PM""";1.35
"=""19/06/ 3:00 PM""";2.88
"=""19/06/ 4:00 PM""";2.63
"=""19/06/ 5:00 PM""";2.11
"=""19/06/ 6:00 PM""";1.23
"=""19/06/ 7:00 PM""";0.26
"=""19/06/ 8:00 PM""";0.01
"=""19/06/ 9:00 PM"""; 
"=""19/06/ 10:00 PM"""; 
"=""19/06/ 11:00 PM"""; 
"=""20/06/ 12:00 AM"""; 
"=""20/06/ 1:00 AM"""; 
"=""20/06/ 2:00 AM"""; 
"=""20/06/ 3:00 AM"""; 
"=""20/06/ 4:00 AM"""; 
"=""20/06/ 5:00 AM"""; 
"=""20/06/ 6:00 AM""";0.00
"=""20/06/ 7:00 AM""";0.02
"=""20/06/ 8:00 AM""";0.64
"=""20/06/ 9:00 AM""";1.68
"=""20/06/ 10:00 AM""";2.37
"=""20/06/ 11:00 AM""";2.82
"=""20/06/ 12:00 PM""";3.07
"=""20/06/ 1:00 PM""";3.15
"=""20/06/ 2:00 PM""";3.16
"=""20/06/ 3:00 PM""";3.02
"=""20/06/ 4:00 PM""";2.70
"=""20/06/ 5:00 PM""";2.12
"=""20/06/ 6:00 PM""";1.22
"=""20/06/ 7:00 PM""";0.28
"=""20/06/ 8:00 PM""";0.01
"=""20/06/ 9:00 PM"""; 
"=""20/06/ 10:00 PM"""; 
"=""20/06/ 11:00 PM"""; 
"=""21/06/ 12:00 AM"""; 
"=""21/06/ 1:00 AM"""; 
"=""21/06/ 2:00 AM"""; 
"=""21/06/ 3:00 AM"""; 
"=""21/06/ 4:00 AM"""; 
"=""21/06/ 5:00 AM"""; 
"=""21/06/ 6:00 AM""";0.00
"=""21/06/ 7:00 AM""";0.04
"=""21/06/ 8:00 AM""";0.64
"=""21/06/ 9:00 AM""";1.66
"=""21/06/ 10:00 AM""";2.29
"=""21/06/ 11:00 AM""";2.75
"=""21/06/ 12:00 PM""";2.96
"=""21/06/ 1:00 PM""";3.11
"=""21/06/ 2:00 PM""";3.07
"=""21/06/ 3:00 PM""";2.86
