 ;Warrior Recreation Center / Power / Mean values [kW]
"=""09/04/ 11:00 AM""";0.70
"=""09/04/ 12:00 PM""";0.93
"=""09/04/ 1:00 PM""";0.90
"=""09/04/ 2:00 PM""";0.94
"=""09/04/ 3:00 PM""";1.05
"=""09/04/ 4:00 PM""";0.53
"=""09/04/ 5:00 PM""";0.23
"=""09/04/ 6:00 PM""";0.17
"=""09/04/ 7:00 PM""";0.09
"=""09/04/ 8:00 PM""";0.00
"=""09/04/ 9:00 PM"""; 
"=""09/04/ 10:00 PM"""; 
"=""09/04/ 11:00 PM"""; 
"=""10/04/ 12:00 AM"""; 
