 ;Warrior Recreation Center / Power / Mean values [kW]
"=""17/06/ 11:00 PM"""; 
"=""18/06/ 12:00 AM"""; 
"=""18/06/ 1:00 AM"""; 
"=""18/06/ 2:00 AM"""; 
"=""18/06/ 3:00 AM"""; 
"=""18/06/ 4:00 AM"""; 
"=""18/06/ 5:00 AM"""; 
"=""18/06/ 6:00 AM""";0.00
"=""18/06/ 7:00 AM""";0.04
"=""18/06/ 8:00 AM""";0.66
"=""18/06/ 9:00 AM""";1.66
"=""18/06/ 10:00 AM""";1.20
"=""18/06/ 11:00 AM""";2.71
"=""18/06/ 12:00 PM""";2.07
"=""18/06/ 1:00 PM""";1.82
"=""18/06/ 2:00 PM""";2.35
"=""18/06/ 3:00 PM""";2.26
"=""18/06/ 4:00 PM""";1.40
"=""18/06/ 5:00 PM""";0.97
"=""18/06/ 6:00 PM""";0.97
"=""18/06/ 7:00 PM""";0.33
"=""18/06/ 8:00 PM""";0.01
"=""18/06/ 9:00 PM"""; 
"=""18/06/ 10:00 PM"""; 
"=""18/06/ 11:00 PM"""; 
"=""19/06/ 12:00 AM"""; 
