 ;Warrior Recreation Center / Power / Mean values [kW]
"=""12/06/ 1:00 AM"""; 
"=""12/06/ 2:00 AM"""; 
"=""12/06/ 3:00 AM"""; 
"=""12/06/ 4:00 AM"""; 
"=""12/06/ 5:00 AM"""; 
"=""12/06/ 6:00 AM""";0.00
"=""12/06/ 7:00 AM""";0.03
"=""12/06/ 8:00 AM""";0.75
"=""12/06/ 9:00 AM""";1.78
"=""12/06/ 10:00 AM""";2.46
"=""12/06/ 11:00 AM""";2.85
"=""12/06/ 12:00 PM""";3.07
"=""12/06/ 1:00 PM""";3.14
"=""12/06/ 2:00 PM""";3.13
"=""12/06/ 3:00 PM""";3.04
"=""12/06/ 4:00 PM""";2.73
"=""12/06/ 5:00 PM""";2.14
"=""12/06/ 6:00 PM""";1.44
"=""12/06/ 7:00 PM""";0.28
"=""12/06/ 8:00 PM""";0.01
"=""12/06/ 9:00 PM"""; 
"=""12/06/ 10:00 PM"""; 
"=""12/06/ 11:00 PM"""; 
"=""13/06/ 12:00 AM"""; 
"=""13/06/ 1:00 AM"""; 
"=""13/06/ 2:00 AM"""; 
"=""13/06/ 3:00 AM"""; 
"=""13/06/ 4:00 AM"""; 
"=""13/06/ 5:00 AM"""; 
"=""13/06/ 6:00 AM""";0.00
"=""13/06/ 7:00 AM""";0.05
"=""13/06/ 8:00 AM""";0.75
"=""13/06/ 9:00 AM""";1.80
"=""13/06/ 10:00 AM""";2.52
"=""13/06/ 11:00 AM""";2.94
"=""13/06/ 12:00 PM""";3.17
"=""13/06/ 1:00 PM""";3.26
"=""13/06/ 2:00 PM""";3.28
"=""13/06/ 3:00 PM""";3.14
"=""13/06/ 4:00 PM""";2.81
"=""13/06/ 5:00 PM""";2.21
"=""13/06/ 6:00 PM""";1.27
"=""13/06/ 7:00 PM""";0.27
"=""13/06/ 8:00 PM""";0.01
"=""13/06/ 9:00 PM"""; 
"=""13/06/ 10:00 PM"""; 
"=""13/06/ 11:00 PM"""; 
"=""14/06/ 12:00 AM"""; 
"=""14/06/ 1:00 AM"""; 
"=""14/06/ 2:00 AM"""; 
"=""14/06/ 3:00 AM"""; 
"=""14/06/ 4:00 AM"""; 
"=""14/06/ 5:00 AM"""; 
"=""14/06/ 6:00 AM""";0.00
"=""14/06/ 7:00 AM""";0.08
"=""14/06/ 8:00 AM""";0.44
"=""14/06/ 9:00 AM""";0.75
"=""14/06/ 10:00 AM""";1.32
"=""14/06/ 11:00 AM""";1.94
"=""14/06/ 12:00 PM""";2.48
"=""14/06/ 1:00 PM""";2.70
"=""14/06/ 2:00 PM""";2.91
"=""14/06/ 3:00 PM""";2.69
"=""14/06/ 4:00 PM""";2.24
"=""14/06/ 5:00 PM""";1.42
"=""14/06/ 6:00 PM""";0.89
"=""14/06/ 7:00 PM""";0.11
"=""14/06/ 8:00 PM""";0.00
"=""14/06/ 9:00 PM"""; 
"=""14/06/ 10:00 PM"""; 
"=""14/06/ 11:00 PM"""; 
"=""15/06/ 12:00 AM"""; 
"=""15/06/ 1:00 AM"""; 
"=""15/06/ 2:00 AM"""; 
"=""15/06/ 3:00 AM"""; 
"=""15/06/ 4:00 AM"""; 
"=""15/06/ 5:00 AM"""; 
"=""15/06/ 6:00 AM""";0.00
"=""15/06/ 7:00 AM""";0.09
"=""15/06/ 8:00 AM""";0.39
"=""15/06/ 9:00 AM""";1.05
"=""15/06/ 10:00 AM""";2.43
"=""15/06/ 11:00 AM""";2.54
"=""15/06/ 12:00 PM""";3.00
"=""15/06/ 1:00 PM""";3.04
"=""15/06/ 2:00 PM""";3.20
"=""15/06/ 3:00 PM""";3.02
"=""15/06/ 4:00 PM""";2.27
"=""15/06/ 5:00 PM""";1.72
"=""15/06/ 6:00 PM""";1.23
"=""15/06/ 7:00 PM""";0.26
"=""15/06/ 8:00 PM""";0.00
"=""15/06/ 9:00 PM"""; 
"=""15/06/ 10:00 PM"""; 
"=""15/06/ 11:00 PM"""; 
"=""16/06/ 12:00 AM"""; 
"=""16/06/ 1:00 AM"""; 
"=""16/06/ 2:00 AM"""; 
"=""16/06/ 3:00 AM"""; 
"=""16/06/ 4:00 AM"""; 
"=""16/06/ 5:00 AM"""; 
"=""16/06/ 6:00 AM""";0.00
"=""16/06/ 7:00 AM""";0.03
"=""16/06/ 8:00 AM""";0.32
"=""16/06/ 9:00 AM""";1.42
"=""16/06/ 10:00 AM""";2.41
"=""16/06/ 11:00 AM""";2.91
"=""16/06/ 12:00 PM""";3.14
"=""16/06/ 1:00 PM""";3.18
"=""16/06/ 2:00 PM""";3.09
"=""16/06/ 3:00 PM""";2.94
"=""16/06/ 4:00 PM""";2.68
"=""16/06/ 5:00 PM""";2.17
"=""16/06/ 6:00 PM""";1.23
"=""16/06/ 7:00 PM""";0.29
"=""16/06/ 8:00 PM""";0.01
"=""16/06/ 9:00 PM"""; 
"=""16/06/ 10:00 PM"""; 
"=""16/06/ 11:00 PM"""; 
"=""17/06/ 12:00 AM"""; 
"=""17/06/ 1:00 AM"""; 
"=""17/06/ 2:00 AM"""; 
"=""17/06/ 3:00 AM"""; 
"=""17/06/ 4:00 AM"""; 
"=""17/06/ 5:00 AM"""; 
"=""17/06/ 6:00 AM""";0.00
"=""17/06/ 7:00 AM""";0.06
"=""17/06/ 8:00 AM""";0.52
"=""17/06/ 9:00 AM""";1.44
"=""17/06/ 10:00 AM""";2.32
"=""17/06/ 11:00 AM""";2.77
"=""17/06/ 12:00 PM""";3.08
"=""17/06/ 1:00 PM""";3.16
"=""17/06/ 2:00 PM""";3.15
"=""17/06/ 3:00 PM""";2.97
"=""17/06/ 4:00 PM""";2.60
"=""17/06/ 5:00 PM""";2.03
"=""17/06/ 6:00 PM""";1.24
"=""17/06/ 7:00 PM""";0.34
"=""17/06/ 8:00 PM""";0.01
"=""17/06/ 9:00 PM"""; 
"=""17/06/ 10:00 PM"""; 
