 ;Warrior Recreation Center / Power / Mean values [kW]
"=""03/07/ 1:00 AM"""; 
"=""03/07/ 2:00 AM"""; 
"=""03/07/ 3:00 AM"""; 
"=""03/07/ 4:00 AM"""; 
"=""03/07/ 5:00 AM"""; 
"=""03/07/ 6:00 AM"""; 
"=""03/07/ 7:00 AM""";0.03
"=""03/07/ 8:00 AM""";0.52
"=""03/07/ 9:00 AM""";1.64
"=""03/07/ 10:00 AM""";2.33
"=""03/07/ 11:00 AM""";2.76
"=""03/07/ 12:00 PM""";2.98
"=""03/07/ 1:00 PM""";3.02
"=""03/07/ 2:00 PM""";2.82
"=""03/07/ 3:00 PM""";2.82
"=""03/07/ 4:00 PM""";2.44
"=""03/07/ 5:00 PM""";1.82
"=""03/07/ 6:00 PM""";0.73
"=""03/07/ 7:00 PM""";0.18
"=""03/07/ 8:00 PM""";0.01
"=""03/07/ 9:00 PM"""; 
"=""03/07/ 10:00 PM"""; 
"=""03/07/ 11:00 PM"""; 
"=""04/07/ 12:00 AM"""; 
"=""04/07/ 1:00 AM"""; 
"=""04/07/ 2:00 AM"""; 
"=""04/07/ 3:00 AM"""; 
"=""04/07/ 4:00 AM"""; 
"=""04/07/ 5:00 AM"""; 
"=""04/07/ 6:00 AM"""; 
"=""04/07/ 7:00 AM""";0.07
"=""04/07/ 8:00 AM""";0.44
"=""04/07/ 9:00 AM""";1.16
"=""04/07/ 10:00 AM""";1.33
"=""04/07/ 11:00 AM""";2.44
"=""04/07/ 12:00 PM""";2.06
"=""04/07/ 1:00 PM""";2.40
"=""04/07/ 2:00 PM""";2.79
"=""04/07/ 3:00 PM""";2.76
"=""04/07/ 4:00 PM""";2.58
"=""04/07/ 5:00 PM""";2.17
"=""04/07/ 6:00 PM""";1.40
"=""04/07/ 7:00 PM""";0.46
"=""04/07/ 8:00 PM""";0.04
"=""04/07/ 9:00 PM"""; 
"=""04/07/ 10:00 PM"""; 
"=""04/07/ 11:00 PM"""; 
"=""05/07/ 12:00 AM"""; 
"=""05/07/ 1:00 AM"""; 
"=""05/07/ 2:00 AM"""; 
"=""05/07/ 3:00 AM"""; 
"=""05/07/ 4:00 AM"""; 
"=""05/07/ 5:00 AM"""; 
"=""05/07/ 6:00 AM"""; 
"=""05/07/ 7:00 AM""";0.04
"=""05/07/ 8:00 AM""";0.34
"=""05/07/ 9:00 AM""";0.89
"=""05/07/ 10:00 AM""";1.51
"=""05/07/ 11:00 AM""";2.49
"=""05/07/ 12:00 PM""";2.50
"=""05/07/ 1:00 PM""";2.86
"=""05/07/ 2:00 PM""";2.84
"=""05/07/ 3:00 PM""";2.82
"=""05/07/ 4:00 PM""";2.20
"=""05/07/ 5:00 PM""";1.91
"=""05/07/ 6:00 PM""";1.30
"=""05/07/ 7:00 PM""";0.50
"=""05/07/ 8:00 PM""";0.04
"=""05/07/ 9:00 PM"""; 
"=""05/07/ 10:00 PM"""; 
"=""05/07/ 11:00 PM"""; 
"=""06/07/ 12:00 AM"""; 
"=""06/07/ 1:00 AM"""; 
"=""06/07/ 2:00 AM"""; 
"=""06/07/ 3:00 AM"""; 
"=""06/07/ 4:00 AM"""; 
"=""06/07/ 5:00 AM"""; 
"=""06/07/ 6:00 AM"""; 
"=""06/07/ 7:00 AM""";0.04
"=""06/07/ 8:00 AM""";0.36
"=""06/07/ 9:00 AM""";0.78
"=""06/07/ 10:00 AM""";1.55
"=""06/07/ 11:00 AM""";1.77
"=""06/07/ 12:00 PM""";2.34
"=""06/07/ 1:00 PM""";2.20
"=""06/07/ 2:00 PM""";2.75
"=""06/07/ 3:00 PM""";2.81
"=""06/07/ 4:00 PM""";2.61
"=""06/07/ 5:00 PM""";1.68
"=""06/07/ 6:00 PM""";1.00
"=""06/07/ 7:00 PM""";0.44
"=""06/07/ 8:00 PM""";0.01
"=""06/07/ 9:00 PM"""; 
"=""06/07/ 10:00 PM"""; 
"=""06/07/ 11:00 PM"""; 
"=""07/07/ 12:00 AM"""; 
"=""07/07/ 1:00 AM"""; 
"=""07/07/ 2:00 AM"""; 
"=""07/07/ 3:00 AM"""; 
"=""07/07/ 4:00 AM"""; 
"=""07/07/ 5:00 AM"""; 
"=""07/07/ 6:00 AM"""; 
"=""07/07/ 7:00 AM""";0.07
"=""07/07/ 8:00 AM""";0.35
"=""07/07/ 9:00 AM""";1.04
"=""07/07/ 10:00 AM""";1.89
"=""07/07/ 11:00 AM""";2.37
"=""07/07/ 12:00 PM""";3.00
"=""07/07/ 1:00 PM""";3.34
"=""07/07/ 2:00 PM""";3.25
"=""07/07/ 3:00 PM""";3.05
"=""07/07/ 4:00 PM""";2.66
"=""07/07/ 5:00 PM""";1.88
"=""07/07/ 6:00 PM""";1.26
"=""07/07/ 7:00 PM""";0.27
"=""07/07/ 8:00 PM""";0.03
"=""07/07/ 9:00 PM"""; 
"=""07/07/ 10:00 PM"""; 
"=""07/07/ 11:00 PM"""; 
"=""08/07/ 12:00 AM"""; 
"=""08/07/ 1:00 AM"""; 
"=""08/07/ 2:00 AM"""; 
"=""08/07/ 3:00 AM"""; 
"=""08/07/ 4:00 AM"""; 
"=""08/07/ 5:00 AM"""; 
"=""08/07/ 6:00 AM"""; 
"=""08/07/ 7:00 AM""";0.03
"=""08/07/ 8:00 AM""";0.39
"=""08/07/ 9:00 AM""";0.88
"=""08/07/ 10:00 AM""";1.75
"=""08/07/ 11:00 AM""";2.68
"=""08/07/ 12:00 PM""";2.87
"=""08/07/ 1:00 PM""";3.15
"=""08/07/ 2:00 PM""";3.09
"=""08/07/ 3:00 PM""";2.87
"=""08/07/ 4:00 PM""";2.45
"=""08/07/ 5:00 PM""";2.11
"=""08/07/ 6:00 PM""";1.05
"=""08/07/ 7:00 PM""";0.43
"=""08/07/ 8:00 PM""";0.00
"=""08/07/ 9:00 PM"""; 
"=""08/07/ 10:00 PM"""; 
"=""08/07/ 11:00 PM"""; 
"=""09/07/ 12:00 AM"""; 
"=""09/07/ 1:00 AM"""; 
"=""09/07/ 2:00 AM"""; 
"=""09/07/ 3:00 AM"""; 
"=""09/07/ 4:00 AM"""; 
"=""09/07/ 5:00 AM"""; 
"=""09/07/ 6:00 AM"""; 
"=""09/07/ 7:00 AM""";0.01
"=""09/07/ 8:00 AM""";0.37
"=""09/07/ 9:00 AM""";1.11
"=""09/07/ 10:00 AM""";2.15
"=""09/07/ 11:00 AM""";2.63
"=""09/07/ 12:00 PM""";2.64
"=""09/07/ 1:00 PM""";3.04
"=""09/07/ 2:00 PM""";2.98
