 ;Warrior Recreation Center / Power / Mean values [kW]
"=""29/05/ 1:00 AM"""; 
"=""29/05/ 2:00 AM"""; 
"=""29/05/ 3:00 AM"""; 
"=""29/05/ 4:00 AM"""; 
"=""29/05/ 5:00 AM"""; 
"=""29/05/ 6:00 AM""";0.00
"=""29/05/ 7:00 AM""";0.06
"=""29/05/ 8:00 AM""";0.44
"=""29/05/ 9:00 AM""";0.71
"=""29/05/ 10:00 AM""";2.61
"=""29/05/ 11:00 AM""";2.70
"=""29/05/ 12:00 PM""";2.63
"=""29/05/ 1:00 PM""";3.10
"=""29/05/ 2:00 PM""";3.26
"=""29/05/ 3:00 PM""";2.68
"=""29/05/ 4:00 PM""";2.81
"=""29/05/ 5:00 PM""";1.44
"=""29/05/ 6:00 PM""";0.77
"=""29/05/ 7:00 PM""";0.31
"=""29/05/ 8:00 PM""";0.01
"=""29/05/ 9:00 PM"""; 
"=""29/05/ 10:00 PM"""; 
"=""29/05/ 11:00 PM"""; 
"=""30/05/ 12:00 AM"""; 
"=""30/05/ 1:00 AM"""; 
"=""30/05/ 2:00 AM"""; 
"=""30/05/ 3:00 AM"""; 
"=""30/05/ 4:00 AM"""; 
"=""30/05/ 5:00 AM"""; 
"=""30/05/ 6:00 AM""";0.00
"=""30/05/ 7:00 AM""";0.05
"=""30/05/ 8:00 AM""";0.40
"=""30/05/ 9:00 AM""";1.56
"=""30/05/ 10:00 AM""";2.10
"=""30/05/ 11:00 AM""";1.75
"=""30/05/ 12:00 PM""";2.64
"=""30/05/ 1:00 PM""";2.47
"=""30/05/ 2:00 PM""";2.95
"=""30/05/ 3:00 PM""";2.95
"=""30/05/ 4:00 PM""";2.64
"=""30/05/ 5:00 PM""";2.13
"=""30/05/ 6:00 PM""";1.05
"=""30/05/ 7:00 PM""";0.30
"=""30/05/ 8:00 PM""";0.01
"=""30/05/ 9:00 PM"""; 
"=""30/05/ 10:00 PM"""; 
"=""30/05/ 11:00 PM"""; 
"=""31/05/ 12:00 AM"""; 
"=""31/05/ 1:00 AM"""; 
"=""31/05/ 2:00 AM"""; 
"=""31/05/ 3:00 AM"""; 
"=""31/05/ 4:00 AM"""; 
"=""31/05/ 5:00 AM"""; 
"=""31/05/ 6:00 AM""";0.00
"=""31/05/ 7:00 AM""";0.11
"=""31/05/ 8:00 AM""";0.57
"=""31/05/ 9:00 AM""";1.26
"=""31/05/ 10:00 AM""";1.99
"=""31/05/ 11:00 AM""";2.86
"=""31/05/ 12:00 PM""";3.10
"=""31/05/ 1:00 PM""";3.19
"=""31/05/ 2:00 PM""";3.18
"=""31/05/ 3:00 PM""";3.03
"=""31/05/ 4:00 PM""";2.72
"=""31/05/ 5:00 PM""";2.14
"=""31/05/ 6:00 PM""";1.21
"=""31/05/ 7:00 PM""";0.26
"=""31/05/ 8:00 PM""";0.00
"=""31/05/ 9:00 PM"""; 
"=""31/05/ 10:00 PM"""; 
"=""31/05/ 11:00 PM"""; 
"=""01/06/ 12:00 AM"""; 
"=""01/06/ 1:00 AM"""; 
"=""01/06/ 2:00 AM"""; 
"=""01/06/ 3:00 AM"""; 
"=""01/06/ 4:00 AM"""; 
"=""01/06/ 5:00 AM"""; 
"=""01/06/ 6:00 AM""";0.00
"=""01/06/ 7:00 AM""";0.07
"=""01/06/ 8:00 AM""";0.56
"=""01/06/ 9:00 AM""";1.28
"=""01/06/ 10:00 AM""";2.21
"=""01/06/ 11:00 AM""";2.95
"=""01/06/ 12:00 PM""";3.10
"=""01/06/ 1:00 PM""";3.08
"=""01/06/ 2:00 PM""";3.13
"=""01/06/ 3:00 PM""";3.06
"=""01/06/ 4:00 PM""";2.71
"=""01/06/ 5:00 PM""";2.11
"=""01/06/ 6:00 PM""";1.22
"=""01/06/ 7:00 PM""";0.30
"=""01/06/ 8:00 PM""";0.00
"=""01/06/ 9:00 PM"""; 
"=""01/06/ 10:00 PM"""; 
"=""01/06/ 11:00 PM"""; 
"=""02/06/ 12:00 AM"""; 
"=""02/06/ 1:00 AM"""; 
"=""02/06/ 2:00 AM"""; 
"=""02/06/ 3:00 AM"""; 
"=""02/06/ 4:00 AM"""; 
"=""02/06/ 5:00 AM"""; 
"=""02/06/ 6:00 AM""";0.00
"=""02/06/ 7:00 AM""";0.06
"=""02/06/ 8:00 AM""";0.35
"=""02/06/ 9:00 AM""";0.56
"=""02/06/ 10:00 AM""";0.81
"=""02/06/ 11:00 AM""";0.91
"=""02/06/ 12:00 PM""";1.61
"=""02/06/ 1:00 PM""";2.79
"=""02/06/ 2:00 PM""";2.06
"=""02/06/ 3:00 PM""";1.55
"=""02/06/ 4:00 PM""";1.26
"=""02/06/ 5:00 PM""";0.95
"=""02/06/ 6:00 PM""";0.34
"=""02/06/ 7:00 PM""";0.26
"=""02/06/ 8:00 PM""";0.01
"=""02/06/ 9:00 PM"""; 
"=""02/06/ 10:00 PM"""; 
"=""02/06/ 11:00 PM"""; 
"=""03/06/ 12:00 AM"""; 
"=""03/06/ 1:00 AM"""; 
"=""03/06/ 2:00 AM"""; 
"=""03/06/ 3:00 AM"""; 
"=""03/06/ 4:00 AM"""; 
"=""03/06/ 5:00 AM"""; 
"=""03/06/ 6:00 AM""";0.00
"=""03/06/ 7:00 AM""";0.07
"=""03/06/ 8:00 AM""";0.46
"=""03/06/ 9:00 AM""";1.07
"=""03/06/ 10:00 AM""";1.42
"=""03/06/ 11:00 AM""";2.40
"=""03/06/ 12:00 PM""";2.82
"=""03/06/ 1:00 PM""";2.93
"=""03/06/ 2:00 PM""";2.92
"=""03/06/ 3:00 PM""";2.56
"=""03/06/ 4:00 PM""";1.96
"=""03/06/ 5:00 PM""";2.04
"=""03/06/ 6:00 PM""";0.91
"=""03/06/ 7:00 PM""";0.27
"=""03/06/ 8:00 PM""";0.01
"=""03/06/ 9:00 PM"""; 
"=""03/06/ 10:00 PM"""; 
"=""03/06/ 11:00 PM"""; 
"=""04/06/ 12:00 AM"""; 
"=""04/06/ 1:00 AM"""; 
"=""04/06/ 2:00 AM"""; 
"=""04/06/ 3:00 AM"""; 
"=""04/06/ 4:00 AM"""; 
"=""04/06/ 5:00 AM"""; 
"=""04/06/ 6:00 AM""";0.00
"=""04/06/ 7:00 AM""";0.04
"=""04/06/ 8:00 AM""";0.52
"=""04/06/ 9:00 AM""";1.80
"=""04/06/ 10:00 AM""";1.68
"=""04/06/ 11:00 AM""";2.50
"=""04/06/ 12:00 PM""";3.07
"=""04/06/ 1:00 PM""";2.81
"=""04/06/ 2:00 PM""";2.83
"=""04/06/ 3:00 PM""";2.70
"=""04/06/ 4:00 PM""";2.52
"=""04/06/ 5:00 PM""";0.97
"=""04/06/ 6:00 PM""";0.39
"=""04/06/ 7:00 PM""";0.29
"=""04/06/ 8:00 PM""";0.02
"=""04/06/ 9:00 PM"""; 
"=""04/06/ 10:00 PM"""; 
"=""04/06/ 11:00 PM"""; 
"=""05/06/ 12:00 AM"""; 
