 ;Warrior Recreation Center / Power / Mean values [kW]
"=""10/04/ 1:00 AM"""; 
"=""10/04/ 2:00 AM"""; 
"=""10/04/ 3:00 AM"""; 
"=""10/04/ 4:00 AM"""; 
"=""10/04/ 5:00 AM"""; 
"=""10/04/ 6:00 AM"""; 
"=""10/04/ 7:00 AM""";0.00
"=""10/04/ 8:00 AM""";0.02
"=""10/04/ 9:00 AM""";0.12
"=""10/04/ 10:00 AM""";0.29
"=""10/04/ 11:00 AM""";0.30
"=""10/04/ 12:00 PM""";0.29
"=""10/04/ 1:00 PM""";0.59
"=""10/04/ 2:00 PM""";0.18
"=""10/04/ 3:00 PM""";0.55
"=""10/04/ 4:00 PM""";0.40
"=""10/04/ 5:00 PM""";0.43
"=""10/04/ 6:00 PM""";0.50
"=""10/04/ 7:00 PM""";0.20
"=""10/04/ 8:00 PM""";0.00
"=""10/04/ 9:00 PM"""; 
"=""10/04/ 10:00 PM"""; 
"=""10/04/ 11:00 PM"""; 
"=""11/04/ 12:00 AM"""; 
"=""11/04/ 1:00 AM"""; 
"=""11/04/ 2:00 AM"""; 
"=""11/04/ 3:00 AM"""; 
"=""11/04/ 4:00 AM"""; 
"=""11/04/ 5:00 AM"""; 
"=""11/04/ 6:00 AM"""; 
"=""11/04/ 7:00 AM""";0.03
"=""11/04/ 8:00 AM""";0.44
"=""11/04/ 9:00 AM""";1.19
"=""11/04/ 10:00 AM""";1.70
"=""11/04/ 11:00 AM""";2.52
"=""11/04/ 12:00 PM""";2.66
"=""11/04/ 1:00 PM""";2.35
"=""11/04/ 2:00 PM""";2.35
"=""11/04/ 3:00 PM""";2.85
"=""11/04/ 4:00 PM""";2.10
"=""11/04/ 5:00 PM""";1.27
"=""11/04/ 6:00 PM""";0.80
"=""11/04/ 7:00 PM""";0.19
"=""11/04/ 8:00 PM""";0.00
"=""11/04/ 9:00 PM"""; 
"=""11/04/ 10:00 PM"""; 
"=""11/04/ 11:00 PM"""; 
"=""12/04/ 12:00 AM"""; 
"=""12/04/ 1:00 AM"""; 
"=""12/04/ 2:00 AM"""; 
"=""12/04/ 3:00 AM"""; 
"=""12/04/ 4:00 AM"""; 
"=""12/04/ 5:00 AM"""; 
"=""12/04/ 6:00 AM"""; 
"=""12/04/ 7:00 AM""";0.00
"=""12/04/ 8:00 AM""";0.15
"=""12/04/ 9:00 AM""";0.51
"=""12/04/ 10:00 AM""";1.24
"=""12/04/ 11:00 AM""";1.81
"=""12/04/ 12:00 PM""";2.30
"=""12/04/ 1:00 PM""";2.38
"=""12/04/ 2:00 PM""";1.52
"=""12/04/ 3:00 PM""";1.23
"=""12/04/ 4:00 PM""";1.01
"=""12/04/ 5:00 PM""";0.39
"=""12/04/ 6:00 PM""";0.07
"=""12/04/ 7:00 PM""";0.00
