 ;Warrior Recreation Center / Power / Mean values [kW]
"=""12/04/ 8:00 PM"""; 
"=""12/04/ 9:00 PM"""; 
"=""12/04/ 10:00 PM"""; 
"=""12/04/ 11:00 PM"""; 
"=""13/04/ 12:00 AM"""; 
"=""13/04/ 1:00 AM"""; 
"=""13/04/ 2:00 AM"""; 
"=""13/04/ 3:00 AM"""; 
"=""13/04/ 4:00 AM"""; 
"=""13/04/ 5:00 AM"""; 
"=""13/04/ 6:00 AM"""; 
"=""13/04/ 7:00 AM""";0.01
"=""13/04/ 8:00 AM""";0.16
"=""13/04/ 9:00 AM""";0.98
"=""13/04/ 10:00 AM""";1.33
"=""13/04/ 11:00 AM""";1.19
"=""13/04/ 12:00 PM""";1.31
"=""13/04/ 1:00 PM""";1.00
"=""13/04/ 2:00 PM""";2.07
"=""13/04/ 3:00 PM""";1.58
"=""13/04/ 4:00 PM""";1.83
"=""13/04/ 5:00 PM""";1.34
"=""13/04/ 6:00 PM""";0.69
"=""13/04/ 7:00 PM""";0.12
"=""13/04/ 8:00 PM""";0.00
"=""13/04/ 9:00 PM"""; 
"=""13/04/ 10:00 PM"""; 
"=""13/04/ 11:00 PM"""; 
"=""14/04/ 12:00 AM"""; 
"=""14/04/ 1:00 AM"""; 
"=""14/04/ 2:00 AM"""; 
"=""14/04/ 3:00 AM"""; 
"=""14/04/ 4:00 AM"""; 
"=""14/04/ 5:00 AM"""; 
"=""14/04/ 6:00 AM"""; 
"=""14/04/ 7:00 AM""";0.01
"=""14/04/ 8:00 AM""";0.51
"=""14/04/ 9:00 AM""";1.28
"=""14/04/ 10:00 AM""";1.57
"=""14/04/ 11:00 AM""";2.13
"=""14/04/ 12:00 PM""";1.85
"=""14/04/ 1:00 PM""";2.29
"=""14/04/ 2:00 PM""";1.66
"=""14/04/ 3:00 PM""";1.25
"=""14/04/ 4:00 PM""";0.70
"=""14/04/ 5:00 PM""";0.35
"=""14/04/ 6:00 PM""";0.30
"=""14/04/ 7:00 PM""";0.08
"=""14/04/ 8:00 PM""";0.00
"=""14/04/ 9:00 PM"""; 
"=""14/04/ 10:00 PM"""; 
"=""14/04/ 11:00 PM"""; 
"=""15/04/ 12:00 AM"""; 
"=""15/04/ 1:00 AM"""; 
"=""15/04/ 2:00 AM"""; 
"=""15/04/ 3:00 AM"""; 
"=""15/04/ 4:00 AM"""; 
"=""15/04/ 5:00 AM"""; 
"=""15/04/ 6:00 AM"""; 
"=""15/04/ 7:00 AM""";0.01
"=""15/04/ 8:00 AM""";0.40
"=""15/04/ 9:00 AM""";0.91
"=""15/04/ 10:00 AM""";1.16
"=""15/04/ 11:00 AM""";1.75
"=""15/04/ 12:00 PM""";2.56
"=""15/04/ 1:00 PM""";2.32
"=""15/04/ 2:00 PM""";2.17
"=""15/04/ 3:00 PM""";2.24
"=""15/04/ 4:00 PM""";2.57
"=""15/04/ 5:00 PM""";1.67
"=""15/04/ 6:00 PM""";0.81
"=""15/04/ 7:00 PM""";0.11
"=""15/04/ 8:00 PM""";0.00
"=""15/04/ 9:00 PM"""; 
"=""15/04/ 10:00 PM"""; 
"=""15/04/ 11:00 PM"""; 
"=""16/04/ 12:00 AM"""; 
"=""16/04/ 1:00 AM"""; 
"=""16/04/ 2:00 AM"""; 
"=""16/04/ 3:00 AM"""; 
"=""16/04/ 4:00 AM"""; 
"=""16/04/ 5:00 AM"""; 
"=""16/04/ 6:00 AM"""; 
"=""16/04/ 7:00 AM""";0.04
"=""16/04/ 8:00 AM""";0.55
"=""16/04/ 9:00 AM""";1.49
"=""16/04/ 10:00 AM""";2.39
"=""16/04/ 11:00 AM""";2.77
"=""16/04/ 12:00 PM""";2.86
"=""16/04/ 1:00 PM""";2.79
"=""16/04/ 2:00 PM""";2.73
"=""16/04/ 3:00 PM""";2.73
"=""16/04/ 4:00 PM""";2.53
"=""16/04/ 5:00 PM""";2.07
"=""16/04/ 6:00 PM""";0.74
"=""16/04/ 7:00 PM""";0.17
"=""16/04/ 8:00 PM""";0.00
"=""16/04/ 9:00 PM"""; 
"=""16/04/ 10:00 PM"""; 
"=""16/04/ 11:00 PM"""; 
"=""17/04/ 12:00 AM"""; 
