 ;Warrior Recreation Center / Power / Mean values [kW]
"=""26/06/ 1:00 AM"""; 
"=""26/06/ 2:00 AM"""; 
"=""26/06/ 3:00 AM"""; 
"=""26/06/ 4:00 AM"""; 
"=""26/06/ 5:00 AM"""; 
"=""26/06/ 6:00 AM""";0.00
"=""26/06/ 7:00 AM""";0.05
"=""26/06/ 8:00 AM""";0.46
"=""26/06/ 9:00 AM""";1.11
"=""26/06/ 10:00 AM""";1.63
"=""26/06/ 11:00 AM""";2.04
"=""26/06/ 12:00 PM""";2.71
"=""26/06/ 1:00 PM""";2.36
"=""26/06/ 2:00 PM""";2.20
"=""26/06/ 3:00 PM""";2.15
"=""26/06/ 4:00 PM""";1.53
"=""26/06/ 5:00 PM""";1.56
"=""26/06/ 6:00 PM""";0.89
"=""26/06/ 7:00 PM""";0.18
"=""26/06/ 8:00 PM""";0.01
"=""26/06/ 9:00 PM"""; 
"=""26/06/ 10:00 PM"""; 
"=""26/06/ 11:00 PM"""; 
"=""27/06/ 12:00 AM"""; 
"=""27/06/ 1:00 AM"""; 
"=""27/06/ 2:00 AM"""; 
"=""27/06/ 3:00 AM"""; 
"=""27/06/ 4:00 AM"""; 
"=""27/06/ 5:00 AM"""; 
"=""27/06/ 6:00 AM""";0.00
"=""27/06/ 7:00 AM""";0.09
"=""27/06/ 8:00 AM""";0.36
"=""27/06/ 9:00 AM""";0.77
"=""27/06/ 10:00 AM""";1.83
"=""27/06/ 11:00 AM""";2.89
"=""27/06/ 12:00 PM""";2.61
"=""27/06/ 1:00 PM""";2.46
"=""27/06/ 2:00 PM""";2.83
"=""27/06/ 3:00 PM""";2.64
"=""27/06/ 4:00 PM""";2.70
"=""27/06/ 5:00 PM""";1.82
"=""27/06/ 6:00 PM""";0.90
"=""27/06/ 7:00 PM""";0.30
"=""27/06/ 8:00 PM""";0.01
"=""27/06/ 9:00 PM"""; 
"=""27/06/ 10:00 PM"""; 
"=""27/06/ 11:00 PM"""; 
"=""28/06/ 12:00 AM"""; 
"=""28/06/ 1:00 AM"""; 
"=""28/06/ 2:00 AM"""; 
"=""28/06/ 3:00 AM"""; 
"=""28/06/ 4:00 AM"""; 
"=""28/06/ 5:00 AM"""; 
"=""28/06/ 6:00 AM"""; 
"=""28/06/ 7:00 AM""";0.04
"=""28/06/ 8:00 AM""";0.36
"=""28/06/ 9:00 AM""";1.20
"=""28/06/ 10:00 AM""";2.29
"=""28/06/ 11:00 AM""";2.84
"=""28/06/ 12:00 PM""";2.76
"=""28/06/ 1:00 PM""";2.95
"=""28/06/ 2:00 PM""";2.84
"=""28/06/ 3:00 PM""";2.73
"=""28/06/ 4:00 PM""";2.54
"=""28/06/ 5:00 PM""";1.51
"=""28/06/ 6:00 PM""";1.04
"=""28/06/ 7:00 PM""";0.30
"=""28/06/ 8:00 PM""";0.01
"=""28/06/ 9:00 PM"""; 
"=""28/06/ 10:00 PM"""; 
"=""28/06/ 11:00 PM"""; 
"=""29/06/ 12:00 AM"""; 
"=""29/06/ 1:00 AM"""; 
"=""29/06/ 2:00 AM"""; 
"=""29/06/ 3:00 AM"""; 
"=""29/06/ 4:00 AM"""; 
"=""29/06/ 5:00 AM"""; 
"=""29/06/ 6:00 AM"""; 
"=""29/06/ 7:00 AM""";0.01
"=""29/06/ 8:00 AM""";0.38
"=""29/06/ 9:00 AM""";1.45
"=""29/06/ 10:00 AM""";2.17
"=""29/06/ 11:00 AM""";2.56
"=""29/06/ 12:00 PM""";3.03
"=""29/06/ 1:00 PM""";2.92
"=""29/06/ 2:00 PM""";2.83
"=""29/06/ 3:00 PM""";2.45
"=""29/06/ 4:00 PM""";2.26
"=""29/06/ 5:00 PM""";1.97
"=""29/06/ 6:00 PM""";1.11
"=""29/06/ 7:00 PM""";0.39
"=""29/06/ 8:00 PM""";0.04
"=""29/06/ 9:00 PM"""; 
"=""29/06/ 10:00 PM"""; 
"=""29/06/ 11:00 PM"""; 
"=""30/06/ 12:00 AM"""; 
"=""30/06/ 1:00 AM"""; 
"=""30/06/ 2:00 AM"""; 
"=""30/06/ 3:00 AM"""; 
"=""30/06/ 4:00 AM"""; 
"=""30/06/ 5:00 AM"""; 
"=""30/06/ 6:00 AM"""; 
"=""30/06/ 7:00 AM""";0.04
"=""30/06/ 8:00 AM""";0.67
"=""30/06/ 9:00 AM""";1.60
"=""30/06/ 10:00 AM""";1.92
"=""30/06/ 11:00 AM""";2.31
"=""30/06/ 12:00 PM""";2.48
"=""30/06/ 1:00 PM""";2.29
"=""30/06/ 2:00 PM""";2.92
"=""30/06/ 3:00 PM""";2.85
"=""30/06/ 4:00 PM""";2.49
"=""30/06/ 5:00 PM""";1.85
"=""30/06/ 6:00 PM""";1.22
"=""30/06/ 7:00 PM""";0.29
"=""30/06/ 8:00 PM""";0.01
"=""30/06/ 9:00 PM"""; 
"=""30/06/ 10:00 PM"""; 
"=""30/06/ 11:00 PM"""; 
"=""01/07/ 12:00 AM"""; 
"=""01/07/ 1:00 AM"""; 
"=""01/07/ 2:00 AM"""; 
"=""01/07/ 3:00 AM"""; 
"=""01/07/ 4:00 AM"""; 
"=""01/07/ 5:00 AM"""; 
"=""01/07/ 6:00 AM"""; 
"=""01/07/ 7:00 AM""";0.04
"=""01/07/ 8:00 AM""";0.26
"=""01/07/ 9:00 AM""";0.81
"=""01/07/ 10:00 AM""";2.05
"=""01/07/ 11:00 AM""";2.59
"=""01/07/ 12:00 PM""";2.74
"=""01/07/ 1:00 PM""";3.10
"=""01/07/ 2:00 PM""";3.03
"=""01/07/ 3:00 PM""";2.66
"=""01/07/ 4:00 PM""";2.44
"=""01/07/ 5:00 PM""";1.35
"=""01/07/ 6:00 PM""";1.04
"=""01/07/ 7:00 PM""";0.33
"=""01/07/ 8:00 PM""";0.03
"=""01/07/ 9:00 PM"""; 
"=""01/07/ 10:00 PM"""; 
"=""01/07/ 11:00 PM"""; 
"=""02/07/ 12:00 AM"""; 
"=""02/07/ 1:00 AM"""; 
"=""02/07/ 2:00 AM"""; 
"=""02/07/ 3:00 AM"""; 
"=""02/07/ 4:00 AM"""; 
"=""02/07/ 5:00 AM"""; 
"=""02/07/ 6:00 AM"""; 
"=""02/07/ 7:00 AM""";0.02
"=""02/07/ 8:00 AM""";0.25
"=""02/07/ 9:00 AM""";0.59
"=""02/07/ 10:00 AM""";1.52
"=""02/07/ 11:00 AM""";2.38
"=""02/07/ 12:00 PM""";2.57
"=""02/07/ 1:00 PM""";2.64
"=""02/07/ 2:00 PM""";2.34
"=""02/07/ 3:00 PM""";2.52
"=""02/07/ 4:00 PM""";1.73
"=""02/07/ 5:00 PM""";1.60
"=""02/07/ 6:00 PM""";1.11
"=""02/07/ 7:00 PM""";0.26
"=""02/07/ 8:00 PM""";0.00
"=""02/07/ 9:00 PM"""; 
"=""02/07/ 10:00 PM"""; 
"=""02/07/ 11:00 PM"""; 
"=""03/07/ 12:00 AM"""; 
