"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","L3 Voltage [V]","CT1 Amperage [A]","CT2 Amperage [A]","CT3 Amperage [A]","Panel 4A [kW]","Panel 4A* [kVA]","Panel 4A Power Factor []","Panel 4G [kW]","PACU-1 [kW]","PACU-2 [kW]","CT4L1 [kW]","CT5L2 [kW]","CT6L3 [kW]","SOLAR [kW]"
2026-08-06 08:18:00,70.398458889,89.594111111,275.665034204,276.306140902,276.104833114,0.884353375,2.997400142,3.350215715,-0.532411111,1.996995556,0.268682235,0.830727778,35.406285556,34.693856667,-3.398595556,-6.806837778,-0.101811111,-89.594111111
2026-08-06 08:03:00,53.706703333,84.023637778,275.835063101,276.293182012,276.212309786,0.887167820,2.948656807,3.342000159,-0.533391111,1.982520000,0.271466680,0.796042222,24.788174444,28.655877778,-3.406591111,-6.806891111,-0.065510000,-84.023637778
2026-08-06 07:48:00,77.182952222,72.620435556,275.338520856,275.881960881,275.691554206,0.896844487,2.916653472,3.298212379,-0.523327778,1.960887778,0.269077791,1.007162222,43.331640000,33.367477778,-3.228358889,-6.804338889,-0.128867778,-72.620435556
2026-08-06 07:33:00,51.476445556,49.674491111,275.768755321,276.248468677,276.081412002,0.891344487,2.926236806,3.342370159,-0.525117778,1.976953333,0.267636679,1.088868889,16.912732222,33.999962222,-3.093694444,-6.807167778,-0.082264444,-49.674491111
2026-08-06 07:18:00,73.161955556,37.148267778,275.908217549,276.375389794,276.240484232,0.884797820,2.932393473,3.354172382,-0.523498889,1.981118889,0.266414457,1.341507778,44.050372222,28.293574444,-2.890857778,-6.803465556,-0.150981111,-37.148267778
2026-08-06 07:03:00,44.836514444,13.978006667,276.099095336,276.631413139,276.500127577,0.888901153,2.944516807,3.329982380,-0.530361111,1.980725556,0.269830013,1.413053333,15.749254444,28.204567778,-2.765688889,-6.806988889,-0.099355556,-13.978006667
2026-08-06 06:48:00,72.598243333,8.008695556,274.098339686,274.566239708,274.417700812,0.893295598,2.946354584,3.204603486,-0.564215556,1.933228889,0.294101125,1.574172222,43.461734444,28.126552222,-2.641061111,-6.803440000,-0.155418889,-8.008695556
2026-08-06 06:33:00,44.099730000,4.125006667,274.814634164,275.541094199,275.365998635,0.891875598,2.968516808,3.185337929,-0.590216667,1.940190000,0.306708903,1.489117778,15.066001111,28.134827778,-2.683936667,-6.808810000,-0.098934444,-4.125006667
2026-08-06 06:18:00,72.364985556,0.799038889,274.306005251,274.964877505,274.843188610,0.883637820,3.465296831,3.200225708,-0.780346667,2.074528889,0.374701129,1.742881111,43.321090000,28.081361111,-2.562073333,-6.948840000,-0.237567778,-0.799038889
2026-08-06 06:03:00,47.247073333,-0.591575556,274.638518600,275.118799734,275.083604177,0.884854486,3.867881295,3.272855711,-0.939153333,2.207484444,0.427763354,1.693632222,18.344268889,28.148325556,-2.625403333,-7.065088889,-0.243864444,0.591575556
2026-08-06 05:48:00,61.172223333,-0.582531111,275.048930842,275.339257522,275.351346412,0.887022264,3.859084628,3.351754604,-0.937064444,2.229478889,0.422593353,1.893217778,33.426827778,26.789242222,-2.381405556,-6.849012222,-0.037931111,0.582531111
2026-08-06 05:33:00,42.496144444,-0.565027778,274.391065255,274.510270816,274.628217489,0.884021153,3.896471296,3.340827936,-0.937973333,2.229690000,0.422933353,1.787496667,15.023486667,26.623134444,-2.425675556,-6.816922222,0.047584444,0.565027778
2026-08-06 05:18:00,46.179240000,-0.571436667,274.449674147,274.567409708,274.716880826,0.887137820,3.905409074,3.333704603,-0.941345556,2.231605556,0.424266687,1.805193333,18.312184444,27.003207778,-2.415693333,-6.815751111,0.043031111,0.571436667
2026-08-06 05:03:00,60.905122222,-0.582826667,274.561419708,274.701894159,274.846566388,0.880946709,3.902827963,3.338233492,-0.940172222,2.231504444,0.423647798,1.889498889,33.373180000,26.582615556,-2.368008889,-6.813907778,0.004342222,0.582826667
2026-08-06 04:48:00,30.704843333,-0.571304444,274.237753026,274.399758589,274.468865259,0.884013375,3.894424629,3.306779046,-0.942552222,2.218668889,0.426990020,1.736895556,3.296051111,26.614448889,-2.465077778,-6.819405556,0.077364444,0.571304444
2026-08-06 04:33:00,64.620147778,-0.582646667,274.073301907,274.206666357,274.284808583,0.889066709,3.930611298,3.276817933,-0.946663333,2.220268889,0.428738909,1.909167778,37.047810000,26.609833333,-2.359842222,-6.814604444,-0.003507778,0.582646667
2026-08-06 04:18:00,37.323571111,-0.575287778,274.568433041,274.685446380,274.768899717,0.899784487,3.912195741,3.286551267,-0.949960000,2.224725556,0.429437798,1.768267778,9.822978889,26.682284444,-2.454048889,-6.818416667,0.063406667,0.575287778
2026-08-06 04:03:00,47.941628889,-0.577175556,274.506201927,274.651907490,274.762846384,0.881301153,3.928219075,3.286197934,-0.949493333,2.223738889,0.429384465,1.847982222,20.278035556,26.765104444,-2.396605556,-6.816456667,0.036542222,0.577175556
2026-08-06 03:48:00,56.192318889,-0.579147778,274.493655260,274.690957492,274.836960832,0.889786709,3.927567964,3.260381266,-0.948432222,2.219181111,0.429670020,1.875556667,28.511966667,26.753227778,-2.390343333,-6.815493333,0.017707778,0.579147778
2026-08-06 03:33:00,33.607284444,-0.574798889,274.782174163,275.011988618,275.113109734,0.883703375,3.897172407,3.263845711,-0.950260000,2.212528889,0.432012243,1.788525556,5.983904444,26.785114444,-2.432933333,-6.818444444,0.068500000,0.574798889
2026-08-06 03:18:00,67.708260000,-0.585078889,274.357039698,274.502910816,274.616445266,0.892207820,3.889314629,3.264609044,-0.946996667,2.208936667,0.431171132,1.947203333,39.974111111,26.733942222,-2.338398889,-6.813956667,-0.009217778,0.585078889
2026-08-06 03:03:00,33.751895556,-0.575818889,274.750155272,274.876178611,275.004694173,0.879255597,3.907412408,3.303983490,-0.951556667,2.224248889,0.430220020,1.778448889,6.222377778,26.702625556,-2.439996667,-6.818475556,0.069214444,0.575818889
2026-08-06 02:48:00,56.350193333,-0.581326667,274.340631919,274.495115260,274.597896376,0.889203376,3.893827963,3.266670155,-0.948090000,2.209821111,0.431317798,1.877652222,28.706605556,26.714025556,-2.386187778,-6.815233333,0.014271111,0.581326667
