"DateTime","Inverter power for Inverter 1 (7E159B0C)","Inverter power for Inverter 2 (7E159B09)","Inverter power for Inverter 3 (7E159B0B)","Inverter power for Inverter 4 (7E159B18)","Inverter power for Inverter 5 (7B109052)"
"2026-06-19 00:00:00",0,0,0,0,0
"2026-06-19 01:00:00",0,0,0,0,0
"2026-06-19 02:00:00",0,0,0,0,0
"2026-06-19 03:00:00",0,0,0,0,0
"2026-06-19 04:00:00",0,0,0,0,0
"2026-06-19 05:00:00",0,0,0,0,0
"2026-06-19 06:00:00",288,387,379,373,0
"2026-06-19 07:00:00",1797,2340,2281,2152,0
"2026-06-19 08:00:00",5529,6768,6641,6498,0
"2026-06-19 09:00:00",7923,8884,8784,8959,0
"2026-06-19 10:00:00",8805,10254,10046,10081,0
"2026-06-19 11:00:00",6771,8098,7705,8637,0
"2026-06-19 12:00:00",3490,4608,4633,4544,0
"2026-06-19 13:00:00",3534,4373,4329,4309,0
"2026-06-19 14:00:00",10336,12023,11903,12451,0
"2026-06-19 15:00:00",8334,9774,9654,10275,0
"2026-06-19 16:00:00",6075,7186,7074,7713,0
"2026-06-19 17:00:00",3251,3994,3902,4509,0
"2026-06-19 18:00:00",548,732,716,888,0
"2026-06-19 19:00:00",39,0,57,25,0
"2026-06-19 20:00:00",0,0,0,0,0
"2026-06-19 21:00:00",0,0,0,0,0
"2026-06-19 22:00:00",0,0,0,0,0
"2026-06-19 23:00:00",0,0,0,0,0
"2026-06-20 00:00:00",0,0,0,0,0
"2026-06-20 01:00:00",0,0,0,0,0
"2026-06-20 02:00:00",0,0,0,0,0
"2026-06-20 03:00:00",0,0,0,0,0
"2026-06-20 04:00:00",0,0,0,0,0
"2026-06-20 05:00:00",0,0,0,0,0
"2026-06-20 06:00:00",135,207,206,193,0
"2026-06-20 07:00:00",3053,3784,3880,3495,0
"2026-06-20 08:00:00",5979,6780,7249,6933,0
"2026-06-20 09:00:00",8289,10028,9852,9659,0
"2026-06-20 10:00:00",9981,11877,11721,11650,0
"2026-06-20 11:00:00",11052,13037,12923,12964,0
"2026-06-20 12:00:00",11479,13460,13401,13545,0
"2026-06-20 13:00:00",11207,13082,13001,13310,0
"2026-06-20 14:00:00",10197,11925,11830,12223,0
"2026-06-20 15:00:00",8433,9905,9779,10258,0
"2026-06-20 16:00:00",6055,7171,7042,7577,0
"2026-06-20 17:00:00",3203,3934,3831,4354,0
"2026-06-20 18:00:00",667,880,857,1094,0
"2026-06-20 19:00:00",48,28,23,23,0
"2026-06-20 20:00:00",0,0,0,0,0
"2026-06-20 21:00:00",0,0,0,0,0
"2026-06-20 22:00:00",0,0,0,0,0
"2026-06-20 23:00:00",0,0,0,0,0
"2026-06-21 00:00:00",0,0,0,0,0
"2026-06-21 01:00:00",0,0,0,0,0
"2026-06-21 02:00:00",0,0,0,0,0
"2026-06-21 03:00:00",0,0,0,0,0
"2026-06-21 04:00:00",0,0,0,0,0
"2026-06-21 05:00:00",0,0,0,0,0
"2026-06-21 06:00:00",317,417,395,379,0
"2026-06-21 07:00:00",2584,3420,3303,2968,0
"2026-06-21 08:00:00",6014,7484,7271,6952,0
"2026-06-21 09:00:00",7878,9027,9639,9526,0
"2026-06-21 10:00:00",9878,10714,11587,11505,0
"2026-06-21 11:00:00",10917,12781,12728,12751,0
"2026-06-21 12:00:00",11273,13093,13056,13148,0
"2026-06-21 13:00:00",11005,12719,12713,12956,0
"2026-06-21 14:00:00",10082,11667,11629,12025,0
"2026-06-21 15:00:00",8402,9779,9705,10176,0
"2026-06-21 16:00:00",6165,7252,7156,7656,0
"2026-06-21 17:00:00",2810,3407,3339,3752,0
"2026-06-21 18:00:00",808,1070,1037,1281,0
"2026-06-21 19:00:00",43,45,54,53,0
"2026-06-21 20:00:00",0,0,0,0,0
"2026-06-21 21:00:00",0,0,0,0,0
"2026-06-21 22:00:00",0,0,0,0,0
"2026-06-21 23:00:00",0,0,0,0,0
"2026-06-22 00:00:00",0,0,0,0,0
"2026-06-22 01:00:00",0,0,0,0,0
"2026-06-22 02:00:00",0,0,0,0,0
"2026-06-22 03:00:00",0,0,0,0,0
"2026-06-22 04:00:00",0,0,0,0,0
"2026-06-22 05:00:00",0,0,0,0,0
"2026-06-22 06:00:00",166,243,236,226,0
"2026-06-22 07:00:00",1695,2125,2054,1976,0
"2026-06-22 08:00:00",5661,7068,6834,6667,0
"2026-06-22 09:00:00",3528,4216,3820,4069,0
"2026-06-22 10:00:00",5480,6683,6620,6354,0
"2026-06-22 11:00:00",11510,13760,13627,13777,0
"2026-06-22 12:00:00",11811,14209,14170,14328,0
"2026-06-22 13:00:00",11319,13318,13204,13388,0
"2026-06-22 14:00:00",9890,11464,11402,11805,0
"2026-06-22 15:00:00",4905,5778,5870,5779,0
"2026-06-22 16:00:00",2834,3518,3450,3619,0
"2026-06-22 17:00:00",3292,3853,3729,4248,0
"2026-06-22 18:00:00",1009,1306,1284,1496,0
"2026-06-22 19:00:00",33,41,47,31,0
"2026-06-22 20:00:00",0,0,0,0,0
"2026-06-22 21:00:00",0,0,0,0,0
"2026-06-22 22:00:00",0,0,0,0,0
"2026-06-22 23:00:00",0,0,0,0,0
"2026-06-23 00:00:00",0,0,0,0,0
"2026-06-23 01:00:00",0,0,0,0,0
"2026-06-23 02:00:00",0,0,0,0,0
"2026-06-23 03:00:00",0,0,0,0,0
"2026-06-23 04:00:00",0,0,0,0,0
