"DateTime","Inverter power for Inverter 1 (7E159B0C)","Inverter power for Inverter 2 (7E159B09)","Inverter power for Inverter 3 (7E159B0B)","Inverter power for Inverter 4 (7E159B18)","Inverter power for Inverter 5 (7B109052)"
"2026-05-01 00:00:00",0,0,0,0,0
"2026-05-01 01:00:00",0,0,0,0,0
"2026-05-01 02:00:00",0,0,0,0,0
"2026-05-01 03:00:00",0,0,0,0,0
"2026-05-01 04:00:00",0,0,0,0,0
"2026-05-01 05:00:00",0,0,0,0,0
"2026-05-01 06:00:00",147,196,197,190,0
"2026-05-01 07:00:00",1146,1501,1236,1471,0
"2026-05-01 08:00:00",2926,3579,3471,3497,0
"2026-05-01 09:00:00",4605,5642,5407,5523,0
"2026-05-01 10:00:00",6977,8602,8372,8481,0
"2026-05-01 11:00:00",8343,10403,10225,11349,0
"2026-05-01 12:00:00",7994,8849,8769,9167,0
"2026-05-01 13:00:00",8530,9881,9682,10105,0
"2026-05-01 14:00:00",8019,9273,9107,9322,0
"2026-05-01 15:00:00",6711,8011,7596,7999,0
"2026-05-01 16:00:00",3464,4137,4039,4248,0
"2026-05-01 17:00:00",2027,2442,2373,2690,0
"2026-05-01 18:00:00",391,500,491,598,0
"2026-05-01 19:00:00",0,0,0,0,0
"2026-05-01 20:00:00",0,0,0,0,0
"2026-05-01 21:00:00",0,0,0,0,0
"2026-05-01 22:00:00",0,0,0,0,0
"2026-05-01 23:00:00",0,0,0,0,0
"2026-05-02 00:00:00",0,0,0,0,0
"2026-05-02 01:00:00",0,0,0,0,0
"2026-05-02 02:00:00",0,0,0,0,0
"2026-05-02 03:00:00",0,0,0,0,0
"2026-05-02 04:00:00",0,0,0,0,0
"2026-05-02 05:00:00",0,0,0,0,0
"2026-05-02 06:00:00",161,269,271,265,0
"2026-05-02 07:00:00",2526,3183,3076,2808,0
"2026-05-02 08:00:00",5804,7609,7506,7143,0
"2026-05-02 09:00:00",8778,10423,10279,10190,0
"2026-05-02 10:00:00",10633,12468,12327,12444,0
"2026-05-02 11:00:00",11721,13552,13451,13710,0
"2026-05-02 12:00:00",12067,13984,13896,14273,0
"2026-05-02 13:00:00",12125,14023,13813,14457,0
"2026-05-02 14:00:00",10166,11784,11697,12240,0
"2026-05-02 15:00:00",8217,9211,9062,9800,0
"2026-05-02 16:00:00",5813,7270,7158,7839,0
"2026-05-02 17:00:00",3013,3569,3487,4080,0
"2026-05-02 18:00:00",370,468,463,567,0
"2026-05-02 19:00:00",0,0,0,0,0
"2026-05-02 20:00:00",0,0,0,0,0
"2026-05-02 21:00:00",0,0,0,0,0
"2026-05-02 22:00:00",0,0,0,0,0
"2026-05-02 23:00:00",0,0,0,0,0
"2026-05-03 00:00:00",0,0,0,0,0
"2026-05-03 01:00:00",0,0,0,0,0
"2026-05-03 02:00:00",0,0,0,0,0
"2026-05-03 03:00:00",0,0,0,0,0
"2026-05-03 04:00:00",0,0,0,0,0
"2026-05-03 05:00:00",0,0,0,0,0
"2026-05-03 06:00:00",113,175,160,165,0
"2026-05-03 07:00:00",1332,1683,1647,1588,0
"2026-05-03 08:00:00",5982,7460,7277,7028,0
"2026-05-03 09:00:00",5572,6353,6113,6000,0
"2026-05-03 10:00:00",11128,13142,12966,13087,0
"2026-05-03 11:00:00",12037,14029,13888,14200,0
"2026-05-03 12:00:00",12000,13897,13753,14171,0
"2026-05-03 13:00:00",10354,13251,13092,13706,0
"2026-05-03 14:00:00",10363,11955,11826,12465,0
"2026-05-03 15:00:00",8447,9832,9696,10387,0
"2026-05-03 16:00:00",5311,5593,5781,6514,0
"2026-05-03 17:00:00",3279,3805,3668,4222,0
"2026-05-03 18:00:00",382,479,482,617,0
"2026-05-03 19:00:00",0,0,0,0,0
"2026-05-03 20:00:00",0,0,0,0,0
"2026-05-03 21:00:00",0,0,0,0,0
"2026-05-03 22:00:00",0,0,0,0,0
"2026-05-03 23:00:00",0,0,0,0,0
"2026-05-04 00:00:00",0,0,0,0,0
"2026-05-04 01:00:00",0,0,0,0,0
"2026-05-04 02:00:00",0,0,0,0,0
"2026-05-04 03:00:00",0,0,0,0,0
"2026-05-04 04:00:00",0,0,0,0,0
"2026-05-04 05:00:00",0,0,0,0,0
"2026-05-04 06:00:00",107,161,155,147,0
"2026-05-04 07:00:00",2648,3430,3318,3048,0
"2026-05-04 08:00:00",6216,7709,7518,7236,0
"2026-05-04 09:00:00",8731,10524,10316,10238,0
"2026-05-04 10:00:00",10466,12390,12220,12338,0
"2026-05-04 11:00:00",11629,13530,13419,13645,0
"2026-05-04 12:00:00",11850,13735,13678,14008,0
"2026-05-04 13:00:00",11464,13228,13162,13622,0
"2026-05-04 14:00:00",10305,11873,11798,12374,0
"2026-05-04 15:00:00",8406,9769,9679,10314,0
"2026-05-04 16:00:00",5824,6808,6692,7383,0
"2026-05-04 17:00:00",2780,3300,3212,3822,0
"2026-05-04 18:00:00",379,466,454,635,0
"2026-05-04 19:00:00",0,0,0,0,0
"2026-05-04 20:00:00",0,0,0,0,0
"2026-05-04 21:00:00",0,0,0,0,0
"2026-05-04 22:00:00",0,0,0,0,0
"2026-05-04 23:00:00",0,0,0,0,0
"2026-05-05 00:00:00",0,0,0,0,0
"2026-05-05 01:00:00",0,0,0,0,0
"2026-05-05 02:00:00",0,0,0,0,0
"2026-05-05 03:00:00",0,0,0,0,0
"2026-05-05 04:00:00",0,0,0,0,0
"2026-05-05 05:00:00",0,0,0,0,0
"2026-05-05 06:00:00",282,379,373,375,0
"2026-05-05 07:00:00",1833,2287,2210,2196,0
"2026-05-05 08:00:00",3495,4183,4083,4050,0
"2026-05-05 09:00:00",9615,11229,10927,11154,0
"2026-05-05 10:00:00",11507,13322,13233,13412,0
"2026-05-05 11:00:00",12250,11561,13722,14192,0
"2026-05-05 12:00:00",9849,11519,11340,11749,0
"2026-05-05 13:00:00",3690,5075,5023,5047,0
"2026-05-05 14:00:00",11358,12563,11861,13021,0
"2026-05-05 15:00:00",8320,9369,8978,9605,0
"2026-05-05 16:00:00",5382,6370,6101,6650,0
"2026-05-05 17:00:00",1421,1592,1632,1750,0
"2026-05-05 18:00:00",190,228,222,235,0
"2026-05-05 19:00:00",0,0,0,0,0
"2026-05-05 20:00:00",0,0,0,0,0
"2026-05-05 21:00:00",0,0,0,0,0
"2026-05-05 22:00:00",0,0,0,0,0
"2026-05-05 23:00:00",0,0,0,0,0
"2026-05-06 00:00:00",0,0,0,0,0
"2026-05-06 01:00:00",0,0,0,0,0
"2026-05-06 02:00:00",0,0,0,0,0
"2026-05-06 03:00:00",0,0,0,0,0
"2026-05-06 04:00:00",0,0,0,0,0
"2026-05-06 05:00:00",0,0,0,0,0
"2026-05-06 06:00:00",336,440,431,431,0
"2026-05-06 07:00:00",2515,3244,3124,2995,0
"2026-05-06 08:00:00",6030,7488,7327,7094,0
