"DateTime","Inverter power for Inverter 1 (7E159B0C)","Inverter power for Inverter 2 (7E159B09)","Inverter power for Inverter 3 (7E159B0B)","Inverter power for Inverter 4 (7E159B18)","Inverter power for Inverter 5 (7B109052)"
"2026-03-20 00:00:00",0,0,0,0,0
"2026-03-20 01:00:00",0,0,0,0,0
"2026-03-20 02:00:00",0,0,0,0,0
"2026-03-20 03:00:00",0,0,0,0,0
"2026-03-20 04:00:00",0,0,0,0,0
"2026-03-20 05:00:00",0,0,0,0,0
"2026-03-20 06:00:00",0,0,0,0,0
"2026-03-20 07:00:00",88,132,129,123,0
"2026-03-20 08:00:00",175,232,233,230,0
"2026-03-20 09:00:00",142,175,182,169,0
"2026-03-20 10:00:00",568,693,687,688,0
"2026-03-20 11:00:00",1010,1250,1222,1236,0
"2026-03-20 12:00:00",998,1249,1212,1236,0
"2026-03-20 13:00:00",1422,1741,1694,1734,0
"2026-03-20 14:00:00",1748,2141,2084,2141,0
"2026-03-20 15:00:00",1027,1190,1227,1259,0
"2026-03-20 16:00:00",324,413,406,413,0
"2026-03-20 17:00:00",53,94,100,114,0
"2026-03-20 18:00:00",67,89,91,101,0
"2026-03-20 19:00:00",0,0,0,0,0
"2026-03-20 20:00:00",0,0,0,0,0
"2026-03-20 21:00:00",0,0,0,0,0
"2026-03-20 22:00:00",0,0,0,0,0
"2026-03-20 23:00:00",0,0,0,0,0
"2026-03-21 00:00:00",0,0,0,0,0
"2026-03-21 01:00:00",0,0,0,0,0
"2026-03-21 02:00:00",0,0,0,0,0
"2026-03-21 03:00:00",0,0,0,0,0
"2026-03-21 04:00:00",0,0,0,0,0
"2026-03-21 05:00:00",0,0,0,0,0
"2026-03-21 06:00:00",0,0,0,0,0
"2026-03-21 07:00:00",187,254,246,259,0
"2026-03-21 08:00:00",1615,2006,1953,1983,0
"2026-03-21 09:00:00",6773,8074,7838,7776,0
"2026-03-21 10:00:00",4632,5492,5294,5442,0
"2026-03-21 11:00:00",3948,4698,4534,4687,0
"2026-03-21 12:00:00",6326,7418,7146,7376,0
"2026-03-21 13:00:00",7322,8532,8298,8566,0
"2026-03-21 14:00:00",5215,6150,5896,6153,0
"2026-03-21 15:00:00",1632,1960,1880,1947,0
"2026-03-21 16:00:00",1142,1395,1347,1321,0
"2026-03-21 17:00:00",396,504,503,512,0
"2026-03-21 18:00:00",73,92,102,89,0
"2026-03-21 19:00:00",0,0,0,0,0
"2026-03-21 20:00:00",0,0,0,0,0
"2026-03-21 21:00:00",0,0,0,0,0
"2026-03-21 22:00:00",0,0,0,0,0
"2026-03-21 23:00:00",0,0,0,0,0
"2026-03-22 00:00:00",0,0,0,0,0
"2026-03-22 01:00:00",0,0,0,0,0
"2026-03-22 02:00:00",0,0,0,0,0
"2026-03-22 03:00:00",0,0,0,0,0
"2026-03-22 04:00:00",0,0,0,0,0
"2026-03-22 05:00:00",0,0,0,0,0
"2026-03-22 06:00:00",0,0,0,0,0
"2026-03-22 07:00:00",576,739,734,734,0
"2026-03-22 08:00:00",833,1051,1021,1045,0
"2026-03-22 09:00:00",2349,2900,2834,2888,0
"2026-03-22 10:00:00",6744,7939,7798,7869,0
"2026-03-22 11:00:00",8639,9818,9575,9850,0
"2026-03-22 12:00:00",6237,7324,7173,7381,0
"2026-03-22 13:00:00",6120,7176,6935,7251,0
"2026-03-22 14:00:00",5076,5985,5867,6115,0
"2026-03-22 15:00:00",3077,3720,3635,3785,0
"2026-03-22 16:00:00",2044,2430,2373,2535,0
