"DateTime","Inverter power for Inverter 1 (7E159B0C)","Inverter power for Inverter 2 (7E159B09)","Inverter power for Inverter 3 (7E159B0B)","Inverter power for Inverter 4 (7E159B18)","Inverter power for Inverter 5 (7B109052)"
"2026-04-10 00:00:00",0,0,0,0,0
"2026-04-10 01:00:00",0,0,0,0,0
"2026-04-10 02:00:00",0,0,0,0,0
"2026-04-10 03:00:00",0,0,0,0,0
"2026-04-10 04:00:00",0,0,0,0,0
"2026-04-10 05:00:00",0,0,0,0,0
"2026-04-10 06:00:00",31,35,56,46,0
"2026-04-10 07:00:00",144,174,184,179,0
"2026-04-10 08:00:00",416,534,519,533,0
"2026-04-10 09:00:00",668,848,828,853,0
"2026-04-10 10:00:00",812,1021,998,1023,0
"2026-04-10 11:00:00",673,847,791,850,0
"2026-04-10 12:00:00",1464,1811,1766,1804,0
"2026-04-10 13:00:00",695,866,851,863,0
"2026-04-10 14:00:00",1301,1617,1575,1611,0
"2026-04-10 15:00:00",762,967,943,969,0
"2026-04-10 16:00:00",1443,1797,1743,1803,0
"2026-04-10 17:00:00",863,1078,1051,1078,0
"2026-04-10 18:00:00",367,456,444,435,0
"2026-04-10 19:00:00",0,0,0,0,0
"2026-04-10 20:00:00",0,0,0,0,0
"2026-04-10 21:00:00",0,0,0,0,0
"2026-04-10 22:00:00",0,0,0,0,0
"2026-04-10 23:00:00",0,0,0,0,0
"2026-04-11 00:00:00",0,0,0,0,0
"2026-04-11 01:00:00",0,0,0,0,0
"2026-04-11 02:00:00",0,0,0,0,0
"2026-04-11 03:00:00",0,0,0,0,0
"2026-04-11 04:00:00",0,0,0,0,0
"2026-04-11 05:00:00",0,0,0,0,0
"2026-04-11 06:00:00",241,324,326,322,0
"2026-04-11 07:00:00",1831,2293,2225,2214,0
"2026-04-11 08:00:00",3501,4302,4162,4154,0
"2026-04-11 09:00:00",6480,7823,7588,7524,0
"2026-04-11 10:00:00",7645,8272,7896,8494,0
"2026-04-11 11:00:00",9170,10565,10228,10358,0
"2026-04-11 12:00:00",7000,8242,7962,8175,0
"2026-04-11 13:00:00",7983,9187,8810,9252,0
"2026-04-11 14:00:00",9644,11121,10644,11282,0
"2026-04-11 15:00:00",5467,6390,6150,6504,0
"2026-04-11 16:00:00",3038,3626,3474,3688,0
"2026-04-11 17:00:00",1834,2219,2123,2280,0
"2026-04-11 18:00:00",232,306,299,301,0
"2026-04-11 19:00:00",0,0,0,0,0
"2026-04-11 20:00:00",0,0,0,0,0
"2026-04-11 21:00:00",0,0,0,0,0
"2026-04-11 22:00:00",0,0,0,0,0
"2026-04-11 23:00:00",0,0,0,0,0
"2026-04-12 00:00:00",0,0,0,0,0
"2026-04-12 01:00:00",0,0,0,0,0
"2026-04-12 02:00:00",0,0,0,0,0
"2026-04-12 03:00:00",0,0,0,0,0
"2026-04-12 04:00:00",0,0,0,0,0
"2026-04-12 05:00:00",0,0,0,0,0
"2026-04-12 06:00:00",100,120,136,118,0
"2026-04-12 07:00:00",629,783,768,785,0
"2026-04-12 08:00:00",1745,2140,2080,2125,0
"2026-04-12 09:00:00",3632,4405,4289,4407,0
"2026-04-12 10:00:00",5741,6838,6625,6782,0
"2026-04-12 11:00:00",7055,8271,8108,8336,0
"2026-04-12 12:00:00",7425,8724,8548,8791,0
"2026-04-12 13:00:00",3595,4313,4162,4315,0
"2026-04-12 14:00:00",3455,4194,4051,4203,0
"2026-04-12 15:00:00",1940,2592,2515,2577,0
"2026-04-12 16:00:00",685,844,821,842,0
"2026-04-12 17:00:00",169,221,230,212,0
"2026-04-12 18:00:00",30,52,59,27,0
"2026-04-12 19:00:00",0,0,0,0,0
"2026-04-12 20:00:00",0,0,0,0,0
"2026-04-12 21:00:00",0,0,0,0,0
"2026-04-12 22:00:00",0,0,0,0,0
"2026-04-12 23:00:00",0,0,0,0,0
"2026-04-13 00:00:00",0,0,0,0,0
"2026-04-13 01:00:00",0,0,0,0,0
"2026-04-13 02:00:00",0,0,0,0,0
"2026-04-13 03:00:00",0,0,0,0,0
"2026-04-13 04:00:00",0,0,0,0,0
"2026-04-13 05:00:00",0,0,0,0,0
"2026-04-13 06:00:00",78,118,116,124,0
"2026-04-13 07:00:00",827,1039,1012,1032,0
"2026-04-13 08:00:00",2991,3667,3577,3627,0
"2026-04-13 09:00:00",3538,4287,4165,4285,0
