"DateTime","Inverter power for Inverter 1 (7E159B0C)","Inverter power for Inverter 2 (7E159B09)","Inverter power for Inverter 3 (7E159B0B)","Inverter power for Inverter 4 (7E159B18)","Inverter power for Inverter 5 (7B109052)"
"2026-04-24 00:00:00",0,0,0,0,0
"2026-04-24 01:00:00",0,0,0,0,0
"2026-04-24 02:00:00",0,0,0,0,0
"2026-04-24 03:00:00",0,0,0,0,0
"2026-04-24 04:00:00",0,0,0,0,0
"2026-04-24 05:00:00",0,0,0,0,0
"2026-04-24 06:00:00",133,197,195,196,0
"2026-04-24 07:00:00",1072,1501,1424,1345,0
"2026-04-24 08:00:00",5615,6663,6430,6365,0
"2026-04-24 09:00:00",8508,10244,10074,9927,0
"2026-04-24 10:00:00",10077,10746,11742,11641,0
"2026-04-24 11:00:00",11544,13321,13226,13451,0
"2026-04-24 12:00:00",11859,13610,13560,13897,0
"2026-04-24 13:00:00",11376,12991,12963,13389,0
"2026-04-24 14:00:00",10328,11811,11747,12321,0
"2026-04-24 15:00:00",8314,9567,9450,10118,0
"2026-04-24 16:00:00",5724,6615,6499,7182,0
"2026-04-24 17:00:00",2689,3116,3040,3650,0
"2026-04-24 18:00:00",325,408,390,559,0
"2026-04-24 19:00:00",0,0,0,0,0
"2026-04-24 20:00:00",0,0,0,0,0
"2026-04-24 21:00:00",0,0,0,0,0
"2026-04-24 22:00:00",0,0,0,0,0
"2026-04-24 23:00:00",0,0,0,0,0
"2026-04-25 00:00:00",0,0,0,0,0
"2026-04-25 01:00:00",0,0,0,0,0
"2026-04-25 02:00:00",0,0,0,0,0
"2026-04-25 03:00:00",0,0,0,0,0
"2026-04-25 04:00:00",0,0,0,0,0
"2026-04-25 05:00:00",0,0,0,0,0
"2026-04-25 06:00:00",195,242,259,240,0
"2026-04-25 07:00:00",2197,2654,2586,2608,0
"2026-04-25 08:00:00",5774,6953,6796,6480,0
"2026-04-25 09:00:00",8298,10070,10043,9695,0
"2026-04-25 10:00:00",10380,12288,12138,12226,0
"2026-04-25 11:00:00",11437,13292,13166,13430,0
"2026-04-25 12:00:00",11720,13605,13509,13838,0
"2026-04-25 13:00:00",11394,13245,13144,13569,0
