"DateTime","Inverter power for Inverter 1 (7E159B0C)","Inverter power for Inverter 2 (7E159B09)","Inverter power for Inverter 3 (7E159B0B)","Inverter power for Inverter 4 (7E159B18)","Inverter power for Inverter 5 (7B109052)"
"2026-03-27 00:00:00",0,0,0,0,0
"2026-03-27 01:00:00",0,0,0,0,0
"2026-03-27 02:00:00",0,0,0,0,0
"2026-03-27 03:00:00",0,0,0,0,0
"2026-03-27 04:00:00",0,0,0,0,0
"2026-03-27 05:00:00",0,0,0,0,0
"2026-03-27 06:00:00",63,70,60,82,0
"2026-03-27 07:00:00",1037,1316,1286,1284,0
"2026-03-27 08:00:00",1223,1550,1512,1544,0
"2026-03-27 09:00:00",6670,8159,7966,7853,0
"2026-03-27 10:00:00",10084,11845,11635,11635,0
"2026-03-27 11:00:00",11415,13238,13076,13202,0
"2026-03-27 12:00:00",11873,13677,13556,13851,0
"2026-03-27 13:00:00",11585,13355,13245,13686,0
"2026-03-27 14:00:00",10476,12129,11962,12556,0
"2026-03-27 15:00:00",8442,9808,9655,10342,0
"2026-03-27 16:00:00",5068,5998,5847,6443,0
"2026-03-27 17:00:00",2073,2479,2388,2751,0
"2026-03-27 18:00:00",213,269,258,311,0
"2026-03-27 19:00:00",0,0,0,0,0
"2026-03-27 20:00:00",0,0,0,0,0
"2026-03-27 21:00:00",0,0,0,0,0
"2026-03-27 22:00:00",0,0,0,0,0
"2026-03-27 23:00:00",0,0,0,0,0
"2026-03-28 00:00:00",0,0,0,0,0
"2026-03-28 01:00:00",0,0,0,0,0
"2026-03-28 02:00:00",0,0,0,0,0
"2026-03-28 03:00:00",0,0,0,0,0
"2026-03-28 04:00:00",0,0,0,0,0
"2026-03-28 05:00:00",0,0,0,0,0
"2026-03-28 06:00:00",153,200,208,203,0
"2026-03-28 07:00:00",613,789,768,772,0
"2026-03-28 08:00:00",3975,5363,4851,4971,0
"2026-03-28 09:00:00",7610,9247,9066,8918,0
"2026-03-28 10:00:00",10260,12185,12007,12049,0
"2026-03-28 11:00:00",11563,13483,13333,13488,0
"2026-03-28 12:00:00",10024,11652,11505,11791,0
"2026-03-28 13:00:00",11302,13034,12852,13307,0
"2026-03-28 14:00:00",9564,11089,10926,11474,0
"2026-03-28 15:00:00",8390,9649,9514,10138,0
"2026-03-28 16:00:00",4828,5665,5539,6031,0
"2026-03-28 17:00:00",1570,1940,1883,2037,0
"2026-03-28 18:00:00",475,585,564,661,0
"2026-03-28 19:00:00",0,0,0,0,0
"2026-03-28 20:00:00",0,0,0,0,0
"2026-03-28 21:00:00",0,0,0,0,0
"2026-03-28 22:00:00",0,0,0,0,0
"2026-03-28 23:00:00",0,0,0,0,0
"2026-03-29 00:00:00",0,0,0,0,0
"2026-03-29 01:00:00",0,0,0,0,0
"2026-03-29 02:00:00",0,0,0,0,0
"2026-03-29 03:00:00",0,0,0,0,0
"2026-03-29 04:00:00",0,0,0,0,0
"2026-03-29 05:00:00",0,0,0,0,0
"2026-03-29 06:00:00",48,85,102,63,0
"2026-03-29 07:00:00",1628,2109,2051,1822,0
"2026-03-29 08:00:00",5332,6601,6407,6074,0
"2026-03-29 09:00:00",8155,9782,9570,9443,0
"2026-03-29 10:00:00",9771,11418,11114,11500,0
"2026-03-29 11:00:00",10162,10875,11671,10730,0
"2026-03-29 12:00:00",12223,14172,14000,14358,0
"2026-03-29 13:00:00",11822,13646,13499,13924,0
