"DateTime","Inverter power for Inverter 1 (7E159B0C)","Inverter power for Inverter 2 (7E159B09)","Inverter power for Inverter 3 (7E159B0B)","Inverter power for Inverter 4 (7E159B18)","Inverter power for Inverter 5 (7B109052)"
"2026-05-08 00:00:00",0,0,0,0,0
"2026-05-08 01:00:00",0,0,0,0,0
"2026-05-08 02:00:00",0,0,0,0,0
"2026-05-08 03:00:00",0,0,0,0,0
"2026-05-08 04:00:00",0,0,0,0,0
"2026-05-08 05:00:00",0,0,0,0,0
"2026-05-08 06:00:00",328,403,404,405,0
"2026-05-08 07:00:00",1359,1643,1600,1648,0
"2026-05-08 08:00:00",3311,4009,3916,3967,0
"2026-05-08 09:00:00",7688,9117,8944,9111,0
"2026-05-08 10:00:00",10776,12654,12487,12583,0
"2026-05-08 11:00:00",11383,13183,13054,13185,0
"2026-05-08 12:00:00",11592,13375,13274,13546,0
"2026-05-08 13:00:00",10464,12546,12499,13062,0
"2026-05-08 14:00:00",8846,10379,10241,10682,0
"2026-05-08 15:00:00",6400,7607,7334,8103,0
"2026-05-08 16:00:00",5131,6057,5908,6475,0
"2026-05-08 17:00:00",2091,2562,2481,2774,0
"2026-05-08 18:00:00",328,388,411,450,0
"2026-05-08 19:00:00",0,51,58,0,0
"2026-05-08 20:00:00",0,0,0,0,0
"2026-05-08 21:00:00",0,0,0,0,0
"2026-05-08 22:00:00",0,0,0,0,0
"2026-05-08 23:00:00",0,0,0,0,0
"2026-05-09 00:00:00",0,0,0,0,0
"2026-05-09 01:00:00",0,0,0,0,0
"2026-05-09 02:00:00",0,0,0,0,0
"2026-05-09 03:00:00",0,0,0,0,0
"2026-05-09 04:00:00",0,0,0,0,0
"2026-05-09 05:00:00",0,0,0,0,0
"2026-05-09 06:00:00",240,316,325,320,0
"2026-05-09 07:00:00",1052,1396,1358,1358,0
"2026-05-09 08:00:00",4409,5646,5526,5336,0
"2026-05-09 09:00:00",8946,9896,10569,10456,0
"2026-05-09 10:00:00",9587,11482,11328,11431,0
"2026-05-09 11:00:00",8949,10391,10284,10481,0
"2026-05-09 12:00:00",9392,10833,10617,11142,0
"2026-05-09 13:00:00",4930,5970,5834,5939,0
"2026-05-09 14:00:00",9877,10596,11435,11908,0
"2026-05-09 15:00:00",7728,9129,8971,8478,0
"2026-05-09 16:00:00",3795,4591,4477,4732,0
"2026-05-09 17:00:00",1654,2049,1996,2103,0
"2026-05-09 18:00:00",362,463,448,486,0
"2026-05-09 19:00:00",0,0,0,0,0
"2026-05-09 20:00:00",0,0,0,0,0
"2026-05-09 21:00:00",0,0,0,0,0
"2026-05-09 22:00:00",0,0,0,0,0
"2026-05-09 23:00:00",0,0,0,0,0
"2026-05-10 00:00:00",0,0,0,0,0
"2026-05-10 01:00:00",0,0,0,0,0
"2026-05-10 02:00:00",0,0,0,0,0
"2026-05-10 03:00:00",0,0,0,0,0
"2026-05-10 04:00:00",0,0,0,0,0
"2026-05-10 05:00:00",0,0,0,0,0
"2026-05-10 06:00:00",349,483,471,450,0
"2026-05-10 07:00:00",2332,2931,2809,2771,0
"2026-05-10 08:00:00",4790,6058,5945,5777,0
"2026-05-10 09:00:00",4545,5565,5360,5550,0
"2026-05-10 10:00:00",9313,11864,11968,9609,0
"2026-05-10 11:00:00",10197,12421,12224,12329,0
"2026-05-10 12:00:00",8076,9715,9463,9749,0
"2026-05-10 13:00:00",5599,6435,6300,6698,0
"2026-05-10 14:00:00",4376,5188,5071,5177,0
"2026-05-10 15:00:00",8881,9893,9673,10554,0
"2026-05-10 16:00:00",6339,6647,5906,7330,0
"2026-05-10 17:00:00",1308,1501,1458,1630,0
"2026-05-10 18:00:00",350,447,429,491,0
"2026-05-10 19:00:00",0,0,0,0,0
"2026-05-10 20:00:00",0,0,0,0,0
"2026-05-10 21:00:00",0,0,0,0,0
"2026-05-10 22:00:00",0,0,0,0,0
"2026-05-10 23:00:00",0,0,0,0,0
"2026-05-11 00:00:00",0,0,0,0,0
"2026-05-11 01:00:00",0,0,0,0,0
"2026-05-11 02:00:00",0,0,0,0,0
"2026-05-11 03:00:00",0,0,0,0,0
"2026-05-11 04:00:00",0,0,0,0,0
"2026-05-11 05:00:00",0,0,0,0,0
"2026-05-11 06:00:00",233,301,295,296,0
"2026-05-11 07:00:00",1136,1414,1377,1405,0
"2026-05-11 08:00:00",2392,2911,2838,2892,0
"2026-05-11 09:00:00",7119,8538,8425,8416,0
"2026-05-11 10:00:00",9041,10556,10369,10661,0
"2026-05-11 11:00:00",10823,11610,11410,11973,0
"2026-05-11 12:00:00",8706,10840,11144,11031,0
"2026-05-11 13:00:00",4527,4999,4485,5223,0
"2026-05-11 14:00:00",4083,4810,4470,4915,0
"2026-05-11 15:00:00",2348,3079,2843,3115,0
"2026-05-11 16:00:00",1643,2031,1980,2068,0
"2026-05-11 17:00:00",2274,2717,2643,3041,0
"2026-05-11 18:00:00",521,646,645,748,0
"2026-05-11 19:00:00",0,0,0,0,0
"2026-05-11 20:00:00",0,0,0,0,0
"2026-05-11 21:00:00",0,0,0,0,0
"2026-05-11 22:00:00",0,0,0,0,0
"2026-05-11 23:00:00",0,0,0,0,0
"2026-05-12 00:00:00",0,0,0,0,0
"2026-05-12 01:00:00",0,0,0,0,0
"2026-05-12 02:00:00",0,0,0,0,0
"2026-05-12 03:00:00",0,0,0,0,0
"2026-05-12 04:00:00",0,0,0,0,0
"2026-05-12 05:00:00",0,0,0,0,0
"2026-05-12 06:00:00",343,449,446,432,0
"2026-05-12 07:00:00",2840,3490,3421,3112,0
"2026-05-12 08:00:00",6371,7909,7728,7364,0
"2026-05-12 09:00:00",8823,10525,10334,10297,0
"2026-05-12 10:00:00",10829,12666,12485,12607,0
"2026-05-12 11:00:00",10937,12589,12472,11528,0
"2026-05-12 12:00:00",10459,12214,11972,12001,0
"2026-05-12 13:00:00",9578,10830,10656,11164,0
"2026-05-12 14:00:00",10870,13031,12922,13104,0
"2026-05-12 15:00:00",7190,8014,8034,8721,0
"2026-05-12 16:00:00",3617,4408,4538,4669,0
"2026-05-12 17:00:00",2317,2761,2700,3023,0
"2026-05-12 18:00:00",535,671,658,836,0
"2026-05-12 19:00:00",0,0,0,0,0
"2026-05-12 20:00:00",0,0,0,0,0
"2026-05-12 21:00:00",0,0,0,0,0
"2026-05-12 22:00:00",0,0,0,0,0
"2026-05-12 23:00:00",0,0,0,0,0
"2026-05-13 00:00:00",0,0,0,0,0
"2026-05-13 01:00:00",0,0,0,0,0
"2026-05-13 02:00:00",0,0,0,0,0
"2026-05-13 03:00:00",0,0,0,0,0
"2026-05-13 04:00:00",0,0,0,0,0
"2026-05-13 05:00:00",0,0,0,0,0
"2026-05-13 06:00:00",362,453,448,447,0
"2026-05-13 07:00:00",1640,1977,1894,1889,0
"2026-05-13 08:00:00",5799,6849,6628,6554,0
"2026-05-13 09:00:00",7549,8878,8653,8726,0
"2026-05-13 10:00:00",10598,12526,12274,12471,0
"2026-05-13 11:00:00",11938,14054,13923,14198,0
"2026-05-13 12:00:00",11539,13637,13572,13873,0
"2026-05-13 13:00:00",10539,12281,11393,12683,0
"2026-05-13 14:00:00",7518,8920,8768,9109,0
"2026-05-13 15:00:00",8710,10361,10146,10795,0
