"DateTime","Inverter power for Inverter 1 (7E159B0C)","Inverter power for Inverter 2 (7E159B09)","Inverter power for Inverter 3 (7E159B0B)","Inverter power for Inverter 4 (7E159B18)","Inverter power for Inverter 5 (7B109052)"
"2026-06-05 00:00:00",0,0,0,0,0
"2026-06-05 01:00:00",0,0,0,0,0
"2026-06-05 02:00:00",0,0,0,0,0
"2026-06-05 03:00:00",0,0,0,0,0
"2026-06-05 04:00:00",0,0,0,0,0
"2026-06-05 05:00:00",0,0,0,0,0
"2026-06-05 06:00:00",362,462,456,460,0
"2026-06-05 07:00:00",1199,1508,1328,1503,0
"2026-06-05 08:00:00",2435,2943,2904,2901,0
"2026-06-05 09:00:00",4491,5411,5326,5394,0
"2026-06-05 10:00:00",9274,10947,11194,10924,0
"2026-06-05 11:00:00",9668,11390,11300,11532,0
"2026-06-05 12:00:00",10465,12339,12028,12593,0
"2026-06-05 13:00:00",9364,10739,10934,11075,0
"2026-06-05 14:00:00",9598,11267,9756,11815,0
"2026-06-05 15:00:00",6660,7967,8010,8311,0
"2026-06-05 16:00:00",3500,4154,3959,4351,0
"2026-06-05 17:00:00",1073,1305,1270,1338,0
"2026-06-05 18:00:00",345,430,427,475,0
"2026-06-05 19:00:00",48,0,0,0,0
"2026-06-05 20:00:00",0,0,0,0,0
"2026-06-05 21:00:00",0,0,0,0,0
"2026-06-05 22:00:00",0,0,0,0,0
"2026-06-05 23:00:00",0,0,0,0,0
"2026-06-06 00:00:00",0,0,0,0,0
"2026-06-06 01:00:00",0,0,0,0,0
"2026-06-06 02:00:00",0,0,0,0,0
"2026-06-06 03:00:00",0,0,0,0,0
"2026-06-06 04:00:00",0,0,0,0,0
"2026-06-06 05:00:00",0,0,0,0,0
"2026-06-06 06:00:00",236,300,298,300,0
"2026-06-06 07:00:00",1110,1391,1356,1390,0
"2026-06-06 08:00:00",3765,4473,4300,4370,0
"2026-06-06 09:00:00",6201,7472,7419,7301,0
"2026-06-06 10:00:00",5586,6539,5372,6783,0
"2026-06-06 11:00:00",6433,7740,7351,7796,0
"2026-06-06 12:00:00",7473,8688,8380,8879,0
"2026-06-06 13:00:00",8614,10040,9754,10347,0
"2026-06-06 14:00:00",7403,8825,8581,9093,0
"2026-06-06 15:00:00",5202,6423,6180,6679,0
