"Date & Time","Usage [kW]","Generation [kW]","Other [kW]","AC chiller [kW]","AC air handler [kW]","Ceiling fans [kW]","PV [kW]","Light controller [kW]","Lights power [kW]"
2026-08-06 01:16:00,0.000000000,0.000000000,0.000000000,0.001810000,0.012366667,0.015026667,0.000558889,0.075565556,0.009415556
2026-08-06 01:01:00,0.000000000,0.000000000,0.000000000,0.001795556,0.012337778,0.014974444,0.000555556,0.075544444,0.009410000
2026-08-06 00:46:00,0.000000000,0.000000000,0.000000000,0.001798889,0.012392222,0.015050000,0.000561111,0.075641111,0.009418889
2026-08-06 00:31:00,0.000000000,0.000000000,0.000000000,0.001793333,0.012374444,0.015004444,0.000565556,0.075720000,0.009414444
2026-08-06 00:16:00,0.000000000,0.000000000,0.000000000,0.001794444,0.012371111,0.015016667,0.000564444,0.075748889,0.009414444
2026-08-06 00:01:00,0.000000000,0.000000000,0.000000000,0.001793333,0.012351111,0.014983333,0.000567778,0.075687778,0.009411111
2026-08-05 23:46:00,0.000000000,0.000000000,0.000000000,0.001785556,0.012305556,0.014951111,0.000566667,0.075587778,0.009407778
2026-08-05 23:31:00,0.000000000,0.000000000,0.000000000,0.001781111,0.012277778,0.014908889,0.000564444,0.075535556,0.009402222
2026-08-05 23:16:00,0.000000000,0.000000000,0.000000000,0.001773333,0.012271111,0.014875556,0.000564444,0.075488889,0.009400000
2026-08-05 23:01:00,0.000000000,0.000000000,0.000000000,0.001767778,0.012234444,0.014856667,0.000563333,0.075380000,0.009396667
2026-08-05 22:46:00,0.000000000,0.000000000,0.000000000,0.001773333,0.012206667,0.014833333,0.000567778,0.075342222,0.009395556
2026-08-05 22:31:00,0.000000000,0.000000000,0.000000000,0.001771111,0.012200000,0.014831111,0.000564444,0.075402222,0.009397778
2026-08-05 22:16:00,0.000000000,0.000000000,0.000000000,0.001803333,0.012397778,0.015051111,0.000570000,0.075655556,0.009425556
2026-08-05 22:01:00,0.000000000,0.000000000,0.000000000,0.001811111,0.012393333,0.015061111,0.000572222,0.075596667,0.009425556
2026-08-05 21:46:00,0.000000000,0.000000000,0.000000000,0.001800000,0.012366667,0.015037778,0.000574444,0.075525556,0.009422222
2026-08-05 21:31:00,0.000000000,0.000000000,0.000000000,0.001787778,0.012326667,0.014986667,0.000575556,0.075774444,0.009420000
2026-08-05 21:16:00,0.000000000,0.000000000,0.000000000,0.001782222,0.012331111,0.014983333,0.000576667,0.075520000,0.009417778
2026-08-05 21:01:00,0.000000000,0.000000000,0.000000000,0.001780000,0.012318889,0.014966667,0.000576667,0.075666667,0.009416667
2026-08-05 20:46:00,0.000000000,0.000000000,0.000000000,0.001774444,0.012291111,0.014950000,0.000576667,0.075555556,0.009416667
2026-08-05 20:31:00,0.000000000,0.000000000,0.000000000,0.001772222,0.012274444,0.014910000,0.000576667,0.075353333,0.009414444
2026-08-05 20:16:00,0.000000000,0.000000000,0.000000000,0.001772222,0.012274444,0.014918889,0.000575556,0.075510000,0.009413333
2026-08-05 20:01:00,0.000000000,0.000000000,0.000000000,0.001767778,0.012266667,0.014906667,0.000578889,0.075433333,0.009415556
2026-08-05 19:46:00,0.000000000,0.000000000,0.000000000,0.001762222,0.012222222,0.014858889,0.000580000,0.075572222,0.009410000
2026-08-05 19:31:00,0.000000000,0.000000000,0.000000000,0.001765556,0.012225556,0.014872222,0.000578889,0.075831111,0.009411111
2026-08-05 19:16:00,0.000000000,0.000000000,0.000000000,0.001762222,0.012207778,0.014841111,0.000577778,0.073752222,0.009407778
2026-08-05 19:01:00,0.000000000,0.000000000,0.000000000,0.001772222,0.012227778,0.014876667,0.000571111,0.071650000,0.009411111
2026-08-05 18:46:00,0.000000000,0.000000000,0.000000000,0.001780000,0.012257778,0.014846667,0.003586667,0.045857778,0.009412222
2026-08-05 18:31:00,0.000000000,0.000000000,0.000000000,0.001820000,0.012425556,0.015047778,-0.096020000,0.040972222,0.009435556
2026-08-05 18:16:00,0.000000000,0.000000000,0.000000000,0.001823333,0.012397778,0.015017778,-0.331904444,0.038000000,0.009426667
2026-08-05 18:01:00,0.000000000,0.000000000,0.000000000,0.001832222,0.012416667,0.015036667,-0.523043333,0.027145556,0.009428889
2026-08-05 17:46:00,0.000000000,0.000000000,0.000000000,0.001833333,0.012360000,0.014980000,-0.707207778,0.020098889,0.009418889
2026-08-05 17:31:00,0.000000000,0.000000000,0.000000000,0.001847778,0.012374444,0.014990000,-1.065972222,0.011718889,0.009417778
2026-08-05 17:16:00,0.000000000,0.000000000,0.000000000,0.001850000,0.012343333,0.014976667,-1.332516667,0.011723333,0.009408889
2026-08-05 17:01:00,0.000000000,0.000000000,0.000000000,0.001860000,0.012340000,0.014970000,-1.530693333,0.011733333,0.009406667
2026-08-05 16:46:00,0.000000000,0.000000000,0.000000000,0.001835556,0.012404444,0.015006667,-0.896634444,0.011780000,0.009417778
2026-08-05 16:31:00,0.000000000,0.000000000,0.000000000,0.001854444,0.012234444,0.014917778,-1.820941111,0.011853333,0.009404444
2026-08-05 16:16:00,0.000000000,0.000000000,0.000000000,0.001890000,0.012227778,0.014995556,-2.486815556,0.011875556,0.009402222
2026-08-05 16:01:00,0.000000000,0.000000000,0.000000000,0.001878889,0.012202222,0.014985556,-2.335591111,0.011883333,0.009403333
2026-08-05 15:46:00,0.000000000,0.000000000,0.000000000,0.001934444,0.012273333,0.015135556,-3.011404444,0.011904444,0.009414444
2026-08-05 15:31:00,0.000000000,0.000000000,0.000000000,0.001930000,0.012311111,0.015174444,-2.744062222,0.011930000,0.009421111
2026-08-05 15:16:00,0.000000000,0.000000000,0.000000000,0.001953333,0.012306667,0.015188889,-3.321332222,0.011963333,0.009418889
2026-08-05 15:01:00,0.000000000,0.000000000,0.000000000,0.001927778,0.012322222,0.015172222,-2.806331111,0.011952222,0.009425556
2026-08-05 14:46:00,0.000000000,0.000000000,0.000000000,0.001970000,0.012290000,0.015206667,-3.673135556,0.011961111,0.009422222
2026-08-05 14:31:00,0.000000000,0.000000000,0.000000000,0.001953333,0.012276667,0.015192222,-3.423098889,0.011951111,0.009428889
2026-08-05 14:16:00,0.000000000,0.000000000,0.000000000,0.001965556,0.012138889,0.015104444,-4.078446667,0.011935556,0.009420000
2026-08-05 14:01:00,0.000000000,0.000000000,0.000000000,0.001991111,0.011695556,0.015182222,-5.259203333,0.011896667,0.345200000
2026-08-05 13:46:00,0.000000000,0.000000000,0.000000000,0.001982222,0.011792222,0.015102222,-4.991085556,0.011934444,0.240816667
2026-08-05 13:31:00,0.000000000,0.000000000,0.000000000,0.002033333,0.012052222,0.015127778,-5.941044444,0.011981111,0.009378889
2026-08-05 13:16:00,0.000000000,0.000000000,0.000000000,0.002045556,0.012050000,0.015137778,-6.111987778,0.011978889,0.009376667
2026-08-05 13:01:00,0.000000000,0.000000000,0.000000000,0.002012222,0.012077778,0.015112222,-5.327608889,0.011962222,0.009380000
2026-08-05 12:46:00,0.000000000,0.000000000,0.000000000,0.002026667,0.012040000,0.015111111,-5.666037778,0.012003333,0.009373333
2026-08-05 12:31:00,0.000000000,0.000000000,0.000000000,0.002037778,0.012127778,0.015183333,-5.839487778,0.011972222,0.009382222
2026-08-05 12:16:00,0.000000000,0.000000000,0.000000000,0.002051111,0.012131111,0.015207778,-6.043028889,0.011957778,0.009381111
2026-08-05 12:01:00,0.000000000,0.000000000,0.000000000,0.002038889,0.012138889,0.015173333,-5.676918889,0.011981111,0.009382222
2026-08-05 11:46:00,0.000000000,0.000000000,0.000000000,0.348011111,0.131420000,0.015214444,-5.747656667,0.011984444,0.009383333
2026-08-05 11:31:00,0.000000000,0.000000000,0.000000000,2.232628889,0.519014444,0.015015556,-4.733836667,0.012091111,0.009351111
2026-08-05 11:16:00,0.000000000,0.000000000,0.000000000,2.219097778,0.528373333,0.014935556,-4.908460000,0.012086667,0.009343333
2026-08-05 11:01:00,0.000000000,0.000000000,0.000000000,2.314945556,0.533197778,0.014905556,-4.440034444,0.012071111,0.009352222
2026-08-05 10:46:00,0.000000000,0.000000000,0.000000000,2.343322222,0.533633333,0.014950000,-4.342367778,0.012053333,0.009364444
2026-08-05 10:31:00,0.000000000,0.000000000,0.000000000,2.488565556,0.528775556,0.147395556,-4.033471111,0.011993333,0.068964444
2026-08-05 10:16:00,0.000000000,0.000000000,0.000000000,2.542123333,0.531736667,0.265308889,-3.606545556,0.011931111,0.123946667
2026-08-05 10:01:00,0.000000000,0.000000000,0.000000000,2.525247778,0.530367778,0.266173333,-3.512793333,0.011898889,0.114730000
2026-08-05 09:46:00,0.000000000,0.000000000,0.000000000,2.431084444,0.519885556,0.268311111,-4.030470000,0.011952222,0.114668889
2026-08-05 09:31:00,0.000000000,0.000000000,0.000000000,2.380183333,0.525486667,0.488171111,-4.223252222,0.012014444,0.230333333
2026-08-05 09:16:00,0.000000000,0.000000000,0.000000000,2.363277778,0.532743333,0.788470000,-3.062478889,0.012038889,0.377551111
2026-08-05 09:01:00,0.000000000,0.000000000,0.000000000,2.359460000,0.535716667,0.745797778,-2.724751111,0.012021111,0.377126667
2026-08-05 08:46:00,0.000000000,0.000000000,0.000000000,2.361651111,0.525871111,0.270827778,-3.082473333,0.012124444,0.238205556
2026-08-05 08:31:00,0.000000000,0.000000000,0.000000000,2.363241111,0.534006667,0.270985556,-3.334695556,0.012185556,0.009381111
2026-08-05 08:16:00,0.000000000,0.000000000,0.000000000,2.371171111,0.534916667,0.271794444,-3.075216667,0.012160000,0.009391111
2026-08-05 08:01:00,0.000000000,0.000000000,0.000000000,2.407838889,0.521817778,0.270667778,-2.339631111,0.012320000,0.009391111
2026-08-05 07:46:00,0.000000000,0.000000000,0.000000000,1.865397778,0.237384444,0.267517778,-1.786990000,0.012043333,0.127458889
2026-08-05 07:31:00,0.000000000,0.000000000,0.000000000,0.001831111,0.011842222,0.268834444,-1.879826667,0.011933333,0.009404444
2026-08-05 07:16:00,0.000000000,0.000000000,0.000000000,0.001805556,0.011892222,0.268913333,-1.125344444,0.011861111,0.009412222
2026-08-05 07:01:00,0.000000000,0.000000000,0.000000000,0.001782222,0.011910000,0.268960000,-0.494463333,0.018708889,0.009417778
2026-08-05 06:46:00,0.000000000,0.000000000,0.000000000,0.001784444,0.011974444,0.270673333,-0.380070000,0.033146667,0.009425556
2026-08-05 06:31:00,0.000000000,0.000000000,0.000000000,0.001783333,0.012020000,0.271387778,-0.186117778,0.041515556,0.009431111
2026-08-05 06:16:00,0.000000000,0.000000000,0.000000000,0.001787778,0.012081111,0.272745556,-0.026185556,0.041565556,0.009441111
2026-08-05 06:01:00,0.000000000,0.000000000,0.000000000,0.001747778,0.011934444,0.269466667,0.000513333,0.054493333,0.009406667
2026-08-05 05:46:00,0.000000000,0.000000000,0.000000000,0.001751111,0.011928889,0.269753333,0.000524444,0.067286667,0.009402222
2026-08-05 05:31:00,0.000000000,0.000000000,0.000000000,0.001771111,0.011981111,0.271354444,0.000521111,0.076600000,0.009412222
2026-08-05 05:16:00,0.000000000,0.000000000,0.000000000,0.001745556,0.011900000,0.269166667,0.000513333,0.076517778,0.009403333
2026-08-05 05:01:00,0.000000000,0.000000000,0.000000000,0.001756667,0.011935556,0.269981111,0.000512222,0.076550000,0.009404444
2026-08-05 04:46:00,0.000000000,0.000000000,0.000000000,0.001764444,0.011960000,0.271111111,0.000521111,0.076524444,0.009406667
2026-08-05 04:31:00,0.000000000,0.000000000,0.000000000,0.001756667,0.011953333,0.270565556,0.000516667,0.076554444,0.009404444
2026-08-05 04:16:00,0.000000000,0.000000000,0.000000000,0.001773333,0.011977778,0.271560000,0.000517778,0.076581111,0.009410000
2026-08-05 04:01:00,0.000000000,0.000000000,0.000000000,0.001772222,0.011978889,0.271540000,0.000514444,0.076621111,0.009407778
2026-08-05 03:46:00,0.000000000,0.000000000,0.000000000,0.001776667,0.012000000,0.271751111,0.000516667,0.076606667,0.009412222
2026-08-05 03:31:00,0.000000000,0.000000000,0.000000000,0.001773333,0.011995556,0.271801111,0.000522222,0.076603333,0.009411111
2026-08-05 03:16:00,0.000000000,0.000000000,0.000000000,0.001775556,0.011991111,0.271643333,0.000518889,0.076671111,0.009412222
2026-08-05 03:01:00,0.000000000,0.000000000,0.000000000,0.001775556,0.011977778,0.271371111,0.000521111,0.076538889,0.009410000
2026-08-05 02:46:00,0.000000000,0.000000000,0.000000000,0.001775556,0.011985556,0.271493333,0.000520000,0.076522222,0.009412222
2026-08-05 02:31:00,0.000000000,0.000000000,0.000000000,0.001766667,0.011985556,0.271187778,0.000520000,0.076557778,0.009408889
2026-08-05 02:16:00,0.000000000,0.000000000,0.000000000,0.001774444,0.011993333,0.271595556,0.000516667,0.076568889,0.009412222
2026-08-05 02:01:00,0.000000000,0.000000000,0.000000000,0.001765556,0.011958889,0.270993333,0.000520000,0.076487778,0.009408889
2026-08-05 01:46:00,0.000000000,0.000000000,0.000000000,0.001764444,0.011951111,0.270577778,0.000518889,0.076475556,0.009407778
2026-08-05 01:31:00,0.000000000,0.000000000,0.000000000,0.001767778,0.011938889,0.270665556,0.000520000,0.076423333,0.009408889
2026-08-05 01:16:00,0.000000000,0.000000000,0.000000000,0.001766667,0.011936667,0.270396667,0.000517778,0.076427778,0.009406667
2026-08-05 01:01:00,0.000000000,0.000000000,0.000000000,0.001756667,0.011918889,0.269836667,0.000523333,0.076360000,0.009404444
2026-08-05 00:46:00,0.000000000,0.000000000,0.000000000,0.001756667,0.011905556,0.269597778,0.000522222,0.076332222,0.009402222
2026-08-05 00:31:00,0.000000000,0.000000000,0.000000000,0.001753333,0.011904444,0.269241111,0.000526667,0.076361111,0.009401111
2026-08-05 00:16:00,0.000000000,0.000000000,0.000000000,0.001752222,0.011908889,0.269384444,0.000522222,0.076372222,0.009400000
2026-08-05 00:01:00,0.000000000,0.000000000,0.000000000,0.001748889,0.011873333,0.268450000,0.000525556,0.076442222,0.009397778
2026-08-04 23:46:00,0.000000000,0.000000000,0.000000000,0.001766667,0.011963333,0.271084444,0.000524444,0.076586667,0.009413333
2026-08-04 23:31:00,0.000000000,0.000000000,0.000000000,0.001777778,0.012065556,0.273744444,0.000530000,0.076843333,0.009425556
2026-08-04 23:16:00,0.000000000,0.000000000,0.000000000,0.001778889,0.012081111,0.273886667,0.000533333,0.076618889,0.009426667
2026-08-04 23:01:00,0.000000000,0.000000000,0.000000000,0.001778889,0.012065556,0.273847778,0.000531111,0.076607778,0.009426667
2026-08-04 22:46:00,0.000000000,0.000000000,0.000000000,0.001787778,0.012002222,0.272458889,0.000522222,0.076681111,0.009421111
2026-08-04 22:31:00,0.000000000,0.000000000,0.000000000,0.001788889,0.011943333,0.271682222,0.000516667,0.076653333,0.009416667
2026-08-04 22:16:00,0.000000000,0.000000000,0.000000000,0.001782222,0.011922222,0.270923333,0.000516667,0.076634444,0.009411111
2026-08-04 22:01:00,0.000000000,0.000000000,0.000000000,0.001781111,0.011931111,0.271048889,0.000516667,0.076658889,0.009413333
2026-08-04 21:46:00,0.000000000,0.000000000,0.000000000,0.001790000,0.011991111,0.272906667,0.000523333,0.076731111,0.009424444
2026-08-04 21:31:00,0.000000000,0.000000000,0.000000000,0.001775556,0.011977778,0.272160000,0.000523333,0.076691111,0.009423333
2026-08-04 21:16:00,0.000000000,0.000000000,0.000000000,0.001770000,0.011967778,0.271666667,0.000525556,0.076578889,0.009418889
2026-08-04 21:01:00,0.000000000,0.000000000,0.000000000,0.001768889,0.011950000,0.271531111,0.000524444,0.076725556,0.009420000
2026-08-04 20:46:00,0.000000000,0.000000000,0.000000000,0.001781111,0.011992222,0.272852222,0.000527778,0.076697778,0.009427778
2026-08-04 20:31:00,0.000000000,0.000000000,0.000000000,0.001770000,0.011952222,0.271558889,0.000525556,0.076632222,0.009423333
2026-08-04 20:16:00,0.000000000,0.000000000,0.000000000,0.001773333,0.011954444,0.271872222,0.000526667,0.076670000,0.009423333
2026-08-04 20:01:00,0.000000000,0.000000000,0.000000000,0.001768889,0.011968889,0.271821111,0.000522222,0.076648889,0.009425556
2026-08-04 19:46:00,0.000000000,0.000000000,0.000000000,0.001768889,0.011972222,0.272182222,0.000527778,0.076773333,0.009427778
2026-08-04 19:31:00,0.000000000,0.000000000,0.000000000,0.001768889,0.011948889,0.272173333,0.000527778,0.076988889,0.009426667
