"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","L3 Voltage [V]","CT1 Amperage [A]","CT2 Amperage [A]","CT3 Amperage [A]","System 1 [kW]","System 1+ [kW]","System 1* [kVA]","System 2 [kW]","System 2+ [kW]","System 2* [kVA]","System 1 Power Factor []","System 2 Power Factor []","CT4 Amperage [A]","CT5 Amperage [A]","CT6 Amperage [A]"
2026-08-04 18:45:00,0.000000000,0.561916667,277.619982639,276.764027778,277.271267361,3.524395616,3.450786947,4.026506890,0.298805556,0.298805556,3.049931111,0.263111111,0.263111111,2.896965556,0.097970005,0.090823339,3.503189019,3.575452474,3.371631402
2026-08-04 18:30:00,0.000000000,0.547865556,277.079861111,276.298125000,276.788472222,3.536004503,3.436636827,4.014741211,0.288862222,0.288862222,3.040526667,0.259003333,0.259003333,2.889021111,0.095005561,0.089651116,3.500103624,3.573588053,3.366616753
2026-08-04 18:15:00,0.000000000,0.536605556,277.896024306,277.133611111,277.608194444,3.571590169,3.431249186,4.018794759,0.280618889,0.280618889,3.059112222,0.255986667,0.255986667,2.906083333,0.091732229,0.088087786,3.509460178,3.582840169,3.378423394
2026-08-04 18:00:00,0.000000000,0.525275556,277.750208333,276.887656250,277.344895833,3.590182292,3.422841254,4.013129069,0.272487778,0.272487778,3.057945556,0.252787778,0.252787778,2.902658889,0.089106674,0.087087784,3.510233561,3.577203505,3.379142253
2026-08-04 17:45:00,0.000000000,0.509181111,277.233125000,276.364895833,276.901614583,3.604510091,3.426454536,4.003373481,0.263580000,0.263580000,3.054775556,0.245601111,0.245601111,2.899832222,0.086284451,0.084695562,3.515341254,3.582376845,3.377465820
2026-08-04 17:30:00,0.000000000,0.505115556,276.652482639,275.918333333,276.337152778,3.606533474,3.425562337,3.994138997,0.261454444,0.261454444,3.046665556,0.243661111,0.243661111,2.892491111,0.085817778,0.084238892,3.511746962,3.582169054,3.374727919
2026-08-04 17:15:00,0.000000000,0.504984444,276.806406250,275.964444444,276.421406250,3.606021322,3.427046712,4.000189073,0.261811111,0.261811111,3.049645556,0.243173333,0.243173333,2.893930000,0.085850008,0.084028897,3.513438043,3.582255859,3.374620226
2026-08-04 17:00:00,0.000000000,0.495825556,276.548472222,275.768333333,276.231250000,3.613112522,3.426615668,3.989742296,0.256514444,0.256514444,3.046242222,0.239311111,0.239311111,2.891857778,0.084206670,0.082752228,3.514927843,3.583736708,3.372298991
2026-08-04 16:45:00,0.000000000,0.493300000,277.492204861,276.711128472,277.109097222,3.630428060,3.436204698,3.997766927,0.255597778,0.255597778,3.066088889,0.237702222,0.237702222,2.911165556,0.083363334,0.081652230,3.528142361,3.596096734,3.381465658
2026-08-04 16:30:00,0.000000000,0.495385556,278.856024306,277.926927083,278.386684028,3.651284722,3.440795627,4.017507867,0.256762222,0.256762222,3.092895556,0.238623333,0.238623333,2.937261111,0.083016671,0.081240005,3.550123427,3.600223524,3.400608995
2026-08-04 16:15:00,0.000000000,0.391718889,278.726059028,277.978090278,278.385173611,3.657239041,3.443669162,4.017462294,0.204684444,0.204684444,3.095030000,0.187034444,0.187034444,2.936926667,0.066128892,0.063683336,3.551249186,3.600719130,3.398823513
2026-08-04 16:00:00,0.000000000,-0.683200000,278.525954861,277.687986111,278.141631944,18.827272135,18.513287760,18.797319878,-0.366466667,0.086840000,15.607577778,-0.316733333,0.071263333,15.351594444,0.042370004,0.037696669,18.549053819,18.384144965,18.284704861
2026-08-04 15:45:00,0.000000000,12.524751111,278.203802083,277.275607639,277.814305556,40.913949653,40.384322917,40.815716146,6.379227778,6.379227778,33.918826667,6.145523333,6.145523333,35.830297778,0.184891120,0.168478902,43.203394097,42.707196181,43.085238715
2026-08-04 15:30:00,0.000000000,57.039546667,278.169809028,277.215468750,277.798802083,53.265598958,53.449756944,53.633537326,28.980168889,28.980168889,44.542711111,28.059377778,28.059377778,46.285968889,0.647827827,0.605158895,55.404314236,55.539479167,55.673897569
2026-08-04 15:15:00,0.000000000,131.008942222,278.100468750,277.222065972,277.739548611,90.197083333,91.415182292,91.011796875,66.656217778,66.656217778,75.755271111,64.352724444,64.352724444,76.446408889,0.874762234,0.837597792,91.181571181,92.194461806,91.726536458
2026-08-04 15:00:00,0.000000000,160.845084444,277.274791667,276.741961806,276.911753472,103.389505208,105.026657986,104.527638889,81.720640000,81.720640000,86.677724444,79.124435556,79.124435556,85.004871111,0.938665568,0.926204495,101.465833333,103.050008681,102.387395833
2026-08-04 14:45:00,0.000000000,134.536257778,277.240190972,276.781354167,276.880017361,87.656137153,89.199878472,88.788541667,68.268728889,68.268728889,73.572795556,66.267528889,66.267528889,72.402680000,0.927575616,0.914875624,86.324227431,87.827291667,87.267769097
2026-08-04 14:30:00,0.000000000,206.887768889,277.106753472,276.616614583,276.731892361,130.173498264,132.002951389,131.331605903,104.890622222,104.890622222,108.940355556,101.997155556,101.997155556,106.799884444,0.961568943,0.953674520,127.697300347,129.486302083,128.591857639
2026-08-04 14:15:00,0.000000000,259.432213333,278.120729167,277.537239583,277.552378472,163.328055556,165.079461806,164.434739583,131.216960000,131.216960000,136.930391111,128.215253333,128.215253333,136.055697778,0.949766710,0.932333374,162.422048611,164.042586806,163.224670139
2026-08-04 14:00:00,0.000000000,283.220160000,277.808055556,277.142847222,277.209583333,177.957986111,179.758420139,179.125451389,143.832906667,143.832906667,148.935315556,139.387253333,139.387253333,146.190577778,0.953406711,0.938653361,174.813437500,176.496475694,175.635000000
2026-08-04 13:45:00,0.000000000,640.153173333,278.090468750,277.343090278,277.409375000,393.424305556,395.696180556,395.103298611,323.563768889,323.563768889,328.764728889,316.589440000,316.589440000,324.433031111,0.984113363,0.975750054,388.545555556,390.589548611,389.483993056
2026-08-04 13:30:00,0.000000000,692.510791111,277.969756944,277.189861111,277.258038194,425.097048611,427.408645833,426.878888889,350.005084444,350.005084444,355.066026667,342.505706667,342.505706667,350.186204444,0.985496691,0.977878961,419.582465278,421.648680556,420.559861111
2026-08-04 13:15:00,0.000000000,561.599786667,276.821892361,275.994253472,276.236979167,344.784513889,346.988715278,346.340451389,283.516231111,283.516231111,286.893937778,278.083555556,278.083555556,282.569937778,0.987604506,0.983573405,339.812777778,341.910798611,340.738854167
2026-08-04 13:00:00,0.000000000,804.842880000,277.216614583,276.275503472,276.398020833,491.996076389,494.371562500,494.017777778,405.643911111,405.643911111,409.541688889,399.198968889,399.198968889,405.144106667,0.990354479,0.985260078,487.091666667,489.234479167,488.157048611
2026-08-04 12:45:00,0.000000000,680.841173333,277.221440972,276.315138889,276.519600694,419.587222222,421.921319444,421.380833333,345.665848889,345.665848889,349.440213333,335.175360000,335.175360000,340.674062222,0.989097833,0.983806695,409.383333333,411.481979167,410.343194444
2026-08-04 12:30:00,0.000000000,926.260480000,277.505052083,276.539461806,276.506093750,565.885486111,568.313993056,568.114305556,466.842062222,466.842062222,471.352924444,459.418453333,459.418453333,466.637760000,0.990256687,0.984503377,560.651770833,562.806493056,561.816701389
2026-08-04 12:15:00,0.000000000,563.250204444,277.043454861,276.119288194,276.348593750,346.629340278,348.834027778,348.178333333,285.263591111,285.263591111,288.584906667,277.986613333,277.986613333,282.469991111,0.988441162,0.984152289,339.531423611,341.583437500,340.413229167
2026-08-04 12:00:00,0.000000000,761.191324444,277.649097222,276.746788194,276.680156250,467.458715278,469.833958333,469.341145833,385.275235556,385.275235556,389.680817778,375.916088889,375.916088889,382.636515556,0.988681166,0.982435574,459.375069444,461.474513889,460.355486111
2026-08-04 11:45:00,0.000000000,865.316266667,278.346406250,277.405468750,277.306857639,533.879652778,536.341875000,536.024201389,439.867164444,439.867164444,445.991111111,425.449137778,425.449137778,434.931306667,0.985827840,0.977606744,521.068333333,523.180034722,522.161736111
2026-08-04 11:30:00,0.000000000,873.753528889,277.925590278,276.966875000,276.868628472,535.253472222,537.598750000,537.377395833,440.776853333,440.776853333,446.482773333,432.976711111,432.976711111,441.745280000,0.986102295,0.979050022,529.952465278,532.091736111,531.101145833
2026-08-04 11:15:00,0.000000000,1149.934577778,277.029392361,275.992656250,275.872673611,712.489722222,715.269305556,715.399791667,587.653973333,587.653973333,592.162524444,562.280604444,562.280604444,569.497777778,0.992362264,0.987343411,685.808194444,688.102500000,687.218333333
2026-08-04 11:00:00,0.000000000,1197.256960000,277.157569444,276.079218750,275.861979167,740.473750000,743.289027778,743.476944444,610.813724444,610.813724444,615.537066667,586.443235556,586.443235556,594.093333333,0.992303399,0.987126736,715.290138889,717.569097222,716.785555556
2026-08-04 10:45:00,0.000000000,1174.906880000,277.129965278,276.155069444,275.929218750,724.652777778,727.379375000,727.482083333,597.735111111,597.735111111,602.433777778,577.171768889,577.171768889,584.834595556,0.992183363,0.986905585,704.084791667,706.312847222,705.440694444
2026-08-04 10:30:00,0.000000000,1113.762915556,277.098645833,276.129131944,276.098125000,687.022430556,689.839861111,689.917361111,566.723413333,566.723413333,571.407573333,547.039502222,547.039502222,554.537564444,0.991611125,0.986467828,667.333333333,669.618402778,668.805208333
2026-08-04 10:15:00,0.000000000,1165.382257778,277.102239583,276.164461806,276.021996528,719.594305556,722.417986111,722.520625000,593.616995556,593.616995556,598.390897778,571.765262222,571.765262222,579.480711111,0.991985609,0.986746691,697.464861111,699.740555556,698.923125000
2026-08-04 10:00:00,0.000000000,1193.875626667,277.100173611,276.190069444,276.075868056,739.995694444,742.769305556,742.863333333,610.443875556,610.443875556,615.284835556,583.431680000,583.431680000,591.256213333,0.992121175,0.986748928,711.694513889,713.943819444,713.079097222
